code_muni,ano,serie,value
2105708,2023,PIB,621148
2105807,2021,PIB,86638
2105807,2023,PIB,108264
2105906,2021,PIB,135733
2105906,2023,PIB,169405
2105922,2021,PIB,97006
2105922,2023,PIB,211547
2105948,2021,PIB,83983
2105948,2023,PIB,104301
2105963,2021,PIB,102432
2105963,2023,PIB,128791
2105989,2021,PIB,101467
2105989,2023,PIB,122752
2106003,2021,PIB,274539
2106003,2023,PIB,237817
2106102,2021,PIB,413263
2106102,2023,PIB,390947
2106201,2021,PIB,57337
2106201,2023,PIB,72747
2106300,2021,PIB,140962
2106300,2023,PIB,181567
2106326,2021,PIB,208574
2106326,2023,PIB,275246
2106359,2021,PIB,90804
2106359,2023,PIB,116023
2106375,2021,PIB,120910
2106375,2023,PIB,146664
2106409,2021,PIB,179196
2106409,2023,PIB,226303
2106508,2021,PIB,196744
2106508,2023,PIB,232534
2106607,2021,PIB,256347
2106607,2023,PIB,334401
2106631,2021,PIB,99315
2106631,2023,PIB,134625
2106672,2021,PIB,64341
2106672,2023,PIB,94017
2106706,2021,PIB,277811
2106706,2023,PIB,389857
2106755,2021,PIB,788580
2106755,2023,PIB,578366
2106805,2021,PIB,112050
2106805,2023,PIB,133235
2106904,2021,PIB,257635
2106904,2023,PIB,280367
2107001,2021,PIB,86487
2107001,2023,PIB,119453
2107100,2021,PIB,149899
2107100,2023,PIB,190452
2107209,2021,PIB,88513
2107209,2023,PIB,109174
2107258,2021,PIB,86427
2107258,2023,PIB,95718
2107308,2021,PIB,50966
2107308,2023,PIB,53436
2107357,2021,PIB,183142
2107357,2023,PIB,171963
2107407,2021,PIB,188363
2107407,2023,PIB,225755
2107456,2021,PIB,107282
2107456,2023,PIB,132761
2107506,2021,PIB,1240349
2107506,2023,PIB,1643537
2107605,2021,PIB,139099
2107605,2023,PIB,188190
2107704,2021,PIB,183353
2107704,2023,PIB,210302
2107803,2021,PIB,322943
2107803,2023,PIB,381793
2107902,2021,PIB,200088
2107902,2023,PIB,207014
2108009,2021,PIB,309499
2108009,2023,PIB,322652
2108058,2021,PIB,118326
2108058,2023,PIB,157984
2108108,2021,PIB,194140
2108108,2023,PIB,261075
2108207,2021,PIB,787660
2108207,2023,PIB,830171
2108256,2021,PIB,157863
2108256,2023,PIB,225795
2108306,2021,PIB,253736
2108306,2023,PIB,313292
2108405,2021,PIB,95936
2108405,2023,PIB,110020
2108454,2021,PIB,230427
2108454,2023,PIB,277935
2108504,2021,PIB,296184
2108504,2023,PIB,356584
2108603,2021,PIB,1039933
2108603,2023,PIB,1333000
2108702,2021,PIB,191327
2108702,2023,PIB,269345
2108801,2021,PIB,130764
2108801,2023,PIB,185469
2108900,2021,PIB,163076
2108900,2023,PIB,221327
2109007,2021,PIB,1026076
2109007,2023,PIB,1252850
2109056,2021,PIB,45856
2109056,2023,PIB,63769
2109106,2021,PIB,755699
2109106,2023,PIB,990073
2109205,2021,PIB,84479
