code_amc,solo_dominante,pct_dominante,area_mapeada_km2,pct_solo_agua_dunas,pct_solo_argissolos,pct_solo_gleissolos,pct_solo_latossolos,pct_solo_luvissolos,pct_solo_neossolos,pct_solo_plintossolos,pct_solo_nitossolos,pct_solo_vertissolos,pct_solo_dunas,pct_solo_chernossolos,pct_solo_planossolos,pct_solo_cambissolos,pct_solo_espodossolos
3001,LATOSSOLOS,34.46015674978854,29317.800015766217,0.7424314812833309,26.05973350908613,3.528652201472864,34.46015674978854,1.433860339293867,0.40832774854274473,33.36683797053252,0,0,0,0,0,0,0
3002,PLINTOSSOLOS,98.91284530571339,371.47303594728953,0,0,0,1.0871546942866033,0,0,98.91284530571339,0,0,0,0,0,0,0
3003,NEOSSOLOS,58.36421926241848,2113.547139060542,0,0,41.635780737581506,0,0,58.36421926241848,0,0,0,0,0,0,0,0
3004,PLINTOSSOLOS,39.72023945704506,1103.4248840093344,0,0,33.28301515396909,26.996745388985858,0,0,39.72023945704506,0,0,0,0,0,0,0
3005,PLINTOSSOLOS,56.51133515880527,1940.4709533278306,0,0,0,27.908756526606584,0,15.579908314588145,56.51133515880527,0,0,0,0,0,0,0
3006,LUVISSOLOS,68.44408394170993,721.9299367516293,0,0.26050291890304716,0,0,68.44408394170993,0.7770179998658647,30.518395139521154,0,0,0,0,0,0,0
3007,PLINTOSSOLOS,66.183247179313355,14965.02499487064,0,27.299196266527368,0,0.07319450245102681,0,6.444362051708257,66.183247179313355,0,0,0,0,0,0,0
3008,ARGISSOLOS,43.94436048380369,16027.138217967731,0,43.94436048380369,0,41.63861963969668,1.4271867504401186,2.8541116582300194,10.135721467829494,0,0,0,0,0,0,0
3009,NEOSSOLOS,72.60831868098475,11132.654533483475,0,0,0,27.391681319015255,0,72.60831868098475,0,0,0,0,0,0,0,0
3010,LATOSSOLOS,58.613687885803664,7438.082405906469,0,41.38631211419634,0,58.613687885803664,0,0,0,0,0,0,0,0,0,0
3011,GLEISSOLOS,62.5661890013666,909.5912397972194,0,0,62.5661890013666,0,0,0,37.43381099863341,0,0,0,0,0,0,0
3012,PLINTOSSOLOS,52.73002647023952,607.5618063559823,0,0,0,47.26997352976048,0,0,52.73002647023952,0,0,0,0,0,0,0
3013,GLEISSOLOS,61.96489589327472,893.124734690611,0,0,61.96489589327472,38.03510410672527,0,0,0,0,0,0,0,0,0,0
3014,PLINTOSSOLOS,69.26503185630456,5683.261469323348,0,28.62617156782309,2.108796575872348,0,0,0,69.26503185630456,0,0,0,0,0,0,0
3015,LATOSSOLOS,61.261769001342316,31265.80725492773,0,27.423482107980778,0,61.261769001342316,0,3.2868956282375494,0.22589597505425923,5.74059948164021,2.0613578057448936,0,0,0,0,0
3016,PLINTOSSOLOS,52.93020774776278,1084.3747405916035,0,0,29.789765195791944,0,0,17.280027056445267,52.93020774776278,0,0,0,0,0,0,0
3017,PLINTOSSOLOS,54.05733164655518,154.7855396815186,0,0,45.94266835344482,0,0,0,54.05733164655518,0,0,0,0,0,0,0
3018,GLEISSOLOS,58.30559406817557,1172.7062122400248,0,0,58.30559406817557,4.327457773976258e-6,0,0,41.69440160436666,0,0,0,0,0,0,0
3019,GLEISSOLOS,56.1209808013362,859.9224087019952,0,0,56.1209808013362,0,0,0,43.87901919866379,0,0,0,0,0,0,0
3020,LATOSSOLOS,52.50582602166605,13142.75178190494,0,0,0,52.50582602166605,0,45.09599727085971,2.398176707474225,0,0,0,0,0,0,0
3021,LATOSSOLOS,39.26139998835169,2246.9604467085533,0,28.328121670285753,0,39.26139998835169,0,32.41047834136255,0,0,0,0,0,0,0,0
3022,NEOSSOLOS,67.17264500775835,5472.956355705583,0,0,5.250725340891852,9.99112574830249,0,67.17264500775835,0,0,0,17.585503903047307,0,0,0,0
3023,LATOSSOLOS,55.8923610668933,1707.587555504456,0,0,0,55.8923610668933,0,5.97720429280465,38.130434640302056,0,0,0,0,0,0,0
3024,PLINTOSSOLOS,62.4175242997084,2697.171845029356,1.6963808171206154,11.01272558601679,12.289493305595158,0,0,12.583875991559037,62.4175242997084,0,0,0,0,0,0,0
3025,NEOSSOLOS,57.80818001985224,7483.697576116353,1.6889133559973164,0,0,38.95120437126586,1.5287922251577148,57.80818001985224,0.022910027726879917,0,0,0,0,0,0,0
3026,GLEISSOLOS,57.005560356735714,725.5527210305376,0,0,57.005560356735714,0,0,0,42.99443964326428,0,0,0,0,0,0,0
3027,ARGISSOLOS,93.35089988325751,1779.3580464760716,0,93.35089988325751,0,4.639427307425018,0,0,2.0096728093174616,0,0,0,0,0,0,0
3028,ARGISSOLOS,44.143494806495006,7205.581932195774,0,44.143494806495006,0,42.63441660845836,0,6.348834540004261,6.873254045042381,0,0,0,0,0,0,0
3029,LATOSSOLOS,44.069060169495216,3629.066339752631,0,0,0,44.069060169495216,0,26.811021403639728,29.119918426865045,0,0,0,0,0,0,0
3030,LATOSSOLOS,51.5689491122954,1474.096473298254,0,0,0,51.5689491122954,0,11.085405049078561,37.34564583862604,0,0,0,0,0,0,0
3031,LATOSSOLOS,50.70749728143899,1582.4275472056695,0,0,0,50.70749728143899,0,0,49.292502718561,0,0,0,0,0,0,0
3032,ARGISSOLOS,52.62531764627555,2692.382016169169,0,52.62531764627555,0,47.25320272773922,0.12147962598523998,0,0,0,0,0,0,0,0,0
3033,NEOSSOLOS,84.882869705067307,2421.7717738203482,0,0,0.029735025066858444,4.099352728221827,0,84.882869705067307,10.988042541644006,0,0,0,0,0,0,0
3034,GLEISSOLOS,56.070203475649386,662.2643925378585,4.626991313289433,0,56.070203475649386,0,0,0.16235505128486896,39.140450159776314,0,0,0,0,0,0,0
3035,NITOSSOLOS,46.06781296830295,4087.500936527206,2.368400404177234,0,0,27.812317578819812,0,23.751469048700002,0,46.06781296830295,0,0,0,0,0,0
3036,PLINTOSSOLOS,65.25639587105039,11202.131829281057,0.5879836894230936,27.44138663710029,6.714233802426239,0,0,0,65.25639587105039,0,0,0,0,0,0,0
3037,NEOSSOLOS,55.31916309030452,10140.019620690644,2.721206748907152,0,0,12.451115496772774,0,55.31916309030452,19.129279376028112,10.379235287987443,0,0,0,0,0,0
3038,PLINTOSSOLOS,43.58410005245169,6588.670023457693,0,0.17142340887520033,0,33.506616071163776,0,22.737860467509336,43.58410005245169,0,0,0,0,0,0,0
3039,LATOSSOLOS,57.242387139327114,396.21421233058317,0,0,42.757612860672886,57.242387139327114,0,0,0,0,0,0,0,0,0,0
3040,LATOSSOLOS,75.04227790242523,1008.3290674777879,0,0,9.568009207737319,75.04227790242523,0,0,15.389712889837455,0,0,0,0,0,0,0
3041,LATOSSOLOS,54.39842445565299,3249.3340325283275,0,0,0,54.39842445565299,0,0,45.601575544347,0,0,0,0,0,0,0
3042,PLINTOSSOLOS,89.03291585292106,975.5927446668285,0,0,0,4.601175197979055,0,6.3659089490998895,89.03291585292106,0,0,0,0,0,0,0
3043,PLINTOSSOLOS,42.92144134429648,2573.326218832132,0,0,0,40.02737906960369,0,17.05117958609982,42.92144134429648,0,0,0,0,0,0,0
3044,LATOSSOLOS,44.83203193113852,2066.8899999561986,0,0,39.04407660277022,44.83203193113852,0,0,16.12389146609125,0,0,0,0,0,0,0
3045,PLINTOSSOLOS,50.224302848976535,358.7816449256123,0,49.775697151023465,0,0,0,0,50.224302848976535,0,0,0,0,0,0,0
3046,PLINTOSSOLOS,48.976946208876264,317.79499502909056,0,0,0,17.9793486243458,0,33.04370516677793,48.976946208876264,0,0,0,0,0,0,0
3047,ARGISSOLOS,76.06889964956693,1128.3227406215399,0,76.06889964956693,0,23.931100350433066,0,0,0,0,0,0,0,0,0,0
3048,LATOSSOLOS,45.43500208953822,7845.927973392339,0,0,0,45.43500208953822,0,15.993383480879503,33.39037867404152,5.181235755540745,0,0,0,0,0,0
3049,LATOSSOLOS,71.64194806969394,2407.7572433321993,0,0,0,71.64194806969394,0,3.127134439275058,0,25.230917491030997,0,0,0,0,0,0
3050,LATOSSOLOS,77.34091478490265,695.2019319675115,0,0,0,77.34091478490265,0,0,22.659085215097335,0,0,0,0,0,0,0
3051,PLINTOSSOLOS,73.13213729938569,883.7148692009894,0,26.86786270061431,0,0,0,0,73.13213729938569,0,0,0,0,0,0,0
