serie,code_amc,ano,value
ADH_GINI,3001,1991,0.5981254551249688
ADH_GINI,3001,2000,0.5941695615802726
ADH_GINI,3001,2010,0.5416327257115258
ADH_GINI,3002,1991,0.39
ADH_GINI,3002,2000,0.52
ADH_GINI,3002,2010,0.59
ADH_GINI,3003,1991,0.4300004542357484
ADH_GINI,3003,2000,0.5991243919388465
ADH_GINI,3003,2010,0.59
ADH_GINI,3004,1991,0.48000000000000004
ADH_GINI,3004,2000,0.62
ADH_GINI,3004,2010,0.59
ADH_GINI,3005,1991,0.46
ADH_GINI,3005,2000,0.54
ADH_GINI,3005,2010,0.59
ADH_GINI,3006,1991,0.55
ADH_GINI,3006,2000,0.5
ADH_GINI,3006,2010,0.52
ADH_GINI,3007,1991,0.49895520482499933
ADH_GINI,3007,2000,0.5879258884176917
ADH_GINI,3007,2010,0.5721008224677434
ADH_GINI,3008,1991,0.5084921296719365
ADH_GINI,3008,2000,0.5752323949301783
ADH_GINI,3008,2010,0.5768677182257447
ADH_GINI,3009,1991,0.6
ADH_GINI,3009,2000,0.65
ADH_GINI,3009,2010,0.7799999999999999
ADH_GINI,3010,1991,0.68
ADH_GINI,3010,2000,0.6
ADH_GINI,3010,2010,0.59
ADH_GINI,3011,1991,0.59
ADH_GINI,3011,2000,0.51
ADH_GINI,3011,2010,0.6
ADH_GINI,3012,1991,0.45
ADH_GINI,3012,2000,0.74
ADH_GINI,3012,2010,0.54
ADH_GINI,3013,1991,0.4999977483563001
ADH_GINI,3013,2000,0.6374821629740894
ADH_GINI,3013,2010,0.5515635395874917
ADH_GINI,3014,1991,0.47174690558434085
ADH_GINI,3014,2000,0.5772738013404365
ADH_GINI,3014,2010,0.52
ADH_GINI,3015,1991,0.6017513759357248
ADH_GINI,3015,2000,0.6108067271908215
ADH_GINI,3015,2010,0.6123576010484204
ADH_GINI,3016,1991,0.59
ADH_GINI,3016,2000,0.6
ADH_GINI,3016,2010,0.57
ADH_GINI,3017,1991,0.43
ADH_GINI,3017,2000,0.56
ADH_GINI,3017,2010,0.54
ADH_GINI,3018,1991,0.47999853361683403
ADH_GINI,3018,2000,0.5785781218170707
ADH_GINI,3018,2010,0.5182154455881544
ADH_GINI,3019,1991,0.4199950161973586
ADH_GINI,3019,2000,0.5161442664241237
ADH_GINI,3019,2010,0.563336270930379
ADH_GINI,3020,1991,0.57
ADH_GINI,3020,2000,0.71
ADH_GINI,3020,2010,0.58
ADH_GINI,3021,1991,0.53
ADH_GINI,3021,2000,0.63
ADH_GINI,3021,2010,0.52
ADH_GINI,3022,1991,0.5018743317707048
ADH_GINI,3022,2000,0.6107907965318309
ADH_GINI,3022,2010,0.5895952943871332
ADH_GINI,3023,1991,0.4999970071401086
ADH_GINI,3023,2000,0.6822983024151208
ADH_GINI,3023,2010,0.6062938547126732
ADH_GINI,3024,1991,0.4712665900467592
ADH_GINI,3024,2000,0.552127144353599
ADH_GINI,3024,2010,0.5253490381023533
