serie,code_amc,ano,value
area_plantada_ha,3005,1994,4108
area_plantada_ha,3005,1995,4765
area_plantada_ha,3005,1996,5185
area_plantada_ha,3005,1997,5009
area_plantada_ha,3005,1998,4673
area_plantada_ha,3005,1999,4835
area_plantada_ha,3005,2000,5026
area_plantada_ha,3005,2001,5256
area_plantada_ha,3005,2002,5331
area_plantada_ha,3005,2003,5556
area_plantada_ha,3005,2004,5622
area_plantada_ha,3005,2005,5965
area_plantada_ha,3005,2006,6324
area_plantada_ha,3005,2007,6763
area_plantada_ha,3005,2008,11593
area_plantada_ha,3005,2009,11917
area_plantada_ha,3005,2010,11824
area_plantada_ha,3005,2011,12389
area_plantada_ha,3005,2012,13201
area_plantada_ha,3005,2013,13013
area_plantada_ha,3005,2014,12477
area_plantada_ha,3005,2015,12112
area_plantada_ha,3005,2016,9451
area_plantada_ha,3005,2017,9756
area_plantada_ha,3005,2018,8926
area_plantada_ha,3005,2019,9091
area_plantada_ha,3005,2020,9226
area_plantada_ha,3005,2021,9735
area_plantada_ha,3005,2022,9839
area_plantada_ha,3005,2023,18024
area_plantada_ha,3005,2024,21267
area_plantada_ha,3006,1988,24736
area_plantada_ha,3006,1989,27543
area_plantada_ha,3006,1990,23683
area_plantada_ha,3006,1991,28140
area_plantada_ha,3006,1992,29235
area_plantada_ha,3006,1993,29689
area_plantada_ha,3006,1994,24558
area_plantada_ha,3006,1995,25569
area_plantada_ha,3006,1996,8119
area_plantada_ha,3006,1997,1055
area_plantada_ha,3006,1998,2469
area_plantada_ha,3006,1999,1459
area_plantada_ha,3006,2000,1680
area_plantada_ha,3006,2001,2022
area_plantada_ha,3006,2002,2332
area_plantada_ha,3006,2003,2787
area_plantada_ha,3006,2004,2733
area_plantada_ha,3006,2005,2662
area_plantada_ha,3006,2006,2281
area_plantada_ha,3006,2007,2491
area_plantada_ha,3006,2008,2441
area_plantada_ha,3006,2009,2534
area_plantada_ha,3006,2010,2488
area_plantada_ha,3006,2011,2459
area_plantada_ha,3006,2012,2485
area_plantada_ha,3006,2013,2466
area_plantada_ha,3006,2014,2509
area_plantada_ha,3006,2015,2628
area_plantada_ha,3006,2016,1910
area_plantada_ha,3006,2017,2045
area_plantada_ha,3006,2018,1487
area_plantada_ha,3006,2019,1062
area_plantada_ha,3006,2020,1049
area_plantada_ha,3006,2021,1102
area_plantada_ha,3006,2022,1102
area_plantada_ha,3006,2023,1168
area_plantada_ha,3006,2024,410
area_plantada_ha,3007,1988,114486
area_plantada_ha,3007,1989,137268
area_plantada_ha,3007,1990,128124
area_plantada_ha,3007,1991,160466
area_plantada_ha,3007,1992,177256
area_plantada_ha,3007,1993,171822
area_plantada_ha,3007,1994,177666
area_plantada_ha,3007,1995,159797
area_plantada_ha,3007,1996,67161
area_plantada_ha,3007,1997,68464
area_plantada_ha,3007,1998,72446
