code_muni,municipio,estado,sabem(7a14),nsabem(7a14),sabem(15a),nsabem(15a),chave_join,numeroestabelecimento,commaquinas,cominstruagra,fabeofi,casaneg,popu
2408102,Natal,RN,391,609,525,475,natal_RN,13,10,0,9,248,30696
2408300,Nova Cruz,RN,91,909,151,849,nova cruz_RN,46,0,0,9,84,20328
2408201,Papary,RN,93,907,218,782,papary_RN,27,17,0,0,4,6435
2409308,Patú,RN,106,894,306,694,patu_RN,204,20,0,0,5,7504
2409803,Pedro Velho,RN,79,921,143,857,pedro velho_RN,52,13,0,72,33,12023
2411205,Santa Cruz,RN,73,927,194,806,santa cruz_RN,107,19,1,0,29,25546
2411502,Santo Antonio,RN,36,964,110,890,santo antonio_RN,54,7,0,0,21,16976
2413409,Serra Negra,RN,88,912,238,762,serra negra_RN,144,9,0,1,17,6988
2499901,São Gonçalo,RN,68,932,136,864,sao goncalo_RN,98,0,0,18,13,17231
2412500,São Miguel,RN,90,910,254,746,sao miguel_RN,101,76,0,0,13,8455
2413904,Taipú,RN,83,917,168,832,taipu_RN,96,7,0,0,35,12651
2414407,Touros,RN,95,905,210,790,touros_RN,49,26,0,1,37,17019
2807105,Annapolis,SE,113,887,215,785,annapolis_SE,629,6,0,0,19,18505
2800209,Aquidaban,SE,118,882,219,781,aquidaban_SE,1096,11,2,0,40,18611
2800308,Aracajú,SE,429,571,544,456,aracaju_SE,64,4,1,5,192,37440
2800407,Arauá,SE,88,912,134,866,araua_SE,100,22,0,4,12,5763
2800670,Buquim,SE,120,880,187,813,buquim_SE,143,6,1,3,28,9050
2807402,Campos,SE,74,926,229,771,campos_SE,258,0,0,28,44,14055
2801306,Capella,SE,186,814,238,762,capella_SE,198,43,0,0,30,19563
2802007,Divina Pastora,SE,142,858,196,804,divina pastora_SE,53,16,18,0,14,7398
2802809,Espirito Santo,SE,89,911,156,844,espirito santo_SE,41,15,0,2,10,4573
2802106,Estancia,SE,254,746,269,731,estancia_SE,165,8,0,115,77,15868
2802403,Gararú,SE,91,909,187,813,gararu_SE,322,1,0,1,20,11917
2802908,Itabaiana,SE,79,921,154,846,itabaiana_SE,628,6,0,25,38,28665
2803005,Itabaianinha,SE,51,949,130,870,itabaianinha_SE,142,25,0,6,33,17863
2803203,Itaporanga,SE,74,926,128,872,itaporanga_SE,66,19,7,2,44,12484
2803302,Japaratuba,SE,112,888,219,781,japaratuba_SE,113,19,14,0,2,9558
2803500,Lagarto,SE,58,942,126,874,lagarto_SE,1188,3,0,0,41,26084
2803609,Laranjeiras,SE,251,749,275,725,laranjeiras_SE,88,22,16,0,4,12661
2804003,Maroim,SE,243,757,304,696,maroim_SE,38,7,10,7,40,7998
2804607,Nossa Senhora das Dôres,SE,111,889,126,874,nossa senhora das dores_SE,649,12,0,9,43,19419
2899902,Pacatuba,SE,107,893,166,834,pacatuba_SE,117,7,0,1,13,13023
2805604,Porto da Folha,SE,103,897,258,742,porto da folha_SE,201,1,1,0,9,9667
2805703,Propriá,SE,257,743,338,662,propria_SE,259,12,0,14,68,25636
2805901,Riachuelo,SE,264,736,250,750,riachuelo_SE,68,18,21,0,19,11177
2805802,Riachão,SE,62,938,141,859,riachao_SE,230,9,0,0,29,14329
2806107,Rosario,SE,159,841,260,740,rosario_SE,77,26,16,2,27,8716
2806305,Santa Luzia,SE,96,904,164,836,santa luzia_SE,33,15,2,0,16,7808
2806602,Santo Amaro,SE,86,914,159,841,santo amaro_SE,23,6,6,0,9,5207
