NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,Hectares,14741,2100055,Açailândia - MA,1995,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1995,Quantidade produzida,Total
6,Município,Mil Reais,4626,2100055,Açailândia - MA,1995,Valor da produção,Total
6,Município,Hectares,15771,2100055,Açailândia - MA,1996,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1996,Quantidade produzida,Total
6,Município,Mil Reais,5365,2100055,Açailândia - MA,1996,Valor da produção,Total
6,Município,Hectares,4904,2100055,Açailândia - MA,1997,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1997,Quantidade produzida,Total
6,Município,Mil Reais,2089,2100055,Açailândia - MA,1997,Valor da produção,Total
6,Município,Hectares,4761,2100055,Açailândia - MA,1998,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1998,Quantidade produzida,Total
6,Município,Mil Reais,2196,2100055,Açailândia - MA,1998,Valor da produção,Total
6,Município,Hectares,3204,2100055,Açailândia - MA,1999,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1999,Quantidade produzida,Total
6,Município,Mil Reais,2404,2100055,Açailândia - MA,1999,Valor da produção,Total
6,Município,Hectares,4650,2100055,Açailândia - MA,2000,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2000,Quantidade produzida,Total
6,Município,Mil Reais,4022,2100055,Açailândia - MA,2000,Valor da produção,Total
6,Município,Hectares,4033,2100055,Açailândia - MA,2001,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2001,Quantidade produzida,Total
6,Município,Mil Reais,5015,2100055,Açailândia - MA,2001,Valor da produção,Total
6,Município,Hectares,4221,2100055,Açailândia - MA,2002,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2002,Quantidade produzida,Total
6,Município,Mil Reais,4478,2100055,Açailândia - MA,2002,Valor da produção,Total
6,Município,Hectares,7366,2100055,Açailândia - MA,2003,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2003,Quantidade produzida,Total
6,Município,Mil Reais,9984,2100055,Açailândia - MA,2003,Valor da produção,Total
6,Município,Hectares,8517,2100055,Açailândia - MA,2004,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2004,Quantidade produzida,Total
6,Município,Mil Reais,11650,2100055,Açailândia - MA,2004,Valor da produção,Total
6,Município,Hectares,8869,2100055,Açailândia - MA,2005,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2005,Quantidade produzida,Total
6,Município,Mil Reais,9099,2100055,Açailândia - MA,2005,Valor da produção,Total
6,Município,Hectares,9757,2100055,Açailândia - MA,2006,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2006,Quantidade produzida,Total
6,Município,Mil Reais,11268,2100055,Açailândia - MA,2006,Valor da produção,Total
6,Município,Hectares,10314,2100055,Açailândia - MA,2007,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2007,Quantidade produzida,Total
6,Município,Mil Reais,15615,2100055,Açailândia - MA,2007,Valor da produção,Total
6,Município,Hectares,7330,2100055,Açailândia - MA,2008,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2008,Quantidade produzida,Total
6,Município,Mil Reais,10530,2100055,Açailândia - MA,2008,Valor da produção,Total
6,Município,Hectares,6098,2100055,Açailândia - MA,2009,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2009,Quantidade produzida,Total
6,Município,Mil Reais,5599,2100055,Açailândia - MA,2009,Valor da produção,Total
6,Município,Hectares,5833,2100055,Açailândia - MA,2010,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2010,Quantidade produzida,Total
6,Município,Mil Reais,7793,2100055,Açailândia - MA,2010,Valor da produção,Total
6,Município,Hectares,5182,2100055,Açailândia - MA,2011,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2011,Quantidade produzida,Total
6,Município,Mil Reais,6893,2100055,Açailândia - MA,2011,Valor da produção,Total
6,Município,Hectares,4676,2100055,Açailândia - MA,2012,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2012,Quantidade produzida,Total
6,Município,Mil Reais,6570,2100055,Açailândia - MA,2012,Valor da produção,Total
6,Município,Hectares,8685,2100055,Açailândia - MA,2013,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2013,Quantidade produzida,Total
6,Município,Mil Reais,21460,2100055,Açailândia - MA,2013,Valor da produção,Total
6,Município,Hectares,11133,2100055,Açailândia - MA,2014,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2014,Quantidade produzida,Total
6,Município,Mil Reais,27530,2100055,Açailândia - MA,2014,Valor da produção,Total
6,Município,Hectares,15814,2100055,Açailândia - MA,2015,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2015,Quantidade produzida,Total
6,Município,Mil Reais,45184,2100055,Açailândia - MA,2015,Valor da produção,Total
6,Município,Hectares,19527,2100055,Açailândia - MA,2016,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2016,Quantidade produzida,Total
6,Município,Mil Reais,76023,2100055,Açailândia - MA,2016,Valor da produção,Total
6,Município,Hectares,27137,2100055,Açailândia - MA,2017,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2017,Quantidade produzida,Total
6,Município,Mil Reais,89420,2100055,Açailândia - MA,2017,Valor da produção,Total
6,Município,Hectares,42246,2100055,Açailândia - MA,2018,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2018,Quantidade produzida,Total
6,Município,Mil Reais,135848,2100055,Açailândia - MA,2018,Valor da produção,Total
6,Município,Hectares,55615,2100055,Açailândia - MA,2019,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2019,Quantidade produzida,Total
6,Município,Mil Reais,225293,2100055,Açailândia - MA,2019,Valor da produção,Total
6,Município,Hectares,61875,2100055,Açailândia - MA,2020,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2020,Quantidade produzida,Total
6,Município,Mil Reais,311801,2100055,Açailândia - MA,2020,Valor da produção,Total
6,Município,Hectares,71294,2100055,Açailândia - MA,2021,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2021,Quantidade produzida,Total
6,Município,Mil Reais,636032,2100055,Açailândia - MA,2021,Valor da produção,Total
6,Município,Hectares,77700,2100055,Açailândia - MA,2022,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2022,Quantidade produzida,Total
6,Município,Mil Reais,717106,2100055,Açailândia - MA,2022,Valor da produção,Total
6,Município,Hectares,83888,2100055,Açailândia - MA,2023,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2023,Quantidade produzida,Total
6,Município,Mil Reais,432160,2100055,Açailândia - MA,2023,Valor da produção,Total
6,Município,Hectares,90392,2100055,Açailândia - MA,2024,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2024,Quantidade produzida,Total
6,Município,Mil Reais,602985,2100055,Açailândia - MA,2024,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1974,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1974,Quantidade produzida,Total
6,Município,Mil Cruzeiros,1185,2100105,Afonso Cunha - MA,1974,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1975,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1975,Quantidade produzida,Total
6,Município,Mil Cruzeiros,1830,2100105,Afonso Cunha - MA,1975,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1976,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1976,Quantidade produzida,Total
6,Município,Mil Cruzeiros,2703,2100105,Afonso Cunha - MA,1976,Valor da produção,Total
