NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,Hectares,2077,2207108,Olho D'Água do Piauí - PI,2001,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2001,Quantidade produzida,Total
6,Município,Mil Reais,803,2207108,Olho D'Água do Piauí - PI,2001,Valor da produção,Total
6,Município,Hectares,2154,2207108,Olho D'Água do Piauí - PI,2002,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2002,Quantidade produzida,Total
6,Município,Mil Reais,509,2207108,Olho D'Água do Piauí - PI,2002,Valor da produção,Total
6,Município,Hectares,2270,2207108,Olho D'Água do Piauí - PI,2003,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2003,Quantidade produzida,Total
6,Município,Mil Reais,1148,2207108,Olho D'Água do Piauí - PI,2003,Valor da produção,Total
6,Município,Hectares,2297,2207108,Olho D'Água do Piauí - PI,2004,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2004,Quantidade produzida,Total
6,Município,Mil Reais,1279,2207108,Olho D'Água do Piauí - PI,2004,Valor da produção,Total
6,Município,Hectares,2189,2207108,Olho D'Água do Piauí - PI,2005,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2005,Quantidade produzida,Total
6,Município,Mil Reais,376,2207108,Olho D'Água do Piauí - PI,2005,Valor da produção,Total
6,Município,Hectares,2078,2207108,Olho D'Água do Piauí - PI,2006,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2006,Quantidade produzida,Total
6,Município,Mil Reais,696,2207108,Olho D'Água do Piauí - PI,2006,Valor da produção,Total
6,Município,Hectares,2129,2207108,Olho D'Água do Piauí - PI,2007,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2007,Quantidade produzida,Total
6,Município,Mil Reais,588,2207108,Olho D'Água do Piauí - PI,2007,Valor da produção,Total
6,Município,Hectares,2017,2207108,Olho D'Água do Piauí - PI,2008,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2008,Quantidade produzida,Total
6,Município,Mil Reais,1869,2207108,Olho D'Água do Piauí - PI,2008,Valor da produção,Total
6,Município,Hectares,2186,2207108,Olho D'Água do Piauí - PI,2009,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2009,Quantidade produzida,Total
6,Município,Mil Reais,1726,2207108,Olho D'Água do Piauí - PI,2009,Valor da produção,Total
6,Município,Hectares,2113,2207108,Olho D'Água do Piauí - PI,2010,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2010,Quantidade produzida,Total
6,Município,Mil Reais,1308,2207108,Olho D'Água do Piauí - PI,2010,Valor da produção,Total
6,Município,Hectares,2022,2207108,Olho D'Água do Piauí - PI,2011,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2011,Quantidade produzida,Total
6,Município,Mil Reais,2115,2207108,Olho D'Água do Piauí - PI,2011,Valor da produção,Total
6,Município,Hectares,1866,2207108,Olho D'Água do Piauí - PI,2012,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2012,Quantidade produzida,Total
6,Município,Mil Reais,1224,2207108,Olho D'Água do Piauí - PI,2012,Valor da produção,Total
6,Município,Hectares,1737,2207108,Olho D'Água do Piauí - PI,2013,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2013,Quantidade produzida,Total
6,Município,Mil Reais,1371,2207108,Olho D'Água do Piauí - PI,2013,Valor da produção,Total
6,Município,Hectares,1745,2207108,Olho D'Água do Piauí - PI,2014,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2014,Quantidade produzida,Total
6,Município,Mil Reais,1938,2207108,Olho D'Água do Piauí - PI,2014,Valor da produção,Total
6,Município,Hectares,1186,2207108,Olho D'Água do Piauí - PI,2015,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2015,Quantidade produzida,Total
6,Município,Mil Reais,1817,2207108,Olho D'Água do Piauí - PI,2015,Valor da produção,Total
6,Município,Hectares,901,2207108,Olho D'Água do Piauí - PI,2016,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2016,Quantidade produzida,Total
6,Município,Mil Reais,1178,2207108,Olho D'Água do Piauí - PI,2016,Valor da produção,Total
6,Município,Hectares,1150,2207108,Olho D'Água do Piauí - PI,2017,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2017,Quantidade produzida,Total
6,Município,Mil Reais,2623,2207108,Olho D'Água do Piauí - PI,2017,Valor da produção,Total
6,Município,Hectares,1070,2207108,Olho D'Água do Piauí - PI,2018,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2018,Quantidade produzida,Total
6,Município,Mil Reais,2207,2207108,Olho D'Água do Piauí - PI,2018,Valor da produção,Total
6,Município,Hectares,994,2207108,Olho D'Água do Piauí - PI,2019,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2019,Quantidade produzida,Total
6,Município,Mil Reais,3520,2207108,Olho D'Água do Piauí - PI,2019,Valor da produção,Total
6,Município,Hectares,919,2207108,Olho D'Água do Piauí - PI,2020,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2020,Quantidade produzida,Total
6,Município,Mil Reais,3626,2207108,Olho D'Água do Piauí - PI,2020,Valor da produção,Total
6,Município,Hectares,922,2207108,Olho D'Água do Piauí - PI,2021,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2021,Quantidade produzida,Total
6,Município,Mil Reais,3924,2207108,Olho D'Água do Piauí - PI,2021,Valor da produção,Total
6,Município,Hectares,834,2207108,Olho D'Água do Piauí - PI,2022,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2022,Quantidade produzida,Total
6,Município,Mil Reais,3493,2207108,Olho D'Água do Piauí - PI,2022,Valor da produção,Total
6,Município,Hectares,820,2207108,Olho D'Água do Piauí - PI,2023,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2023,Quantidade produzida,Total
6,Município,Mil Reais,4526,2207108,Olho D'Água do Piauí - PI,2023,Valor da produção,Total
6,Município,Hectares,794,2207108,Olho D'Água do Piauí - PI,2024,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207108,Olho D'Água do Piauí - PI,2024,Quantidade produzida,Total
6,Município,Mil Reais,4758,2207108,Olho D'Água do Piauí - PI,2024,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1974,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1974,Quantidade produzida,Total
6,Município,Mil Cruzeiros,3756,2207207,Padre Marcos - PI,1974,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1975,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1975,Quantidade produzida,Total
6,Município,Mil Cruzeiros,11210,2207207,Padre Marcos - PI,1975,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1976,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1976,Quantidade produzida,Total
6,Município,Mil Cruzeiros,9786,2207207,Padre Marcos - PI,1976,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1977,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1977,Quantidade produzida,Total
6,Município,Mil Cruzeiros,16300,2207207,Padre Marcos - PI,1977,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1978,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1978,Quantidade produzida,Total
6,Município,Mil Cruzeiros,12678,2207207,Padre Marcos - PI,1978,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1979,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1979,Quantidade produzida,Total
6,Município,Mil Cruzeiros,21938,2207207,Padre Marcos - PI,1979,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1980,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1980,Quantidade produzida,Total
6,Município,Mil Cruzeiros,73149,2207207,Padre Marcos - PI,1980,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1981,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1981,Quantidade produzida,Total
6,Município,Mil Cruzeiros,139646,2207207,Padre Marcos - PI,1981,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1982,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1982,Quantidade produzida,Total
6,Município,Mil Cruzeiros,167449,2207207,Padre Marcos - PI,1982,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1983,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1983,Quantidade produzida,Total
6,Município,Mil Cruzeiros,113408,2207207,Padre Marcos - PI,1983,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1984,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1984,Quantidade produzida,Total
6,Município,Mil Cruzeiros,2748466,2207207,Padre Marcos - PI,1984,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1985,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1985,Quantidade produzida,Total
6,Município,Mil Cruzeiros,12282,2207207,Padre Marcos - PI,1985,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1986,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1986,Quantidade produzida,Total
6,Município,Mil Cruzados,36081,2207207,Padre Marcos - PI,1986,Valor da produção,Total
6,Município,,NA,2207207,Padre Marcos - PI,1987,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1987,Quantidade produzida,Total
6,Município,Mil Cruzados,74412,2207207,Padre Marcos - PI,1987,Valor da produção,Total
6,Município,Hectares,20091,2207207,Padre Marcos - PI,1988,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1988,Quantidade produzida,Total
6,Município,Mil Cruzados,571643,2207207,Padre Marcos - PI,1988,Valor da produção,Total
6,Município,Hectares,20118,2207207,Padre Marcos - PI,1989,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1989,Quantidade produzida,Total
6,Município,Mil Cruzados Novos,2766,2207207,Padre Marcos - PI,1989,Valor da produção,Total
6,Município,Hectares,18852,2207207,Padre Marcos - PI,1990,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1990,Quantidade produzida,Total
6,Município,Mil Cruzeiros,75351,2207207,Padre Marcos - PI,1990,Valor da produção,Total
6,Município,Hectares,18373,2207207,Padre Marcos - PI,1991,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1991,Quantidade produzida,Total
6,Município,Mil Cruzeiros,729628,2207207,Padre Marcos - PI,1991,Valor da produção,Total
6,Município,Hectares,14325,2207207,Padre Marcos - PI,1992,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1992,Quantidade produzida,Total
6,Município,Mil Cruzeiros,3244365,2207207,Padre Marcos - PI,1992,Valor da produção,Total
6,Município,Hectares,2818,2207207,Padre Marcos - PI,1993,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1993,Quantidade produzida,Total
6,Município,Mil Cruzeiros Reais,13953,2207207,Padre Marcos - PI,1993,Valor da produção,Total
6,Município,Hectares,10613,2207207,Padre Marcos - PI,1994,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1994,Quantidade produzida,Total
6,Município,Mil Reais,1369,2207207,Padre Marcos - PI,1994,Valor da produção,Total
6,Município,Hectares,11532,2207207,Padre Marcos - PI,1995,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1995,Quantidade produzida,Total
6,Município,Mil Reais,1300,2207207,Padre Marcos - PI,1995,Valor da produção,Total
6,Município,Hectares,17106,2207207,Padre Marcos - PI,1996,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1996,Quantidade produzida,Total
6,Município,Mil Reais,2060,2207207,Padre Marcos - PI,1996,Valor da produção,Total
6,Município,Hectares,4048,2207207,Padre Marcos - PI,1997,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1997,Quantidade produzida,Total
6,Município,Mil Reais,417,2207207,Padre Marcos - PI,1997,Valor da produção,Total
6,Município,Hectares,3903,2207207,Padre Marcos - PI,1998,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1998,Quantidade produzida,Total
6,Município,Mil Reais,241,2207207,Padre Marcos - PI,1998,Valor da produção,Total
6,Município,Hectares,3961,2207207,Padre Marcos - PI,1999,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,1999,Quantidade produzida,Total
6,Município,Mil Reais,468,2207207,Padre Marcos - PI,1999,Valor da produção,Total
6,Município,Hectares,4823,2207207,Padre Marcos - PI,2000,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2000,Quantidade produzida,Total
6,Município,Mil Reais,670,2207207,Padre Marcos - PI,2000,Valor da produção,Total
6,Município,Hectares,3597,2207207,Padre Marcos - PI,2001,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2001,Quantidade produzida,Total
6,Município,Mil Reais,293,2207207,Padre Marcos - PI,2001,Valor da produção,Total
6,Município,Hectares,3837,2207207,Padre Marcos - PI,2002,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2002,Quantidade produzida,Total
6,Município,Mil Reais,281,2207207,Padre Marcos - PI,2002,Valor da produção,Total
6,Município,Hectares,4086,2207207,Padre Marcos - PI,2003,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2003,Quantidade produzida,Total
6,Município,Mil Reais,786,2207207,Padre Marcos - PI,2003,Valor da produção,Total
6,Município,Hectares,4646,2207207,Padre Marcos - PI,2004,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2004,Quantidade produzida,Total
6,Município,Mil Reais,461,2207207,Padre Marcos - PI,2004,Valor da produção,Total
6,Município,Hectares,3878,2207207,Padre Marcos - PI,2005,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2005,Quantidade produzida,Total
6,Município,Mil Reais,617,2207207,Padre Marcos - PI,2005,Valor da produção,Total
6,Município,Hectares,4741,2207207,Padre Marcos - PI,2006,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2006,Quantidade produzida,Total
6,Município,Mil Reais,1071,2207207,Padre Marcos - PI,2006,Valor da produção,Total
6,Município,Hectares,4001,2207207,Padre Marcos - PI,2007,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2007,Quantidade produzida,Total
6,Município,Mil Reais,492,2207207,Padre Marcos - PI,2007,Valor da produção,Total
6,Município,Hectares,3898,2207207,Padre Marcos - PI,2008,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2008,Quantidade produzida,Total
6,Município,Mil Reais,2299,2207207,Padre Marcos - PI,2008,Valor da produção,Total
6,Município,Hectares,4219,2207207,Padre Marcos - PI,2009,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2009,Quantidade produzida,Total
6,Município,Mil Reais,1400,2207207,Padre Marcos - PI,2009,Valor da produção,Total
6,Município,Hectares,4286,2207207,Padre Marcos - PI,2010,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2010,Quantidade produzida,Total
6,Município,Mil Reais,704,2207207,Padre Marcos - PI,2010,Valor da produção,Total
6,Município,Hectares,4251,2207207,Padre Marcos - PI,2011,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2011,Quantidade produzida,Total
6,Município,Mil Reais,1969,2207207,Padre Marcos - PI,2011,Valor da produção,Total
6,Município,Hectares,3272,2207207,Padre Marcos - PI,2012,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2012,Quantidade produzida,Total
6,Município,Mil Reais,213,2207207,Padre Marcos - PI,2012,Valor da produção,Total
6,Município,Hectares,2988,2207207,Padre Marcos - PI,2013,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2013,Quantidade produzida,Total
6,Município,Mil Reais,412,2207207,Padre Marcos - PI,2013,Valor da produção,Total
6,Município,Hectares,2134,2207207,Padre Marcos - PI,2014,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2014,Quantidade produzida,Total
6,Município,Mil Reais,472,2207207,Padre Marcos - PI,2014,Valor da produção,Total
6,Município,Hectares,3041,2207207,Padre Marcos - PI,2015,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2015,Quantidade produzida,Total
6,Município,Mil Reais,558,2207207,Padre Marcos - PI,2015,Valor da produção,Total
6,Município,Hectares,3223,2207207,Padre Marcos - PI,2016,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2016,Quantidade produzida,Total
6,Município,Mil Reais,673,2207207,Padre Marcos - PI,2016,Valor da produção,Total
6,Município,Hectares,3657,2207207,Padre Marcos - PI,2017,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2017,Quantidade produzida,Total
6,Município,Mil Reais,1018,2207207,Padre Marcos - PI,2017,Valor da produção,Total
6,Município,Hectares,4160,2207207,Padre Marcos - PI,2018,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2018,Quantidade produzida,Total
6,Município,Mil Reais,3177,2207207,Padre Marcos - PI,2018,Valor da produção,Total
6,Município,Hectares,3803,2207207,Padre Marcos - PI,2019,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2019,Quantidade produzida,Total
6,Município,Mil Reais,3167,2207207,Padre Marcos - PI,2019,Valor da produção,Total
6,Município,Hectares,4278,2207207,Padre Marcos - PI,2020,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2020,Quantidade produzida,Total
6,Município,Mil Reais,10458,2207207,Padre Marcos - PI,2020,Valor da produção,Total
6,Município,Hectares,3525,2207207,Padre Marcos - PI,2021,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2021,Quantidade produzida,Total
6,Município,Mil Reais,4043,2207207,Padre Marcos - PI,2021,Valor da produção,Total
6,Município,Hectares,2490,2207207,Padre Marcos - PI,2022,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2022,Quantidade produzida,Total
6,Município,Mil Reais,3308,2207207,Padre Marcos - PI,2022,Valor da produção,Total
6,Município,Hectares,2797,2207207,Padre Marcos - PI,2023,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2023,Quantidade produzida,Total
6,Município,Mil Reais,2975,2207207,Padre Marcos - PI,2023,Valor da produção,Total
6,Município,Hectares,3016,2207207,Padre Marcos - PI,2024,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207207,Padre Marcos - PI,2024,Quantidade produzida,Total
6,Município,Mil Reais,3663,2207207,Padre Marcos - PI,2024,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1974,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1974,Quantidade produzida,Total
6,Município,Mil Cruzeiros,1121,2207306,Paes Landim - PI,1974,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1975,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1975,Quantidade produzida,Total
6,Município,Mil Cruzeiros,2341,2207306,Paes Landim - PI,1975,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1976,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1976,Quantidade produzida,Total
6,Município,Mil Cruzeiros,3182,2207306,Paes Landim - PI,1976,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1977,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1977,Quantidade produzida,Total
6,Município,Mil Cruzeiros,8590,2207306,Paes Landim - PI,1977,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1978,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1978,Quantidade produzida,Total
6,Município,Mil Cruzeiros,8066,2207306,Paes Landim - PI,1978,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1979,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1979,Quantidade produzida,Total
6,Município,Mil Cruzeiros,12220,2207306,Paes Landim - PI,1979,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1980,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1980,Quantidade produzida,Total
6,Município,Mil Cruzeiros,24638,2207306,Paes Landim - PI,1980,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1981,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1981,Quantidade produzida,Total
6,Município,Mil Cruzeiros,41280,2207306,Paes Landim - PI,1981,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1982,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1982,Quantidade produzida,Total
6,Município,Mil Cruzeiros,33646,2207306,Paes Landim - PI,1982,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1983,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1983,Quantidade produzida,Total
6,Município,Mil Cruzeiros,31361,2207306,Paes Landim - PI,1983,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1984,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1984,Quantidade produzida,Total
6,Município,Mil Cruzeiros,1294413,2207306,Paes Landim - PI,1984,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1985,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1985,Quantidade produzida,Total
6,Município,Mil Cruzeiros,6364,2207306,Paes Landim - PI,1985,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1986,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1986,Quantidade produzida,Total
6,Município,Mil Cruzados,12670,2207306,Paes Landim - PI,1986,Valor da produção,Total
6,Município,,NA,2207306,Paes Landim - PI,1987,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1987,Quantidade produzida,Total
6,Município,Mil Cruzados,10903,2207306,Paes Landim - PI,1987,Valor da produção,Total
6,Município,Hectares,4198,2207306,Paes Landim - PI,1988,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1988,Quantidade produzida,Total
6,Município,Mil Cruzados,138956,2207306,Paes Landim - PI,1988,Valor da produção,Total
6,Município,Hectares,3490,2207306,Paes Landim - PI,1989,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1989,Quantidade produzida,Total
6,Município,Mil Cruzados Novos,1458,2207306,Paes Landim - PI,1989,Valor da produção,Total
6,Município,Hectares,2597,2207306,Paes Landim - PI,1990,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1990,Quantidade produzida,Total
6,Município,Mil Cruzeiros,24750,2207306,Paes Landim - PI,1990,Valor da produção,Total
6,Município,Hectares,3789,2207306,Paes Landim - PI,1991,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1991,Quantidade produzida,Total
6,Município,Mil Cruzeiros,150841,2207306,Paes Landim - PI,1991,Valor da produção,Total
6,Município,Hectares,3518,2207306,Paes Landim - PI,1992,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1992,Quantidade produzida,Total
6,Município,Mil Cruzeiros,1123890,2207306,Paes Landim - PI,1992,Valor da produção,Total
6,Município,Hectares,3396,2207306,Paes Landim - PI,1993,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1993,Quantidade produzida,Total
6,Município,Mil Cruzeiros Reais,31195,2207306,Paes Landim - PI,1993,Valor da produção,Total
6,Município,Hectares,3642,2207306,Paes Landim - PI,1994,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1994,Quantidade produzida,Total
6,Município,Mil Reais,231,2207306,Paes Landim - PI,1994,Valor da produção,Total
6,Município,Hectares,3747,2207306,Paes Landim - PI,1995,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1995,Quantidade produzida,Total
6,Município,Mil Reais,506,2207306,Paes Landim - PI,1995,Valor da produção,Total
6,Município,Hectares,2767,2207306,Paes Landim - PI,1996,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1996,Quantidade produzida,Total
6,Município,Mil Reais,334,2207306,Paes Landim - PI,1996,Valor da produção,Total
6,Município,Hectares,2015,2207306,Paes Landim - PI,1997,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1997,Quantidade produzida,Total
6,Município,Mil Reais,145,2207306,Paes Landim - PI,1997,Valor da produção,Total
6,Município,Hectares,2248,2207306,Paes Landim - PI,1998,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2207306,Paes Landim - PI,1998,Quantidade produzida,Total
6,Município,Mil Reais,223,2207306,Paes Landim - PI,1998,Valor da produção,Total
6,Município,Hectares,1982,2207306,Paes Landim - PI,1999,Área plantada ou destinada à colheita,Total
