code_muni,ano,serie,value
2100105,2009,area_plantada_ha,2181
2100105,2009,valor_producao_mil_reais,1308
2100105,2010,area_plantada_ha,2520
2100105,2010,valor_producao_mil_reais,2651
2100105,2011,area_plantada_ha,2341
2100105,2011,valor_producao_mil_reais,2057
2100105,2012,area_plantada_ha,2512
2100105,2012,valor_producao_mil_reais,1426
2100105,2013,area_plantada_ha,2527
2100105,2013,valor_producao_mil_reais,3220
2100105,2014,area_plantada_ha,2429
2100105,2014,valor_producao_mil_reais,5755
2100105,2015,area_plantada_ha,3114
2100105,2015,valor_producao_mil_reais,6345
2100105,2016,area_plantada_ha,4868
2100105,2016,valor_producao_mil_reais,6300
2100105,2017,area_plantada_ha,6388
2100105,2017,valor_producao_mil_reais,17098
2100105,2018,area_plantada_ha,6691
2100105,2018,valor_producao_mil_reais,20206
2100105,2019,area_plantada_ha,7306
2100105,2019,valor_producao_mil_reais,22370
2100105,2020,area_plantada_ha,7996
2100105,2020,valor_producao_mil_reais,32692
2100105,2021,area_plantada_ha,10096
2100105,2021,valor_producao_mil_reais,72552
2100105,2022,area_plantada_ha,10586
2100105,2022,valor_producao_mil_reais,85289
2100105,2023,area_plantada_ha,8452
2100105,2023,valor_producao_mil_reais,57795
2100105,2024,area_plantada_ha,11476
2100105,2024,valor_producao_mil_reais,57889
2100154,1997,area_plantada_ha,2428
2100154,1997,valor_producao_mil_reais,889
2100154,1998,area_plantada_ha,2445
2100154,1998,valor_producao_mil_reais,924
2100154,1999,area_plantada_ha,2581
2100154,1999,valor_producao_mil_reais,766
2100154,2000,area_plantada_ha,2631
2100154,2000,valor_producao_mil_reais,829
2100154,2001,area_plantada_ha,2651
2100154,2001,valor_producao_mil_reais,1054
2100154,2002,area_plantada_ha,2683
2100154,2002,valor_producao_mil_reais,1218
2100154,2003,area_plantada_ha,2710
2100154,2003,valor_producao_mil_reais,1687
2100154,2004,area_plantada_ha,2769
2100154,2004,valor_producao_mil_reais,1906
2100154,2005,area_plantada_ha,2893
2100154,2005,valor_producao_mil_reais,1931
2100154,2006,area_plantada_ha,3207
2100154,2006,valor_producao_mil_reais,1247
2100154,2007,area_plantada_ha,3351
2100154,2007,valor_producao_mil_reais,1228
2100154,2008,area_plantada_ha,3507
2100154,2008,valor_producao_mil_reais,3151
2100154,2009,area_plantada_ha,3672
2100154,2009,valor_producao_mil_reais,3545
2100154,2010,area_plantada_ha,3866
2100154,2010,valor_producao_mil_reais,4083
2100154,2011,area_plantada_ha,3866
2100154,2011,valor_producao_mil_reais,3835
2100154,2012,area_plantada_ha,2745
2100154,2012,valor_producao_mil_reais,2482
2100154,2013,area_plantada_ha,4209
2100154,2013,valor_producao_mil_reais,5210
2100154,2014,area_plantada_ha,4117
2100154,2014,valor_producao_mil_reais,3913
2100154,2015,area_plantada_ha,2976
2100154,2015,valor_producao_mil_reais,2747
2100154,2016,area_plantada_ha,2479
2100154,2016,valor_producao_mil_reais,3004
2100154,2017,area_plantada_ha,2113
2100154,2017,valor_producao_mil_reais,2423
2100154,2018,area_plantada_ha,1449
2100154,2018,valor_producao_mil_reais,1716
2100154,2019,area_plantada_ha,1089
2100154,2019,valor_producao_mil_reais,1205
2100154,2020,area_plantada_ha,1038
2100154,2020,valor_producao_mil_reais,1277
2100154,2021,area_plantada_ha,1014
2100154,2021,valor_producao_mil_reais,2033
2100154,2022,area_plantada_ha,985
2100154,2022,valor_producao_mil_reais,2815
2100154,2023,area_plantada_ha,969
2100154,2023,valor_producao_mil_reais,3065
2100154,2024,area_plantada_ha,979
2100154,2024,valor_producao_mil_reais,3213
2100204,1974,valor_producao_mil_reais,3771
2100204,1975,valor_producao_mil_reais,8456
2100204,1976,valor_producao_mil_reais,12346
2100204,1977,valor_producao_mil_reais,12472
2100204,1978,valor_producao_mil_reais,13877
2100204,1979,valor_producao_mil_reais,21855
2100204,1980,valor_producao_mil_reais,39150
2100204,1981,valor_producao_mil_reais,89239
2100204,1982,valor_producao_mil_reais,97279
2100204,1983,valor_producao_mil_reais,105633
2100204,1984,valor_producao_mil_reais,375853
2100204,1985,valor_producao_mil_reais,429
2100204,1986,valor_producao_mil_reais,8032
2100204,1987,valor_producao_mil_reais,15955
2100204,1988,area_plantada_ha,1532
2100204,1988,valor_producao_mil_reais,76971
2100204,1989,area_plantada_ha,1502
2100204,1989,valor_producao_mil_reais,2679
2100204,1990,area_plantada_ha,1435
2100204,1990,valor_producao_mil_reais,30274
2100204,1991,area_plantada_ha,1462
2100204,1991,valor_producao_mil_reais,215719
2100204,1992,area_plantada_ha,1227
2100204,1992,valor_producao_mil_reais,1902970
2100204,1993,area_plantada_ha,969
2100204,1993,valor_producao_mil_reais,24139
2100204,1994,area_plantada_ha,1412
2100204,1994,valor_producao_mil_reais,697
2100204,1995,area_plantada_ha,1705
2100204,1995,valor_producao_mil_reais,777
2100204,1996,area_plantada_ha,2211
2100204,1996,valor_producao_mil_reais,1573
2100204,1997,area_plantada_ha,2486
2100204,1997,valor_producao_mil_reais,1696
2100204,1998,area_plantada_ha,2071
2100204,1998,valor_producao_mil_reais,1450
2100204,1999,area_plantada_ha,1784
2100204,1999,valor_producao_mil_reais,1482
2100204,2000,area_plantada_ha,1713
2100204,2000,valor_producao_mil_reais,1087
2100204,2001,area_plantada_ha,2198
2100204,2001,valor_producao_mil_reais,2062
2100204,2002,area_plantada_ha,2256
2100204,2002,valor_producao_mil_reais,1684
2100204,2003,area_plantada_ha,2332
2100204,2003,valor_producao_mil_reais,2417
2100204,2004,area_plantada_ha,2486
2100204,2004,valor_producao_mil_reais,3719
2100204,2005,area_plantada_ha,2385
2100204,2005,valor_producao_mil_reais,3854
2100204,2006,area_plantada_ha,2374
2100204,2006,valor_producao_mil_reais,2813
2100204,2007,area_plantada_ha,2479
2100204,2007,valor_producao_mil_reais,4335
2100204,2008,area_plantada_ha,2499
2100204,2008,valor_producao_mil_reais,3892
2100204,2009,area_plantada_ha,2422
2100204,2009,valor_producao_mil_reais,3560
2100204,2010,area_plantada_ha,2449
2100204,2010,valor_producao_mil_reais,4043
2100204,2011,area_plantada_ha,2306
2100204,2011,valor_producao_mil_reais,3857
2100204,2012,area_plantada_ha,2459
2100204,2012,valor_producao_mil_reais,5273
2100204,2013,area_plantada_ha,2207
2100204,2013,valor_producao_mil_reais,3085
2100204,2014,area_plantada_ha,2216
2100204,2014,valor_producao_mil_reais,5902
2100204,2015,area_plantada_ha,1959
2100204,2015,valor_producao_mil_reais,5082
2100204,2016,area_plantada_ha,1620
2100204,2016,valor_producao_mil_reais,3782
2100204,2017,area_plantada_ha,1506
2100204,2017,valor_producao_mil_reais,3787
2100204,2018,area_plantada_ha,1288
2100204,2018,valor_producao_mil_reais,2854
2100204,2019,area_plantada_ha,1291
2100204,2019,valor_producao_mil_reais,2823
2100204,2020,area_plantada_ha,1087
2100204,2020,valor_producao_mil_reais,3102
2100204,2021,area_plantada_ha,1063
2100204,2021,valor_producao_mil_reais,3096
2100204,2022,area_plantada_ha,1037
2100204,2022,valor_producao_mil_reais,2641
2100204,2023,area_plantada_ha,1044
2100204,2023,valor_producao_mil_reais,3152
2100204,2024,area_plantada_ha,1040
2100204,2024,valor_producao_mil_reais,4140
2100303,1974,valor_producao_mil_reais,5761
2100303,1975,valor_producao_mil_reais,14264
2100303,1976,valor_producao_mil_reais,17575
2100303,1977,valor_producao_mil_reais,19001
2100303,1978,valor_producao_mil_reais,65384
2100303,1979,valor_producao_mil_reais,112102
2100303,1980,valor_producao_mil_reais,229321
2100303,1981,valor_producao_mil_reais,495767
2100303,1982,valor_producao_mil_reais,919019
2100303,1983,valor_producao_mil_reais,1225224
2100303,1984,valor_producao_mil_reais,7870540
2100303,1985,valor_producao_mil_reais,23513
2100303,1986,valor_producao_mil_reais,42233
2100303,1987,valor_producao_mil_reais,164715
2100303,1988,area_plantada_ha,10715
2100303,1988,valor_producao_mil_reais,1339328
2100303,1989,area_plantada_ha,9520
2100303,1989,valor_producao_mil_reais,16509
2100303,1990,area_plantada_ha,10475
2100303,1990,valor_producao_mil_reais,328697
2100303,1991,area_plantada_ha,10226
2100303,1991,valor_producao_mil_reais,1739911
2100303,1992,area_plantada_ha,10514
2100303,1992,valor_producao_mil_reais,13934032
2100303,1993,area_plantada_ha,7442
2100303,1993,valor_producao_mil_reais,111805
2100303,1994,area_plantada_ha,4108
2100303,1994,valor_producao_mil_reais,737
2100303,1995,area_plantada_ha,4765
2100303,1995,valor_producao_mil_reais,1101
2100303,1996,area_plantada_ha,5185
2100303,1996,valor_producao_mil_reais,1128
2100303,1997,area_plantada_ha,5009
2100303,1997,valor_producao_mil_reais,1101
2100303,1998,area_plantada_ha,4673
