serie,code_muni,ano,value
ADH_IDHM,2102606,2000,0.382
ADH_IDHM,2102606,2010,0.561
ADH_IDHM,2102705,1991,0.293
ADH_IDHM,2102705,2000,0.378
ADH_IDHM,2102705,2010,0.565
ADH_IDHM,2102754,1991,0.274
ADH_IDHM,2102754,2000,0.367
ADH_IDHM,2102754,2010,0.537
ADH_IDHM,2102804,1991,0.353
ADH_IDHM,2102804,2000,0.476
ADH_IDHM,2102804,2010,0.634
ADH_IDHM,2102903,1991,0.282
ADH_IDHM,2102903,2000,0.381
ADH_IDHM,2102903,2010,0.574
ADH_IDHM,2103000,1991,0.357
ADH_IDHM,2103000,2000,0.469
ADH_IDHM,2103000,2010,0.624
ADH_IDHM,2103109,1991,0.342
ADH_IDHM,2103109,2000,0.452
ADH_IDHM,2103109,2010,0.605
ADH_IDHM,2103125,1991,0.26
ADH_IDHM,2103125,2000,0.392
ADH_IDHM,2103125,2010,0.585
ADH_IDHM,2103158,1991,0.16
ADH_IDHM,2103158,2000,0.307
ADH_IDHM,2103158,2010,0.542
ADH_IDHM,2103174,1991,0.181
ADH_IDHM,2103174,2000,0.321
ADH_IDHM,2103174,2010,0.518
ADH_IDHM,2103208,1991,0.328
ADH_IDHM,2103208,2000,0.42
ADH_IDHM,2103208,2010,0.604
ADH_IDHM,2103257,1991,0.286
ADH_IDHM,2103257,2000,0.414
ADH_IDHM,2103257,2010,0.6
ADH_IDHM,2103307,1991,0.301
ADH_IDHM,2103307,2000,0.4
ADH_IDHM,2103307,2010,0.595
ADH_IDHM,2103406,1991,0.274
ADH_IDHM,2103406,2000,0.387
ADH_IDHM,2103406,2010,0.564
ADH_IDHM,2103505,1991,0.324
ADH_IDHM,2103505,2000,0.408
ADH_IDHM,2103505,2010,0.596
ADH_IDHM,2103554,1991,0.206
ADH_IDHM,2103554,2000,0.309
ADH_IDHM,2103554,2010,0.512
ADH_IDHM,2103604,1991,0.287
ADH_IDHM,2103604,2000,0.376
ADH_IDHM,2103604,2010,0.576
ADH_IDHM,2103703,1991,0.323
ADH_IDHM,2103703,2000,0.46
ADH_IDHM,2103703,2010,0.612
ADH_IDHM,2103752,1991,0.235
ADH_IDHM,2103752,2000,0.418
ADH_IDHM,2103752,2010,0.607
ADH_IDHM,2103802,1991,0.382
ADH_IDHM,2103802,2000,0.48
ADH_IDHM,2103802,2010,0.622
ADH_IDHM,2103901,1991,0.286
ADH_IDHM,2103901,2000,0.383
ADH_IDHM,2103901,2010,0.533
ADH_IDHM,2104008,1991,0.271
ADH_IDHM,2104008,2000,0.375
ADH_IDHM,2104008,2010,0.586
ADH_IDHM,2104057,1991,0.333
ADH_IDHM,2104057,2000,0.468
ADH_IDHM,2104057,2010,0.659
ADH_IDHM,2104073,1991,0.123
ADH_IDHM,2104073,2000,0.302
ADH_IDHM,2104073,2010,0.532
ADH_IDHM,2104081,1991,0.155
ADH_IDHM,2104081,2000,0.261
ADH_IDHM,2104081,2010,0.443
ADH_IDHM,2104099,1991,0.187
ADH_IDHM,2104099,2000,0.335
ADH_IDHM,2104099,2010,0.556
ADH_IDHM,2104107,1991,0.3
ADH_IDHM,2104107,2000,0.42
ADH_IDHM,2104107,2010,0.616
ADH_IDHM,2104206,1991,0.302
ADH_IDHM,2104206,2000,0.43
ADH_IDHM,2104206,2010,0.58
ADH_IDHM,2104305,1991,0.299
ADH_IDHM,2104305,2000,0.388
ADH_IDHM,2104305,2010,0.604
ADH_IDHM,2104404,1991,0.288
ADH_IDHM,2104404,2000,0.395
ADH_IDHM,2104404,2010,0.568
ADH_IDHM,2104503,1991,0.321
ADH_IDHM,2104503,2000,0.377
ADH_IDHM,2104503,2010,0.565
ADH_IDHM,2104552,1991,0.267
ADH_IDHM,2104552,2000,0.422
ADH_IDHM,2104552,2010,0.629
ADH_IDHM,2104602,1991,0.241
ADH_IDHM,2104602,2000,0.393
ADH_IDHM,2104602,2010,0.572
ADH_IDHM,2104628,1991,0.213
ADH_IDHM,2104628,2000,0.369
ADH_IDHM,2104628,2010,0.544
ADH_IDHM,2104651,1991,0.175
ADH_IDHM,2104651,2000,0.318
ADH_IDHM,2104651,2010,0.521
ADH_IDHM,2104677,1991,0.273
ADH_IDHM,2104677,2000,0.361
ADH_IDHM,2104677,2010,0.569
ADH_IDHM,2104701,1991,0.316
ADH_IDHM,2104701,2000,0.406
ADH_IDHM,2104701,2010,0.57
ADH_IDHM,2104800,1991,0.295
ADH_IDHM,2104800,2000,0.421
ADH_IDHM,2104800,2010,0.609
ADH_IDHM,2104909,1991,0.374
ADH_IDHM,2104909,2000,0.479
ADH_IDHM,2104909,2010,0.625
ADH_IDHM,2105005,1991,0.212
ADH_IDHM,2105005,2000,0.365
ADH_IDHM,2105005,2010,0.535
ADH_IDHM,2105104,1991,0.21
ADH_IDHM,2105104,2000,0.348
ADH_IDHM,2105104,2010,0.546
ADH_IDHM,2105153,1991,0.205
ADH_IDHM,2105153,2000,0.341
ADH_IDHM,2105153,2010,0.569
ADH_IDHM,2105203,1991,0.333
ADH_IDHM,2105203,2000,0.443
ADH_IDHM,2105203,2010,0.614
ADH_IDHM,2105302,1991,0.444
ADH_IDHM,2105302,2000,0.591
ADH_IDHM,2105302,2010,0.731
ADH_IDHM,2105351,1991,0.143
ADH_IDHM,2105351,2000,0.319
ADH_IDHM,2105351,2010,0.518
ADH_IDHM,2105401,1991,0.338
ADH_IDHM,2105401,2000,0.431
ADH_IDHM,2105401,2010,0.599
ADH_IDHM,2105427,1991,0.313
ADH_IDHM,2105427,2000,0.48
ADH_IDHM,2105427,2010,0.63
ADH_IDHM,2105450,1991,0.194
ADH_IDHM,2105450,2000,0.385
ADH_IDHM,2105450,2010,0.561
ADH_IDHM,2105476,1991,0.17
ADH_IDHM,2105476,2000,0.335
ADH_IDHM,2105476,2010,0.49
ADH_IDHM,2105500,1991,0.299
ADH_IDHM,2105500,2000,0.454
ADH_IDHM,2105500,2010,0.641
ADH_IDHM,2105609,1991,0.251
ADH_IDHM,2105609,2000,0.367
ADH_IDHM,2105609,2010,0.561
ADH_IDHM,2105658,1991,0.208
ADH_IDHM,2105658,2000,0.372
ADH_IDHM,2105658,2010,0.552
ADH_IDHM,2105708,1991,0.31
ADH_IDHM,2105708,2000,0.43
ADH_IDHM,2105708,2010,0.589
ADH_IDHM,2105807,1991,0.32
ADH_IDHM,2105807,2000,0.388
ADH_IDHM,2105807,2010,0.581
ADH_IDHM,2105906,1991,0.257
ADH_IDHM,2105906,2000,0.348
ADH_IDHM,2105906,2010,0.557
ADH_IDHM,2105922,1991,0.217
ADH_IDHM,2105922,2000,0.313
ADH_IDHM,2105922,2010,0.566
ADH_IDHM,2105948,1991,0.279
ADH_IDHM,2105948,2000,0.393
ADH_IDHM,2105948,2010,0.602
ADH_IDHM,2105963,1991,0.133
ADH_IDHM,2105963,2000,0.309
ADH_IDHM,2105963,2010,0.502
ADH_IDHM,2105989,1991,0.149
ADH_IDHM,2105989,2000,0.374
ADH_IDHM,2105989,2010,0.589
ADH_IDHM,2106003,1991,0.325
ADH_IDHM,2106003,2000,0.405
ADH_IDHM,2106003,2010,0.581
ADH_IDHM,2106102,1991,0.293
ADH_IDHM,2106102,2000,0.398
ADH_IDHM,2106102,2010,0.582
ADH_IDHM,2106201,1991,0.314
ADH_IDHM,2106201,2000,0.452
ADH_IDHM,2106201,2010,0.588
ADH_IDHM,2106300,1991,0.277
ADH_IDHM,2106300,2000,0.386
ADH_IDHM,2106300,2010,0.567
ADH_IDHM,2106326,1991,0.278
ADH_IDHM,2106326,2000,0.391
ADH_IDHM,2106326,2010,0.582
ADH_IDHM,2106359,1991,0.166
ADH_IDHM,2106359,2000,0.309
ADH_IDHM,2106359,2010,0.452
ADH_IDHM,2106375,1991,0.192
ADH_IDHM,2106375,2000,0.306
ADH_IDHM,2106375,2010,0.55
ADH_IDHM,2106409,1991,0.267
ADH_IDHM,2106409,2000,0.39
ADH_IDHM,2106409,2010,0.57
ADH_IDHM,2106508,1991,0.31
ADH_IDHM,2106508,2000,0.443
ADH_IDHM,2106508,2010,0.619
ADH_IDHM,2106607,1991,0.222
