serie,code_muni,ano,value
PIB,2100550,2005,23042.3262000179
PIB,2100550,2006,21815.4354045988
PIB,2100550,2007,26165.5276260054
PIB,2100550,2008,31180.6048988126
PIB,2100550,2009,27419.5043860348
PIB,2100550,2010,30296.18
PIB,2100600,1959,8475.0966540583
PIB,2100600,1970,18375.7140930878
PIB,2100600,1975,31044.2400012233
PIB,2100600,1980,32657.0929395099
PIB,2100600,1985,48906.8162479721
PIB,2100600,1996,55872.1379647515
PIB,2100600,1999,90317.0665559464
PIB,2100600,2000,91237.2217274595
PIB,2100600,2001,104865.879011214
PIB,2100600,2002,101948.128889271
PIB,2100600,2003,106888.796639876
PIB,2100600,2004,116315.911790676
PIB,2100600,2005,116373.546523987
PIB,2100600,2006,127411.510726346
PIB,2100600,2007,136369.13948878
PIB,2100600,2008,155798.043962168
PIB,2100600,2009,142551.744954365
PIB,2100600,2010,144057.957
PIB,2100709,1920,1639.3460674562
PIB,2100709,1939,14943.8655270004
PIB,2100709,1949,5963.1999487426
PIB,2100709,1959,17213.1540563299
PIB,2100709,1970,16156.1391868184
PIB,2100709,1975,26405.6920068361
PIB,2100709,1980,39868.5846585728
PIB,2100709,1985,38666.2096596195
PIB,2100709,1996,31972.2224833125
PIB,2100709,1999,48011.3757436769
PIB,2100709,2000,52558.3178003012
PIB,2100709,2001,58810.5809031585
PIB,2100709,2002,61415.7910929872
PIB,2100709,2003,61742.7821092956
PIB,2100709,2004,66007.9267199031
PIB,2100709,2005,73222.9175296526
PIB,2100709,2006,79950.5603671667
PIB,2100709,2007,82503.2966035419
PIB,2100709,2008,112438.494274997
PIB,2100709,2009,85640.6501737228
PIB,2100709,2010,93059.932
PIB,2100808,1970,7733.1112976227
PIB,2100808,1975,11820.1898902336
PIB,2100808,1980,21665.6635056221
PIB,2100808,1985,21850.9929513593
PIB,2100808,1996,22488.3168517223
PIB,2100808,1999,28448.2100342122
PIB,2100808,2000,38363.9601628846
PIB,2100808,2001,35475.2387793368
PIB,2100808,2002,35067.9090146333
PIB,2100808,2003,41660.2178656939
PIB,2100808,2004,58323.9093597363
PIB,2100808,2005,52558.6971154086
PIB,2100808,2006,58883.9697326036
PIB,2100808,2007,52051.5827527608
PIB,2100808,2008,90880.1324777915
PIB,2100808,2009,71724.6296270382
PIB,2100808,2010,71494.742
PIB,2100832,1999,21431.0218604138
PIB,2100832,2000,25232.7287666844
PIB,2100832,2001,27134.2914890143
PIB,2100832,2002,25669.3878705364
PIB,2100832,2003,25120.6469593455
PIB,2100832,2004,26588.7426083931
