grupo,ano_tratamento,tipo_outcome,outcome_var,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
Nordeste,1920,persistencia,log(pib_2010),1.574285204565953,0.71031976926024,2.2163049272942055,0.02685232038123825,102.00549903182049,1252,**,+1.5743**
Nordeste,1920,persistencia,log(pop_total_2010),1.0927206263141702,0.5596584200414382,1.9524777742703543,0.05110717351187808,102.00549903182049,1252,*,+1.0927*
Nordeste,1920,persistencia,adh_idhm_2010,0.003066978291972444,0.022805213984135174,0.13448583705928122,0.8930403227645947,102.00549903182049,1252,,+0.0031
Nordeste,1920,persistencia,adh_gini_2010,-0.053365345279082134,0.02735607384370785,-1.95076770094904,0.05131059363700418,102.00549903182049,1252,*,-0.0534*
Nordeste,1920,persistencia,log(valor_producao_mil_reais_2010),3.042891702989252,1.043155489328745,2.917006845208961,0.0035979921997675015,102.00549903182049,1252,***,+3.0429***
Nordeste,1920,contemporaneo,log(pib_1920),1.165223904683499,0.3363820295691348,3.463989756456406,5.504543707033668e-4,102.00549903182049,1252,***,+1.1652***
Nordeste,1920,contemporaneo,log(pop_total_1940),0.5584481808217605,0.28988226127781264,1.9264655186560866,0.05427553424468334,102.00549903182049,1252,*,+0.5584*
Semiarido,1920,persistencia,log(pib_2010),2.512027836754247,1.083852308710697,2.317684629691332,0.02069069431843296,51.069030491862996,914,**,+2.5120**
Semiarido,1920,persistencia,log(pop_total_2010),2.32700677779362,0.9614449073281646,2.4203225375235733,0.015704481577217527,51.069030491862996,914,**,+2.3270**
Semiarido,1920,persistencia,adh_idhm_2010,0.03357992849047509,0.03169155822597021,1.05958590773733,0.2896182577189028,51.069030491862996,914,,+0.0336
Semiarido,1920,persistencia,adh_gini_2010,0.009519145721767534,0.049714351374913056,0.19147681622114257,0.84819537539362,51.069030491862996,914,,+0.0095
Semiarido,1920,persistencia,log(valor_producao_mil_reais_2010),2.8537996993024013,1.5190043888268476,1.878730384384497,0.060605411718630105,51.069030491862996,914,*,+2.8538*
Semiarido,1920,contemporaneo,log(pib_1920),1.3912197747684028,0.5233566929064699,2.658263080657746,0.007994283018173533,51.069030491862996,914,***,+1.3912***
Semiarido,1920,contemporaneo,log(pop_total_1940),1.4640049922761338,0.45189126723475426,3.2397284444879384,0.0012404519090561774,51.069030491862996,914,***,+1.4640***
Nao_Semiarido,1920,persistencia,log(pib_2010),-0.12538409810988954,1.2174238924078329,-0.10299132363987341,0.9180341678373796,22.809922141539108,338,,-0.1254
Nao_Semiarido,1920,persistencia,log(pop_total_2010),-1.1250882159699134,1.0064270275272458,-1.1179034199173026,0.2644441852227258,22.809922141539108,338,,-1.1251
Nao_Semiarido,1920,persistencia,adh_idhm_2010,0.0038211871412246103,0.04354698778128284,0.08774859837416848,0.9301312073089776,22.809922141539108,338,,+0.0038
Nao_Semiarido,1920,persistencia,adh_gini_2010,-0.11771516957985231,0.05251452137774163,-2.241573692219655,0.025671902025110136,22.809922141539108,338,**,-0.1177**
Nao_Semiarido,1920,persistencia,log(valor_producao_mil_reais_2010),1.1906726323658547,1.4843520444518847,0.802149757408476,0.4230597765538605,22.809922141539108,338,,+1.1907
Nao_Semiarido,1920,contemporaneo,log(pib_1920),0.04218676061563653,0.5091879246442379,0.08285106259169794,0.9340216061871518,22.809922141539108,338,,+0.0422
Nao_Semiarido,1920,contemporaneo,log(pop_total_1940),-0.5947060186720501,0.4620386039687604,-1.2871349137576817,0.19897459951945867,22.809922141539108,338,,-0.5947
MA,1920,persistencia,log(pib_2010),-12.763586553425057,20.05880082097407,-0.6363085544016708,0.526208412700486,3.8758308469689653,98,,-12.7636
MA,1920,persistencia,log(pop_total_2010),-11.916749260946915,18.02403259946022,-0.6611588830184315,0.5102183816179033,3.8758308469689653,98,,-11.9167
MA,1920,persistencia,adh_idhm_2010,-0.14111505852996586,0.5294860028085565,-0.26651329361200904,0.7904604247082931,3.8758308469689653,98,,-0.1411
MA,1920,persistencia,adh_gini_2010,0.23052187822354497,0.49478288578950713,0.4659051168589018,0.6424216388522344,3.8758308469689653,98,,+0.2305
MA,1920,persistencia,log(valor_producao_mil_reais_2010),-9.10893568205654,18.92089636108267,-0.48142199546064846,0.6313981974763068,3.8758308469689653,98,,-9.1089
MA,1920,contemporaneo,log(pib_1920),-13.600197141079889,16.74803393945573,-0.8120473836060224,0.41893110907624653,3.8758308469689653,98,,-13.6002
MA,1920,contemporaneo,log(pop_total_1940),-12.792304016902449,14.231114684725853,-0.8988968397979626,0.3711331673634056,3.8758308469689653,98,,-12.7923
CE,1920,persistencia,log(pib_2010),-0.5397693321050099,3.055428375336768,-0.17665913443168726,0.8600575527184334,5.943160011899279,136,,-0.5398
CE,1920,persistencia,log(pop_total_2010),0.7293455073648261,2.782354622080371,0.2621324764200953,0.7936440103538396,5.943160011899279,136,,+0.7293
CE,1920,persistencia,adh_idhm_2010,0.012068057346636962,0.06330377288235664,0.19063725268103957,0.8491142076709846,5.943160011899279,136,,+0.0121
CE,1920,persistencia,adh_gini_2010,0.10156604904477007,0.18995970827282455,0.5346715362338762,0.59381184227853,5.943160011899279,136,,+0.1016
CE,1920,persistencia,log(valor_producao_mil_reais_2010),2.6787332300884685,4.227389769537089,0.6336612841786287,0.5274414561637352,5.943160011899279,136,,+2.6787
