ano_trat,outcome_var,variavel_endogena,variavel_instrumento,tipo_inferencia,cutoff_km,coef,se,t_stat,p_valor,sig,F_stat_1estagio,n_obs
1950,adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,hetero,NA,0.04999070371485813,0.03215084629324667,1.5548798703118043,0.12023553666890004,,38.617680597693116,1232
1950,adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,cluster,NA,0.04999070371485813,0.04738426534460857,1.0550064109107502,0.32223929985584865,,38.617680597693116,1232
1950,adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_50,50,0.04999070371485813,0.04818134254500052,1.0375531497107557,0.29968492022489823,,38.617680597693116,1232
1950,adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_100,100,0.04999070371485813,0.04826270107715502,1.0358041012860149,0.3004999898483784,,38.617680597693116,1232
1950,adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_200,200,0.04999070371485813,0.057193365649050656,0.8740647301928439,0.382256016949338,,38.617680597693116,1232
1950,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,hetero,NA,4.364501216100063,1.4243297337221534,3.0642491782394075,0.0022303225226761366,***,38.617680597693116,1232
1950,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,cluster,NA,4.364501216100063,2.341956340605007,1.8636133989468666,0.09937749598160167,*,38.617680597693116,1232
1950,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_50,50,4.364501216100063,1.823747208616652,2.393150320109673,0.01685570004188324,**,38.617680597693116,1232
1950,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_100,100,4.364501216100063,1.8859069444542067,2.314271777265859,0.020819212937606104,**,38.617680597693116,1232
1950,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_200,200,4.364501216100063,1.9842275057457295,2.19959717495185,0.028023598982731275,**,38.617680597693116,1232
1950,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,hetero,NA,3.0703517466263888,1.0582141923218846,2.9014463885516077,0.0037815169822120838,***,38.617680597693116,1232
1950,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,cluster,NA,3.0703517466263888,1.5206192422839886,2.019145662009829,0.07816208303309138,*,38.617680597693116,1232
1950,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_50,50,3.0703517466263888,1.3549130436900574,2.2660876732460964,0.02362160792174756,**,38.617680597693116,1232
1950,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_100,100,3.0703517466263888,1.4432560285588938,2.1273784317340887,0.03358993074511663,**,38.617680597693116,1232
1950,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_200,200,3.0703517466263888,1.297907945067207,2.365615957815408,0.018156668290172182,**,38.617680597693116,1232
1950,tx_urbanizacao_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,hetero,NA,0.21353440368212329,0.16240080964854464,1.3148604624831493,0.18880532749684115,,38.617680597693116,1232
1950,tx_urbanizacao_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,cluster,NA,0.21353440368212329,0.18731545050212464,1.1399721865426218,0.2872761250627878,,38.617680597693116,1232
1950,tx_urbanizacao_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_50,50,0.21353440368212329,0.18211514211752655,1.1725241580643555,0.24121689585075293,,38.617680597693116,1232
1950,tx_urbanizacao_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_100,100,0.21353440368212329,0.21662406024730857,0.9857372419219823,0.3244586452350906,,38.617680597693116,1232
1950,tx_urbanizacao_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,conley_200,200,0.21353440368212329,0.25709603986818225,0.8305627880989773,0.40638410538757674,,38.617680597693116,1232
