escopo,especificacao,tratamento,ano_trat,outcome,transf,n_obs,coef_ss,se_ss,t_stat,p_value,f_stat,r2_ss,erro
1_PIB,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,1048,-0.0040568315755169,0.0016720653855422398,-2.4262397933686644,0.01525618620506819,211.1366215425121,0.10903258823409179,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,1048,1.3107807178222621,0.25978804800628474,5.045577453934879,4.521536773882673e-7,117.55086488320363,0.133386528882391,NA
1_PIB,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,1048,0.02927545529595242,0.009044478065613815,3.2368319192740067,0.0012086457744073797,31.962716026112425,0.15806831335158078,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"PIB Total (2010, R$ mil, preços 2010)",log,1048,-0.003895033192850457,0.0017948130994347863,-2.1701608897756883,0.0299946597544567,273.68739483166934,0.11534848268255249,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"PIB Total (2010, R$ mil, preços 2010)",log,1048,1.3591774105941048,0.2600770416100908,5.226056872147109,1.7316311695658726e-7,123.52321781832055,0.1418984937355714,NA
1_PIB,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"PIB Total (2010, R$ mil, preços 2010)",log,1048,0.029962444483817643,0.009297700071823123,3.2225651776636104,0.0012704825719331847,32.02968150418946,0.16421418601474858,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1972),1972,"PIB per capita (2000, R$/hab)",log,1040,-2.658111573750274e-4,8.199058830250137e-4,-0.3241971583303276,0.745788773325951,142.5772430746477,0.09043654897002118,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1972),1972,"PIB per capita (2000, R$/hab)",log,1040,0.5657023159939187,0.10593919415187049,5.339877469550589,9.300942238610332e-8,113.92325623333629,0.12499819323447625,NA
1_PIB,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1972),1972,"PIB per capita (2000, R$/hab)",log,1040,0.008682158275974402,0.004071689279010216,2.1323233874282623,0.03298027070574583,18.754245046310707,0.10740821878711382,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"PIB per capita (2010, R$/hab)",log,1048,4.647859242662392e-4,7.67846005229325e-4,0.6053113789755619,0.5449721221258126,273.68739483166934,0.09981527751443764,NA
1_PIB,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"PIB per capita (2010, R$/hab)",log,1048,0.5549447081390894,0.10391906023516712,5.34016288141231,9.286310986844626e-8,123.52321781832055,0.13241674951950033,NA
1_PIB,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"PIB per capita (2010, R$/hab)",log,1048,0.008308851671572415,0.002759664489655869,3.0108195045871433,0.0026054367760266484,32.02968150418946,0.12579493063822267,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1969),1969,Pop. Total (1991),log,1039,-0.0033088656441691757,0.0014816632532886295,-2.2332103039101323,0.025535079156766116,147.9660840921242,0.20771082713545985,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1969),1969,Pop. Total (1991),log,1039,0.4683210051806247,0.17475754953062075,2.6798327536548925,0.007365895237738673,113.53862260404289,0.2105383836592516,NA
2_Pop,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1969),1969,Pop. Total (1991),log,1039,0.01443736126290294,0.007100944467702751,2.0331607053918583,0.042036289557383144,18.410820919645243,0.216475039258334,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1972),1972,Pop. Total (2000),log,1040,-0.003628648390355583,0.001694599362442425,-2.1413016378842573,0.032249721138478016,142.5772430746477,0.1994480618730753,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1972),1972,Pop. Total (2000),log,1040,0.6160425349601473,0.1833626264225755,3.359695195139834,7.802850824878416e-4,113.92325623333629,0.20588144822052445,NA
2_Pop,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1972),1972,Pop. Total (2000),log,1040,0.01610159848708437,0.0077570637024743936,2.075733693143217,0.03791858791835878,18.754245046310707,0.21022064992173328,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,Pop. Total (2010),log,1048,-0.0043598191171166974,0.0014446696628508209,-3.017865764906631,0.0025456163652690655,273.68739483166934,0.1703019650440436,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,Pop. Total (2010),log,1048,0.8042327024550171,0.19708160943135733,4.080709025948603,4.489853230360552e-5,123.52321781832055,0.17890431025280318,NA
2_Pop,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,Pop. Total (2010),log,1048,0.02165359281224524,0.00692929453931212,3.1249346797711413,0.0017784454676896821,32.02968150418946,0.20416884483095232,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"Taxa de Urbanização (2010, 0–1)",nivel,1048,4.776237532236761e-5,3.2631036066897246e-4,0.14637100466086775,0.8836285156911732,273.68739483166934,0.03982016017151746,NA
2_Pop,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"Taxa de Urbanização (2010, 0–1)",nivel,1048,0.14972746247985813,0.041185744204312966,3.635419618426579,2.775285215825818e-4,123.52321781832055,0.053700031802153436,NA
2_Pop,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"Taxa de Urbanização (2010, 0–1)",nivel,1048,0.0024571877897136716,8.750159095687892e-4,2.8081635577627178,0.004982491430856717,32.02968150418946,0.05314491389706888,NA
3_PAM,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1972),1972,"Valor da Produção Agrícola (2000, R$ mil)",log,775,-0.0031826428728019642,0.0026147057998899413,-1.2172087861418017,0.22352478812667065,113.15033082273479,0.14736852523860133,NA
3_PAM,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1972),1972,"Valor da Produção Agrícola (2000, R$ mil)",log,775,1.2370661633376892,0.38743635492933565,3.192953236314948,0.001408257505405075,66.36188919055058,0.1591894312451696,NA
3_PAM,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1972),1972,"Valor da Produção Agrícola (2000, R$ mil)",log,775,0.018157918416709752,0.010273490186716739,1.7674537169643965,0.07715227362069599,18.328324646998826,0.15694514611133636,NA
3_PAM,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"Valor da Produção Agrícola (2010, R$ mil)",log,774,0.0013564862936038778,0.0032699684402566964,0.4148316163863013,0.6782651729759994,187.54352298213465,0.24827142250139056,NA
3_PAM,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"Valor da Produção Agrícola (2010, R$ mil)",log,774,1.4682529478330448,0.4719456200668413,3.111063828974824,0.0018641464033688493,69.22200000336353,0.25955907096143616,NA
3_PAM,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"Valor da Produção Agrícola (2010, R$ mil)",log,774,0.015218273596695166,0.013140626603405441,1.1581086698522653,0.2468196923821795,16.44224044608629,0.2521542167119377,NA
4_Social,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1972),1972,"IDHM (2000, 0–1)",nivel,1048,-2.8462041651748985e-5,1.7578857809941916e-4,-0.1619106426564982,0.8713762217780203,211.1366215425121,0.11617333628908855,NA
4_Social,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1972),1972,"IDHM (2000, 0–1)",nivel,1048,0.06230686426025834,0.012487754348747701,4.989437053308676,6.055550205719129e-7,117.55086488320363,0.14087785337071612,NA
4_Social,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1972),1972,"IDHM (2000, 0–1)",nivel,1048,0.0011012953714843586,3.132841657942271e-4,3.515324078675962,4.392176483127841e-4,31.962716026112425,0.14503151351858823,NA
4_Social,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"IDHM (2010, 0–1)",nivel,1048,2.2272373474349923e-5,1.2104245375568473e-4,0.18400464286113255,0.8540098126378746,273.68739483166934,0.09764758229983694,NA
4_Social,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"IDHM (2010, 0–1)",nivel,1048,0.04333892884021349,0.009066168086738111,4.780291786516642,1.7504095952691756e-6,123.52321781832055,0.12126879955673853,NA
4_Social,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"IDHM (2010, 0–1)",nivel,1048,8.160750427837825e-4,2.4495588213965135e-4,3.331518458162729,8.637357182679217e-4,32.02968150418946,0.12752972659418726,NA
4_Social,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1972),1972,"Renda dom. per capita (2000, R$, preços 2010)",log,1048,6.154467116580854e-4,0.001099797572476446,0.5595999909985855,0.57575231102283,211.1366215425121,0.08228792283001085,NA
4_Social,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1972),1972,"Renda dom. per capita (2000, R$, preços 2010)",log,1048,0.3391381567803262,0.07429591927921489,4.564694266798094,5.002228000483555e-6,117.55086488320363,0.10304725249120061,NA
4_Social,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1972),1972,"Renda dom. per capita (2000, R$, preços 2010)",log,1048,0.0068344962951174095,0.0021588254003880552,3.1658402267681716,0.0015463570516862646,31.962716026112425,0.11436966494022383,NA
4_Social,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"Renda dom. per capita (2010, R$, preços 2010)",log,1048,2.9692215246370163e-4,8.139764574165467e-4,0.3647797792654755,0.71527580036546,273.68739483166934,0.07908415921944523,NA
4_Social,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"Renda dom. per capita (2010, R$, preços 2010)",log,1048,0.270386378110424,0.061011815946832415,4.43170513636321,9.349080981824187e-6,123.52321781832055,0.10001504217447188,NA
4_Social,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"Renda dom. per capita (2010, R$, preços 2010)",log,1048,0.005740725103881743,0.0018715790613812904,3.0673163759616378,0.002159901184551005,32.02968150418946,0.11296301096411154,NA
4_Social,Completa + FE Estado | Lag Espacial,Dist. ferrovia real (1985),1985,"% Pobres (2010, linha R$255/mês)",nivel,1048,-0.003143567018602203,0.02549579662539929,-0.12329746211854134,0.901871550436186,273.68739483166934,0.14418353718503185,NA
4_Social,Completa + FE Estado | Lag Espacial,Dummy atendimento ≤25km (1985),1985,"% Pobres (2010, linha R$255/mês)",nivel,1048,-11.252008876058904,2.2543793074378136,-4.991178209867102,6.00120959814987e-7,123.52321781832055,0.16953892366466017,NA
4_Social,Completa + FE Estado | Lag Espacial,Densidade ferrovias (1985),1985,"% Pobres (2010, linha R$255/mês)",nivel,1048,-0.17388691208697976,0.05666807383163217,-3.0685163678514855,0.002151245434924176,32.02968150418946,0.16576494771916084,NA
1_PIB,Completa + FE Estado | Clima,Dist. ferrovia real (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,1048,8.899120453315994e-4,6.535650929597404e-4,1.3616272578168704,0.17331554845192754,1691.8461211309207,0.1919603588219524,NA
1_PIB,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,1048,0.5961504270263939,0.23360617107805312,2.551946398826966,0.010712299766944211,122.45590974867562,0.19643232000751287,NA
1_PIB,Completa + FE Estado | Clima,Densidade ferrovias (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,1048,0.025562303519216074,0.009091387888672624,2.811705300910691,0.004927963077987263,26.353524941336563,0.2232648973586444,NA
1_PIB,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"PIB Total (2010, R$ mil, preços 2010)",log,1048,8.211407426173756e-4,6.750009834527052e-4,1.216503031472857,0.2237933569452384,2074.284678277773,0.19817631206216124,NA
1_PIB,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"PIB Total (2010, R$ mil, preços 2010)",log,1048,0.6447026316035371,0.23394821115069864,2.755749353382529,0.005855785109223133,130.54353968099065,0.2040436545464409,NA
1_PIB,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"PIB Total (2010, R$ mil, preços 2010)",log,1048,0.0261617136341335,0.009311128041478354,2.8097254723155682,0.004958377437030537,26.502034637349432,0.22962658217924936,NA
1_PIB,Completa + FE Estado | Clima,Dist. ferrovia real (1972),1972,"PIB per capita (2000, R$/hab)",log,1040,0.0012186775548206396,3.7156435038009116e-4,3.2798559753485375,0.001038600923445987,1618.595859439773,0.2011993024337615,NA
1_PIB,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1972),1972,"PIB per capita (2000, R$/hab)",log,1040,0.19630889807485413,0.08452053025753785,2.3226179187079414,0.020199687245396225,118.86264688894512,0.18723571304094422,NA
1_PIB,Completa + FE Estado | Clima,Densidade ferrovias (1972),1972,"PIB per capita (2000, R$/hab)",log,1040,0.004970842325743525,0.0029326954418273325,1.6949739324606594,0.09008036594085622,16.611378065872252,0.18788385254768492,NA
1_PIB,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"PIB per capita (2010, R$/hab)",log,1048,0.0011899066144277005,3.332862843828535e-4,3.570223769127048,3.5667640539682743e-4,2074.284678277773,0.21198551583477065,NA
1_PIB,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"PIB per capita (2010, R$/hab)",log,1048,0.19244734540380504,0.08762362195135351,2.1962952582654833,0.02807081691141322,130.54353968099065,0.19955333721475632,NA
1_PIB,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"PIB per capita (2010, R$/hab)",log,1048,0.005535708184093437,0.0022712217516460756,2.4373261572021376,0.014796326828638406,26.502034637349432,0.2049493064128961,NA
2_Pop,Completa + FE Estado | Clima,Dist. ferrovia real (1969),1969,Pop. Total (1991),log,1039,-2.0572702069821935e-4,4.3591610496733897e-4,-0.47194177584614233,0.6369683482778723,1613.0172608952305,0.22577872148390665,NA
2_Pop,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1969),1969,Pop. Total (1991),log,1039,0.2529955710438818,0.17035110684733495,1.4851419267302506,0.13750623171411558,118.76185922442329,0.22750116429402356,NA
2_Pop,Completa + FE Estado | Clima,Densidade ferrovias (1969),1969,Pop. Total (1991),log,1039,0.013233851578232153,0.0071009110690695145,1.8636836103858265,0.062366148335667004,16.145268004067383,0.23450724311412585,NA
2_Pop,Completa + FE Estado | Clima,Dist. ferrovia real (1972),1972,Pop. Total (2000),log,1040,-2.3779865706743096e-4,4.577445317590038e-4,-0.5195008144687759,0.6034115450801578,1618.595859439773,0.22213085472822702,NA
2_Pop,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1972),1972,Pop. Total (2000),log,1040,0.3647347626614479,0.17571567886318262,2.075709834325263,0.03792079584102126,118.86264688894512,0.22558196962933108,NA
2_Pop,Completa + FE Estado | Clima,Densidade ferrovias (1972),1972,Pop. Total (2000),log,1040,0.014579625080631368,0.007658728317979743,1.9036613488957463,0.05695430331062323,16.611378065872252,0.23236398248655066,NA
2_Pop,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,Pop. Total (2010),log,1048,-3.687658718103322e-4,5.27048987180406e-4,-0.699680448648895,0.48412688909664836,2074.284678277773,0.2056302369573184,NA
2_Pop,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,Pop. Total (2010),log,1048,0.45225528619973915,0.18506419168291302,2.4437752224624223,0.014534478907954451,130.54353968099065,0.2104727057724115,NA
2_Pop,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,Pop. Total (2010),log,1048,0.02062600545004012,0.007424453558502868,2.778117646977285,0.005467481833548726,26.502034637349432,0.2356135617000693,NA
2_Pop,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"Taxa de Urbanização (2010, 0–1)",nivel,1048,-8.705439214615378e-5,1.2194078674487673e-4,-0.7139070894161778,0.47528463326810866,2074.284678277773,0.11307364707206946,NA
2_Pop,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"Taxa de Urbanização (2010, 0–1)",nivel,1048,0.07497659557495075,0.03901029224141439,1.9219695948689548,0.054609583703693065,130.54353968099065,0.11616116510327068,NA
2_Pop,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"Taxa de Urbanização (2010, 0–1)",nivel,1048,0.0018618620475890364,8.364394439652129e-4,2.225937646798099,0.026018358258232288,26.502034637349432,0.11878053553418078,NA
3_PAM,Completa + FE Estado | Clima,Dist. ferrovia real (1972),1972,"Valor da Produção Agrícola (2000, R$ mil)",log,775,0.004165013999830974,0.0012880791606014537,3.233507789914223,0.0012228000123970517,663.9512894883248,0.3141343157236155,NA
3_PAM,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1972),1972,"Valor da Produção Agrícola (2000, R$ mil)",log,775,0.038690879034664505,0.3859145248614593,0.10025763878297732,0.9201397873406001,55.128666477444526,0.3051727023120746,NA
3_PAM,Completa + FE Estado | Clima,Densidade ferrovias (1972),1972,"Valor da Produção Agrícola (2000, R$ mil)",log,775,0.0077427386726897016,0.008006748640941848,0.9670265696986973,0.333530751490964,13.785893289657217,0.30657230672216274,NA
3_PAM,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"Valor da Produção Agrícola (2010, R$ mil)",log,774,0.007080926376386347,0.0014595927672963439,4.851302729803602,1.2265316609028076e-6,976.7791040259838,0.46098776098616934,NA
3_PAM,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"Valor da Produção Agrícola (2010, R$ mil)",log,774,-0.24560092325036242,0.42939701997681406,-0.5719669951683037,0.5673443347962857,61.0687371018446,0.4452356480296926,NA
3_PAM,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"Valor da Produção Agrícola (2010, R$ mil)",log,774,9.120584027417084e-4,0.009952156519508162,0.0916442984948937,0.9269806544096313,12.588633028174963,0.44498019539839695,NA
4_Social,Completa + FE Estado | Clima,Dist. ferrovia real (1972),1972,"IDHM (2000, 0–1)",nivel,1048,-1.5578015127371746e-5,3.8525834289273396e-5,-0.4043524407648993,0.6859535678921633,1691.8461211309207,0.18865428915477533,NA
4_Social,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1972),1972,"IDHM (2000, 0–1)",nivel,1048,0.03984256295821523,0.011460477645882235,3.476518535205268,5.07969115373097e-4,122.45590974867562,0.1987485831637441,NA
4_Social,Completa + FE Estado | Clima,Densidade ferrovias (1972),1972,"IDHM (2000, 0–1)",nivel,1048,9.485352694425009e-4,3.131011377051169e-4,3.029485221276471,0.002449708887419133,26.353524941336563,0.20583284379516686,NA
4_Social,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"IDHM (2010, 0–1)",nivel,1048,-1.418245349032968e-5,2.9177149879800037e-5,-0.4860808389015575,0.6269098516904998,2074.284678277773,0.1864452100355496,NA
4_Social,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"IDHM (2010, 0–1)",nivel,1048,0.027345037607387296,0.008360203081280425,3.270858057098681,0.0010722171268811032,130.54353968099065,0.19591985919832522,NA
4_Social,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"IDHM (2010, 0–1)",nivel,1048,6.992744083754594e-4,2.459927374161626e-4,2.842662818912615,0.004473837318502039,26.502034637349432,0.2040337984403331,NA
4_Social,Completa + FE Estado | Clima,Dist. ferrovia real (1972),1972,"Renda dom. per capita (2000, R$, preços 2010)",log,1048,3.3240673217849886e-4,2.571669997457941e-4,1.2925714905375814,0.19615930523704472,1691.8461211309207,0.12045590242191906,NA
4_Social,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1972),1972,"Renda dom. per capita (2000, R$, preços 2010)",log,1048,0.20393694359287484,0.07098706496096151,2.872874709005472,0.004067553949612002,122.45590974867562,0.12605155191216433,NA
4_Social,Completa + FE Estado | Clima,Densidade ferrovias (1972),1972,"Renda dom. per capita (2000, R$, preços 2010)",log,1048,0.006177323753731232,0.002251765788824984,2.7433242766134582,0.006082059080025237,26.353524941336563,0.1399589587323422,NA
4_Social,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"Renda dom. per capita (2010, R$, preços 2010)",log,1048,9.697580208559536e-5,2.2647394796815378e-4,0.42819848797457205,0.6685066170399807,2074.284678277773,0.129615512439737,NA
4_Social,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"Renda dom. per capita (2010, R$, preços 2010)",log,1048,0.1620157785638111,0.05767417519181041,2.8091564036240775,0.004967150892144057,130.54353968099065,0.13722654872446194,NA
4_Social,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"Renda dom. per capita (2010, R$, preços 2010)",log,1048,0.005162026205755842,0.0019435647295720745,2.6559579556130317,0.007908347360981116,26.502034637349432,0.15181299248528057,NA
4_Social,Completa + FE Estado | Clima,Dist. ferrovia real (1985),1985,"% Pobres (2010, linha R$255/mês)",nivel,1048,0.004181319759976874,0.007250778950695732,0.5766718015277056,0.5641611848379424,2074.284678277773,0.1901861476395832,NA
4_Social,Completa + FE Estado | Clima,Dummy atendimento ≤25km (1985),1985,"% Pobres (2010, linha R$255/mês)",nivel,1048,-8.316018653140997,2.137773553421191,-3.8900372024120315,1.002288551028574e-4,130.54353968099065,0.20412396011275213,NA
4_Social,Completa + FE Estado | Clima,Densidade ferrovias (1985),1985,"% Pobres (2010, linha R$255/mês)",nivel,1048,-0.15665898131931777,0.05804532447088048,-2.698907840508475,0.006956743841889157,26.502034637349432,0.2040411424688704,NA
1_PIB,Dist ≤200km + FE Estado | Rios+Solo,Dist. ferrovia real (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,996,-0.008010883974415984,0.00210635965005159,-3.803189058535078,1.4284525655416935e-4,407.629339622553,0.13987571662392628,NA
1_PIB,Dist ≤200km + FE Estado | Rios+Solo,Dummy atendimento ≤25km (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,996,1.034354531357053,0.24168577518743833,4.2797493172896255,1.8710393719478802e-5,130.96294103975387,0.14867105143435877,NA
1_PIB,Dist ≤200km + FE Estado | Rios+Solo,Densidade ferrovias (1972),1972,"PIB Total (2000, R$ mil, preços 2010)",log,996,0.029136453159140614,0.009517960756545792,3.0612075322019567,0.0022044623980355116,27.83369168749318,0.17646124421590592,NA
