ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
1950,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.07292993098982826,0.0440663676379924,1.6550021002173723,0.09818275820161419,38.61768059769291,1232,*
1950,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.09492237439603553,0.05641059450390723,1.6827047335844123,0.09268961471220873,38.61768059769291,1232,*
1950,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.06093355373126444,0.045518236216882856,1.3386624525812358,0.18093141813727634,38.61768059769291,1232,
1950,1991,IDH_Geral,adh_idhm (1991),adh_idhm_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.1046788363493254,0.04833404898798101,2.1657369606124943,0.030525647891202125,38.61768059769291,1232,**
1950,2000,IDH_Geral,adh_idhm (2000),adh_idhm_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.10404894254187122,0.047022389203853564,2.212753207643142,0.027100322546182536,38.61768059769291,1232,**
1950,2010,IDH_Geral,adh_idhm (2010),adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.04999070371485832,0.03215084629324677,1.5548798703118052,0.12023553666889983,38.61768059769291,1232,
1950,1991,IDH_Longevidade,adh_idhm_l (1991),adh_idhm_l_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.03995895794494693,0.045007112296010385,0.887836519751325,0.3748047033827494,38.61768059769291,1232,
1950,2000,IDH_Longevidade,adh_idhm_l (2000),adh_idhm_l_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.05532058531412687,0.03753993341382186,1.4736463356048024,0.140836289736102,38.61768059769291,1232,
1950,2010,IDH_Longevidade,adh_idhm_l (2010),adh_idhm_l_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.01000425907424149,0.026483177854226676,0.3777590109959113,0.7056757148253907,38.61768059769291,1232,
1950,1991,IDH_Renda,adh_idhm_r (1991),adh_idhm_r_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.1422504694760718,0.05297063428598434,2.685459054691937,0.007341830075347708,38.61768059769291,1232,***
1950,2000,IDH_Renda,adh_idhm_r (2000),adh_idhm_r_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.12404760913004259,0.04706549655145665,2.635637956022019,0.008505038798203022,38.61768059769291,1232,***
1950,2010,IDH_Renda,adh_idhm_r (2010),adh_idhm_r_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.0650420397386245,0.035967864109512686,1.8083375632366883,0.07080154015345766,38.61768059769291,1232,*
1950,1959,PIB_Agropecuário,pibag (1959),pibag_1959,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.34386653849556215,0.8348510382684071,0.4118896937695465,0.6804930474796633,38.61768059769291,1232,
1950,1970,PIB_Agropecuário,pibag (1970),pibag_1970,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.759583827463451,1.113139697488427,2.479099284384422,0.013307454060883657,38.33952854228018,1232,**
1950,1975,PIB_Agropecuário,pibag (1975),pibag_1975,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.4154830790898072,0.7702142263101401,0.539438334033713,0.5896835188172782,38.006746557098474,1232,
1950,1980,PIB_Agropecuário,pibag (1980),pibag_1980,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.7300158200730804,0.9513047092726697,1.8185716975960127,0.06922536019594355,38.21132834588357,1232,*
1950,1985,PIB_Agropecuário,pibag (1985),pibag_1985,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.66637330815378,0.9449443186527529,1.7634619048555147,0.07807601882487489,38.37351227149618,1232,*
1950,1996,PIB_Agropecuário,pibag (1996),pibag_1996,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.23639102205916,1.0475945207413333,1.1802190614592223,0.23814506356407594,38.14993155688449,1232,
1950,1999,PIB_Agropecuário,pibag (1999),pibag_1999,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.16623493757083,1.10151625873993,1.966593702437834,0.049457771711852075,38.61768059769291,1232,**
1950,2000,PIB_Agropecuário,pibag (2000),pibag_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.7670264129508255,1.005132725940829,1.7580030650149665,0.07899917619200639,38.61768059769291,1232,*
1950,2001,PIB_Agropecuário,pibag (2001),pibag_2001,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.2020753853477597,1.1107641795066345,1.9824868554240291,0.047650102395622305,38.61768059769291,1232,**
1950,2002,PIB_Agropecuário,pibag (2002),pibag_2002,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.4751549476163237,1.0060760577878582,1.466245952477855,0.14284047448733148,38.61768059769291,1232,
1950,2003,PIB_Agropecuário,pibag (2003),pibag_2003,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.9387845559029628,1.0917395360763182,1.7758673125193405,0.07600543957912513,38.61768059769291,1232,*
1950,2004,PIB_Agropecuário,pibag (2004),pibag_2004,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.6963751361799466,1.0332451618661203,1.641793447274568,0.10089203080282111,38.61768059769291,1232,
1950,2005,PIB_Agropecuário,pibag (2005),pibag_2005,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.7463761380204845,1.0347866969296295,1.6876677514334595,0.091732103233824,38.61768059769291,1232,*
1950,2006,PIB_Agropecuário,pibag (2006),pibag_2006,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.150143393620331,0.9562125745040378,1.2028114085582695,0.22928403001995837,38.61768059769291,1232,
1950,2007,PIB_Agropecuário,pibag (2007),pibag_2007,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.4122308202263505,0.9901921989047368,1.4262188914318206,0.15406247607065698,38.61768059769291,1232,
1950,2008,PIB_Agropecuário,pibag (2008),pibag_2008,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.8539440299011201,0.934970506493987,0.913337933089777,0.36124633467498035,38.61768059769291,1232,
1950,2009,PIB_Agropecuário,pibag (2009),pibag_2009,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.279659223765624,0.9742961568761311,1.3134191433830276,0.18929012808894516,38.61768059769291,1232,
