grupo,ano_tratamento,ano_outcome,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
Nao_Semiarido,1950,1970,log(pib_1970),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,5.934067784933994e-4,1.2376037525299362,4.794804292410592e-4,0.9996177296848245,20.54024268321554,339,
Nao_Semiarido,1950,1970,log(pop_total_1970),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.768467542930626,0.9793302130174844,-0.7846868530307523,0.4332177030015084,20.692662961501075,339,
Nao_Semiarido,1950,1980,log(pib_1980),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.48771747074603855,1.3581933805665134,0.3590928049896751,0.719763227572485,20.62398723475233,339,
Nao_Semiarido,1950,1980,log(pop_total_1980),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.976946912239461,1.0217237150597465,-0.9561752339107964,0.33970549938868755,20.692662961501075,339,
Nao_Semiarido,1950,1991,log(pop_total_1991),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.1033857272068,0.8602489534271176,-0.12018117173514131,0.9044160066474701,22.559136322208527,339,
Nao_Semiarido,1950,2000,log(pib_2000),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.5825098034394741,1.2443016008473122,-0.46814197059845597,0.6400017604385806,20.692662961501075,339,
Nao_Semiarido,1950,2000,log(pop_total_2000),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.34974752308977,0.8758056674034345,-0.3993437541077945,0.6899088398011727,22.980523642462146,339,
Nao_Semiarido,1950,2010,log(pib_2010),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.24274253751509606,1.2677030289002345,0.19148217838185774,0.8482692814313173,20.692662961501075,339,
Nao_Semiarido,1950,2010,log(pop_total_2010),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.8122383966792237,1.040343968158028,-0.7807402374017945,0.43553245331963253,20.692662961501075,339,
Nao_Semiarido,1950,2021,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.3226154833755892,1.2879102696976537,-0.2504953108661254,0.8023650823812747,20.692662961501075,339,
Nao_Semiarido,1950,2022,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.5312581671734666,1.0168781174685784,-0.5224403574500978,0.6017286687636596,21.520661105858647,339,
Nao_Semiarido,1950,2023,log(pib_2023),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.7347703920674383,1.250638010825558,-0.5875164401747309,0.5572712420619419,20.692662961501075,339,
Nordeste,1950,1970,log(pib_1970),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,3.129244439414161,1.0990495926130763,2.8472276960443046,0.004484709015329848,38.29324798816747,1232,***
Nordeste,1950,1970,log(pop_total_1970),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.6231839817466893,0.774568649135508,2.0955973154326815,0.03632479420639278,38.617680597693116,1232,**
Nordeste,1950,1980,log(pib_1980),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.8778427501276447,1.1353811247979615,2.534693141600139,0.011379873230220132,38.380729748360345,1232,**
Nordeste,1950,1980,log(pop_total_1980),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,1.544469194103653,0.7884245557676454,1.9589308613046543,0.05034970967631801,38.617680597693116,1232,*
Nordeste,1950,1991,log(pop_total_1991),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.4233943916338596,0.893405254073984,2.712536534325301,0.006771790598808595,39.824906731723495,1232,***
Nordeste,1950,2000,log(pib_2000),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,3.3842460884125463,1.209323412092639,2.798462391922418,0.0052159445653833505,38.617680597693116,1232,***
Nordeste,1950,2000,log(pop_total_2000),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.599284416981192,0.9257722102230401,2.807693283810025,0.005069917180092347,40.082166309280026,1232,***
Nordeste,1950,2010,log(pib_2010),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,4.201412554129076,1.373661725872609,3.0585496232416016,0.0022728536513674535,38.617680597693116,1232,***
Nordeste,1950,2010,log(pop_total_2010),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,2.7700857414838653,0.99137578755732,2.7941833724920406,0.0052850139088663,38.617680597693116,1232,***
Nordeste,1950,2021,log(pib_2021),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,4.364501216100063,1.4243297337221534,3.0642491782394075,0.0022303225226761366,38.617680597693116,1232,***
Nordeste,1950,2022,log(pop_total_2022),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,3.091812675738309,1.053218884127679,2.935584162354894,0.003392103870801391,39.353720615554266,1232,***
Nordeste,1950,2023,log(pib_2023),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,4.097173831986133,1.3956195710680874,2.935738303562559,0.0033902747308974363,38.617680597693116,1232,***
Semiarido,1950,1970,log(pib_1970),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,6.571809838802145,2.269495533600407,2.8957139335614364,0.00387725902831056,15.72785560397427,893,***
Semiarido,1950,1970,log(pop_total_1970),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,3.725413632374234,1.4505113989908063,2.568344954039101,0.010383227699072085,15.854796691166316,893,**
Semiarido,1950,1980,log(pib_1980),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,4.999757117353299,1.9650113342735367,2.5443909814401686,0.011118063557089823,15.754890855045042,893,**
Semiarido,1950,1980,log(pop_total_1980),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,3.7872234306318133,1.4621632624509613,2.5901508592709774,0.00975273977466352,15.854796691166316,893,***
Semiarido,1950,1991,log(pop_total_1991),densidade_buffer_real_1950,densidade_buffer_sintetica_1950,4.698964560098986,1.698527055190317,2.7664937957508573,0.005785579301149163,15.854796691166316,893,***
