ano_tratamento,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_1estagio,n_observacoes
1858,densidade_buffer_real_10km_1858,densidade_buffer_sintetica_10km_1858,0.7679843165059451,0.06394538728544358,12.010003365493226,1.372168182617641e-31,144.24018083915863,0.9709960903608751,1321
1860,densidade_buffer_real_10km_1860,densidade_buffer_sintetica_10km_1860,0.5480102879311526,0.13625099091887732,4.022064604707596,6.101374971960648e-5,16.177003684441672,0.713925325267903,1318
1862,densidade_buffer_real_10km_1862,densidade_buffer_sintetica_10km_1862,0.5093478165064329,0.1320173413543386,3.8581887143093403,1.1983905555029797e-4,14.885620155223961,0.30191146508138345,1317
1863,densidade_buffer_real_10km_1863,densidade_buffer_sintetica_10km_1863,0.5157524734309127,0.13732352096522263,3.7557475209329048,1.8048397591494445e-4,14.10563944099366,0.25094986100898864,1316
1873,densidade_buffer_real_10km_1873,densidade_buffer_sintetica_10km_1873,0.5152355444142082,0.13747483286111528,3.7478535793873466,1.8620738649729475e-4,14.046406452526547,0.24760970355299328,1314
1875,densidade_buffer_real_10km_1875,densidade_buffer_sintetica_10km_1875,0.50586430980795,0.13827142225779754,3.658487788350082,2.6391154293694543e-4,13.384532897506675,0.2372450185941548,1312
1876,densidade_buffer_real_10km_1876,densidade_buffer_sintetica_10km_1876,0.6037263050278658,0.1335869029613295,4.519352508700883,6.771133319180129e-6,20.424547097900962,0.31159976398294487,1310
1880,densidade_buffer_real_10km_1880,densidade_buffer_sintetica_10km_1880,0.5784336490187382,0.13638466945664282,4.241192586551118,2.3818614232865635e-5,17.98771455621616,0.21608590174124942,1310
1881,densidade_buffer_real_10km_1881,densidade_buffer_sintetica_10km_1881,0.7299963126586314,0.14414696563794516,5.0642502908605636,4.6980147645533605e-7,25.646631008481304,0.24780333337989824,1303
1882,densidade_buffer_real_10km_1882,densidade_buffer_sintetica_10km_1882,0.6152782621728253,0.11012644254367888,5.587016596207498,2.8199760219447517e-8,31.214754446298013,0.25623016121728537,1297
1883,densidade_buffer_real_10km_1883,densidade_buffer_sintetica_10km_1883,0.4556723894547496,0.07806498133163042,5.837090865608392,6.731702314967613e-9,34.071629773368926,0.27011793997254463,1293
1884,densidade_buffer_real_10km_1884,densidade_buffer_sintetica_10km_1884,0.5095926716118511,0.07095684352811645,7.181726895869127,1.1685841015909555e-12,51.57720120685,0.30837840367315683,1290
1885,densidade_buffer_real_10km_1885,densidade_buffer_sintetica_10km_1885,0.4906742126721633,0.07279477717353096,6.740513972623001,2.389243683569058e-11,45.434528615125906,0.285936295676231,1288
