Escopo,Outcome,Tratamento,Modelo,Desc_Modelo,Coeficiente,DP,P_Valor,F_Stat,N_Obs
1_PIB,PIB Total (1970),Distância,M1,Base (Efeito Fixo UF),-0.0011521035738749634,7.07132514281652e-4,0.10325773462682664,1388.6587711660732,1230
1_PIB,PIB Total (1970),Distância,M2,+ Lag Espacial,0.007022540543906192,0.00469880500430451,0.13503517361169037,38.974266358870416,1230
1_PIB,PIB Total (1970),Distância,M3,+ Clima,0.005196309066211293,0.005291019985827685,0.326050740208621,41.154006217332515,1230
1_PIB,PIB Total (1970),Distância,M4,+ Geografia/Solo (Completa),-0.014736100972932344,0.018120245343942933,0.4160807024531854,3.7931844152377563,1228
1_PIB,PIB Total (1970),Dummy,M1,Base (Efeito Fixo UF),0.6881997734001761,0.18566400653317253,2.0998188874066237e-4,173.49196170350876,1230
1_PIB,PIB Total (1970),Dummy,M2,+ Lag Espacial,0.6489615654206251,0.22842023898169253,0.004496017228058591,112.17925225355401,1230
1_PIB,PIB Total (1970),Dummy,M3,+ Clima,0.2675414279192032,0.26364474681220523,0.3102106881972877,82.58601392015531,1230
1_PIB,PIB Total (1970),Dummy,M4,+ Geografia/Solo (Completa),0.3377115834346587,0.2581760637147286,0.19085059268745086,78.88087296134356,1228
1_PIB,PIB Total (1970),Densidade,M1,Base (Efeito Fixo UF),0.05311653701371131,0.021355682206504297,0.012874139798644046,6.928749286448903,1230
1_PIB,PIB Total (1970),Densidade,M2,+ Lag Espacial,0.05802171733004996,0.02719628062333849,0.03288839436324942,4.947877572852317,1230
1_PIB,PIB Total (1970),Densidade,M3,+ Clima,0.058202914732735644,0.03852641905253258,0.13085793266301482,2.605744590192304,1230
1_PIB,PIB Total (1970),Densidade,M4,+ Geografia/Solo (Completa),0.060538154362058526,0.04060325535288747,0.1359698969762646,2.5409108659912634,1228
1_PIB,PIB Total (1980),Distância,M1,Base (Efeito Fixo UF),-0.001342974279371911,6.133479221447099e-4,0.028554718377364452,1352.0806320091763,1229
1_PIB,PIB Total (1980),Distância,M2,+ Lag Espacial,-0.0017701694200890142,0.003479202144953465,0.6109022179848085,35.43425530468217,1229
1_PIB,PIB Total (1980),Distância,M3,+ Clima,-0.003993015018627026,0.003957068428897621,0.3129342803583228,38.25323555748624,1229
1_PIB,PIB Total (1980),Distância,M4,+ Geografia/Solo (Completa),-0.015174125268328894,0.024570525505759028,0.5368559851437074,2.5288437680290645,1227
1_PIB,PIB Total (1980),Dummy,M1,Base (Efeito Fixo UF),0.9213291251044122,0.195997364310915,2.5924322919479437e-6,172.86760460177464,1229
1_PIB,PIB Total (1980),Dummy,M2,+ Lag Espacial,1.0274974670996426,0.2451938348255502,2.78276867604621e-5,111.4775473534688,1229
1_PIB,PIB Total (1980),Dummy,M3,+ Clima,0.6426578691796585,0.27488001022682007,0.0193894364053655,81.98161232290529,1229
1_PIB,PIB Total (1980),Dummy,M4,+ Geografia/Solo (Completa),0.6301038861607098,0.2813050278350828,0.025095394919892655,78.28653960941791,1227
1_PIB,PIB Total (1980),Densidade,M1,Base (Efeito Fixo UF),0.06005659454002108,0.026156124886250198,0.021671221698497556,6.888116427119979,1229
1_PIB,PIB Total (1980),Densidade,M2,+ Lag Espacial,0.0676306892090802,0.034075155883672645,0.0471722158968535,4.904833987421864,1229
1_PIB,PIB Total (1980),Densidade,M3,+ Clima,0.06736790516761673,0.047719937587820005,0.15802800937979944,2.590740431020221,1229
1_PIB,PIB Total (1980),Densidade,M4,+ Geografia/Solo (Completa),0.06755854788467543,0.04855794414776387,0.16413522171536865,2.5320929918992823,1227
1_PIB,PIB Total (1996),Distância,M1,Base (Efeito Fixo UF),-1.2875851255043268e-4,6.476562189190777e-4,0.8424138135316885,1414.8913260376785,1233
1_PIB,PIB Total (1996),Distância,M2,+ Lag Espacial,-0.0018495274332624618,0.0033131634012860756,0.5766831692251206,39.23932248060996,1233
1_PIB,PIB Total (1996),Distância,M3,+ Clima,-0.0041079366359539835,0.0036260407895927793,0.25725682619825196,41.431686878816436,1233
1_PIB,PIB Total (1996),Distância,M4,+ Geografia/Solo (Completa),-0.00764596448630514,0.016731460023501003,0.6476844807818369,3.9096200320080263,1231
1_PIB,PIB Total (1996),Dummy,M1,Base (Efeito Fixo UF),0.8784956407974016,0.19505492730475024,6.673733403683713e-6,174.28863326865428,1233
1_PIB,PIB Total (1996),Dummy,M2,+ Lag Espacial,1.1945794350177794,0.24667093006633797,1.2801833235709381e-6,112.97039666307668,1233
1_PIB,PIB Total (1996),Dummy,M3,+ Clima,0.9891884779178106,0.28105097556209413,4.3218958487822867e-4,82.96770990610244,1233
1_PIB,PIB Total (1996),Dummy,M4,+ Geografia/Solo (Completa),0.9429624579829895,0.2863872737635975,9.926100403563343e-4,79.27914318788379,1231
1_PIB,PIB Total (1996),Densidade,M1,Base (Efeito Fixo UF),0.0672954050792072,0.029058336669470435,0.020565226928017655,6.93183257434422,1233
1_PIB,PIB Total (1996),Densidade,M2,+ Lag Espacial,0.08089198345798888,0.040017433568645136,0.043236453670586705,4.952055588868268,1233
1_PIB,PIB Total (1996),Densidade,M3,+ Clima,0.09399027437481262,0.06461918068937153,0.1458005477558031,2.600438991019285,1233
1_PIB,PIB Total (1996),Densidade,M4,+ Geografia/Solo (Completa),0.09396282071384618,0.06558493241981739,0.15194669317126008,2.5402543767641506,1231
1_PIB,PIB Total (2000),Distância,M1,Base (Efeito Fixo UF),2.899340516094579e-4,6.598419347087247e-4,0.6603722694498586,1414.8913260376785,1233
1_PIB,PIB Total (2000),Distância,M2,+ Lag Espacial,-0.002561399876741347,0.0034282508207070226,0.4549761419873479,39.23932248060996,1233
1_PIB,PIB Total (2000),Distância,M3,+ Clima,-0.004828002987140027,0.003434400426803737,0.15979019309457798,41.431686878816436,1233
1_PIB,PIB Total (2000),Distância,M4,+ Geografia/Solo (Completa),-0.002747345887319376,0.014375648118549841,0.8484385534388097,3.9096200320080263,1231
1_PIB,PIB Total (2000),Dummy,M1,Base (Efeito Fixo UF),0.9399396381034798,0.19192910044320904,9.71489119372393e-7,174.28863326865428,1233
1_PIB,PIB Total (2000),Dummy,M2,+ Lag Espacial,1.365902885245044,0.24848124435508867,3.8629361265307693e-8,112.97039666307668,1233
1_PIB,PIB Total (2000),Dummy,M3,+ Clima,1.2360022841312552,0.2854105470581895,1.4869562283692517e-5,82.96770990610244,1233
1_PIB,PIB Total (2000),Dummy,M4,+ Geografia/Solo (Completa),1.176251156955336,0.2904665749068174,5.132207267233291e-5,79.27914318788379,1231
1_PIB,PIB Total (2000),Densidade,M1,Base (Efeito Fixo UF),0.0610344696297829,0.026972315146952884,0.023644557291556678,6.93183257434422,1233
1_PIB,PIB Total (2000),Densidade,M2,+ Lag Espacial,0.07513526695619208,0.03779120885304582,0.04679312791423684,4.952055588868268,1233
1_PIB,PIB Total (2000),Densidade,M3,+ Clima,0.08714181695431314,0.060763977137194385,0.15154280126068054,2.600438991019285,1233
1_PIB,PIB Total (2000),Densidade,M4,+ Geografia/Solo (Completa),0.08661042644674469,0.061383291518993306,0.15825132901682815,2.5402543767641506,1231
2_PIB_pc,PIB p.c. (1970),Distância,M1,Base (Efeito Fixo UF),-0.0011570769105315934,2.5371101586382674e-4,5.10053166102864e-6,1335.824209457506,1229
2_PIB_pc,PIB p.c. (1970),Distância,M2,+ Lag Espacial,-0.0064933602035561755,0.010202293854217356,0.5244761170823415,2.3925400697211194,1229
2_PIB_pc,PIB p.c. (1970),Distância,M3,+ Clima,-0.012224948893358067,0.014721716018913504,0.4063112868983054,2.8762455458066123,1229
2_PIB_pc,PIB p.c. (1970),Distância,M4,+ Geografia/Solo (Completa),-0.010383810653807921,0.011097085869124352,0.3494152604629157,3.7931844152377563,1228
2_PIB_pc,PIB p.c. (1970),Dummy,M1,Base (Efeito Fixo UF),0.3817101486574292,0.09343968479603666,4.4058462737472937e-5,171.78292012799147,1229
2_PIB_pc,PIB p.c. (1970),Dummy,M2,+ Lag Espacial,0.3219267359304931,0.1145663489395759,0.004954782137861047,110.43739379646952,1229
2_PIB_pc,PIB p.c. (1970),Dummy,M3,+ Clima,0.0732221488357836,0.12878605408791455,0.5696571489781774,80.6904630382245,1229
2_PIB_pc,PIB p.c. (1970),Dummy,M4,+ Geografia/Solo (Completa),0.06074699571066424,0.12995342266765772,0.6401764802032417,78.88087296134356,1228
2_PIB_pc,PIB p.c. (1970),Densidade,M1,Base (Efeito Fixo UF),0.020464505035738562,0.008228552610509492,0.012882123189078554,6.890509325488443,1229
2_PIB_pc,PIB p.c. (1970),Densidade,M2,+ Lag Espacial,0.02059356725042233,0.009762947591827494,0.0349135536990981,4.910546815358804,1229
2_PIB_pc,PIB p.c. (1970),Densidade,M3,+ Clima,0.015971677384929175,0.01121963321756115,0.15457759125634185,2.545261812620297,1229
