Outcome,Modelo,Coef,DP,P,F_Stat,N
PIB p.c. (2000),M1,0.4112364955142516,0.07028026921750283,4.8751371828359424e-9,152.9319798612134,1144
PIB p.c. (2000),M1,0.4112364955142516,0.07028026921750283,4.8751371828359424e-9,4.8068108922999e-33,1144
PIB p.c. (2000),M1,0.4112364955142516,0.07028026921750283,4.8751371828359424e-9,1,1144
PIB p.c. (2000),M1,0.4112364955142516,0.07028026921750283,4.8751371828359424e-9,1134,1144
PIB p.c. (2000),M2,0.6153021604641642,0.1166338241525206,1.3239200447046073e-7,58.98027326797992,1144
PIB p.c. (2000),M2,0.6153021604641642,0.1166338241525206,1.3239200447046073e-7,3.429763088248586e-14,1144
PIB p.c. (2000),M2,0.6153021604641642,0.1166338241525206,1.3239200447046073e-7,1,1144
PIB p.c. (2000),M2,0.6153021604641642,0.1166338241525206,1.3239200447046073e-7,1133,1144
PIB p.c. (2000),M3,0.6201267537991718,0.12774668534680186,1.2078400859483196e-6,50.7389283403097,1144
PIB p.c. (2000),M3,0.6201267537991718,0.12774668534680186,1.2078400859483196e-6,1.8746823950939676e-12,1144
PIB p.c. (2000),M3,0.6201267537991718,0.12774668534680186,1.2078400859483196e-6,1,1144
PIB p.c. (2000),M3,0.6201267537991718,0.12774668534680186,1.2078400859483196e-6,1130,1144
PIB p.c. (2000),M4,0.6163705694564777,0.13019451186835593,2.198898863881027e-6,49.6961926147695,1143
PIB p.c. (2000),M4,0.6163705694564777,0.13019451186835593,2.198898863881027e-6,3.1224432711057137e-12,1143
PIB p.c. (2000),M4,0.6163705694564777,0.13019451186835593,2.198898863881027e-6,1,1143
PIB p.c. (2000),M4,0.6163705694564777,0.13019451186835593,2.198898863881027e-6,1127,1143
PIB p.c. (2010),M1,0.38731741249626483,0.06822252783979266,1.3686485722530506e-8,155.01299472130762,1147
PIB p.c. (2010),M1,0.38731741249626483,0.06822252783979266,1.3686485722530506e-8,1.889132762411624e-33,1147
PIB p.c. (2010),M1,0.38731741249626483,0.06822252783979266,1.3686485722530506e-8,1,1147
PIB p.c. (2010),M1,0.38731741249626483,0.06822252783979266,1.3686485722530506e-8,1137,1147
PIB p.c. (2010),M2,0.5924857119006645,0.11191473132595736,1.1961606283250603e-7,59.79712440336832,1147
PIB p.c. (2010),M2,0.5924857119006645,0.11191473132595736,1.1961606283250603e-7,2.3072951954810944e-14,1147
PIB p.c. (2010),M2,0.5924857119006645,0.11191473132595736,1.1961606283250603e-7,1,1147
PIB p.c. (2010),M2,0.5924857119006645,0.11191473132595736,1.1961606283250603e-7,1136,1147
PIB p.c. (2010),M3,0.568356064748634,0.12039835192053373,2.3511535318654353e-6,51.19071243877514,1147
PIB p.c. (2010),M3,0.568356064748634,0.12039835192053373,2.3511535318654353e-6,1.501867660726048e-12,1147
PIB p.c. (2010),M3,0.568356064748634,0.12039835192053373,2.3511535318654353e-6,1,1147
PIB p.c. (2010),M3,0.568356064748634,0.12039835192053373,2.3511535318654353e-6,1133,1147
PIB p.c. (2010),M4,0.5628798625429577,0.12209008249280122,4.019622934281486e-6,50.21578243295201,1146
PIB p.c. (2010),M4,0.5628798625429577,0.12209008249280122,4.019622934281486e-6,2.4195958924039067e-12,1146
PIB p.c. (2010),M4,0.5628798625429577,0.12209008249280122,4.019622934281486e-6,1,1146
PIB p.c. (2010),M4,0.5628798625429577,0.12209008249280122,4.019622934281486e-6,1130,1146
Pop. Total (1991),M1,0.5674316181960448,0.15242484134972026,1.9710540214212813e-4,152.6497574979669,1143
