ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,0.5071403949491218,0.07999773920014897,6.33943408925958,3.1723859811255014e-10,540442.9956736887,1321,***
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,0.5448805201262221,0.07540713613486166,7.225848216165274,8.455054761123159e-13,540442.9956736887,1321,***
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,0.42113162862950987,0.05520586115412306,7.628386186274671,4.567879697363896e-14,540442.9956736887,1321,***
1860,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,0.54840978012703,0.09215870366091651,5.950710658266394,3.429197231205912e-9,1793.0965125807872,1318,***
1860,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,0.8020985632783032,0.2850735131362974,2.813655167236843,0.004972004075546368,1793.0965125807872,1318,***
1860,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,0.6389036150840623,0.2404565827947532,2.6570435612877854,0.007979556725161608,1793.0965125807872,1318,***
1862,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,0.5896549569453268,0.1070779804661319,5.5067807067189785,4.4007379096252447e-8,135.34418150922744,1317,***
1862,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,0.8611121118216817,0.31904590613739875,2.6990226022547343,0.007044604016674598,135.34418150922744,1317,***
1862,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,0.6871709200432352,0.26867954922475207,2.5575855029755634,0.01065298674255356,135.34418150922744,1317,**
1863,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,0.6377836173119924,0.14222010020334028,4.484482969707632,7.955273498495352e-6,77.42493233462388,1316,***
1863,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,0.9285403255681868,0.3894170579176711,2.3844367027304045,0.01724833597095646,77.42493233462388,1316,**
1863,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,0.7405372191445648,0.32561554460489534,2.274268631871181,0.02311259227702134,77.42493233462388,1316,**
1873,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,0.6440213914626988,0.1464669121350834,4.3970435511655435,1.1872358958538508e-5,75.81103653449412,1314,***
1873,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,0.9355066138801963,0.3952297312581279,2.3669945348043897,0.01807958657188182,75.81103653449412,1314,**
1873,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,0.7449037881268497,0.32938901984480995,2.2614712186757395,0.02389537715786043,75.81103653449412,1314,**
1875,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,0.6564585543315348,0.15611983364774273,4.204837649345178,2.7925024150294206e-5,73.55405600103397,1312,***
1875,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,0.9496965335218246,0.4092594232307345,2.32052453679582,0.02046748299653796,73.55405600103397,1312,**
1875,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,0.7539303469665531,0.33892450543279856,2.22447871098551,0.026288352095812657,73.55405600103397,1312,**
1876,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,0.2870718324937911,0.16631088533905142,1.72611571340354,0.08456585305680041,309.41345979229095,1310,*
1876,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,0.42854696902787104,0.23004420898239797,1.8628896198845921,0.062704767981412,309.41345979229095,1310,*
1876,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,0.3318094659550425,0.1871791956680901,1.7726834692858373,0.07651694281640936,309.41345979229095,1310,*
1880,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,0.29433306228441186,0.17233265374718723,1.7079355298282575,0.08788871203324261,155.18005427420601,1310,*
