Tratamento,Outcome,Coef_Base,DP_Base,Pval_Base,Coef_Inter,DP_Inter,Pval_Inter,Efeito_Total,F_Stat,N_Obs
Distância (km),População (2003),-0.0011727999847506504,5.925510947410531e-4,0.04807156255425581,0.008190133372291701,0.003922013558273964,0.03703586911682894,0.007017333387541051,NA,982
Distância (km),População (2010),-0.0012456094780607311,5.96864202657883e-4,0.0371557208427624,0.007421455240488907,0.003950561421704202,0.06060125487229887,0.006175845762428175,NA,982
Dummy Atendimento,População (2003),0.7577968471859171,0.22701540203142667,8.756568646986989e-4,-0.971704871973335,0.310549259425288,0.0018064754221130508,-0.21390802478741788,NA,982
Dummy Atendimento,População (2010),0.8231777046259515,0.23016784434650123,3.655253494856399e-4,-0.9723464591333988,0.31486169205129905,0.0020712121600363963,-0.14916875450744727,NA,982
