Escopo,Tratamento,Outcome,Transf,Coef_Base,DP_Base,Pval_Base,Coef_Inter,DP_Inter,Pval_Inter,Efeito_Total,F_Stat,N_Obs
PIB,Distância (km),PIB (2000),log,3.9231609357221744e-4,6.018158714467807e-4,0.5145965968088759,0.0023444732819638964,0.004286218832343656,0.584492854270829,0.002736789375536114,2.816321049871697e-182,1233
PIB,Dummy Atendimento,PIB (2000),log,1.0471214263187147,0.27324100440025734,1.334537128643195e-4,-0.8318517783769699,0.3760815333061164,0.027158720242483968,0.21526964794174486,3.0265805871641286e-31,1233
PIB,Distância (km),PIB (2010),log,4.0788388823809413e-4,6.126055945778848e-4,0.505653141819969,0.0020867464006577227,0.00441717363084699,0.6367138405920765,0.002494630288895817,1.6940964123493895e-221,1233
PIB,Dummy Atendimento,PIB (2010),log,1.0889347729930259,0.26102598231771346,3.2365998704669703e-05,-0.8525636781828494,0.37736108339797997,0.024041809254506386,0.23637109481017649,3.0265805871641286e-31,1233
PIB,Distância (km),PIB p.c. (2000),log,0.001405559021511437,2.2424013358277552e-4,5.064256575803168e-10,-0.004153888500777025,0.0015552598117799688,0.007666483815364574,-0.0027483294792655885,2.9062782289284375e-176,1229
PIB,Dummy Atendimento,PIB p.c. (2000),log,0.16258093065485202,0.10083854510867575,0.10715822410955098,0.14530591123052905,0.13689206554623776,0.2886899729228567,0.30788684188538107,3.7216947029695856e-31,1229
PIB,Distância (km),PIB p.c. (2010),log,0.001525279719639067,2.183742453261577e-4,4.6788184505948495e-12,-0.004092598645736752,0.0015745807198764973,0.009457671668184465,-0.0025673189260976845,1.6940964123493895e-221,1233
PIB,Dummy Atendimento,PIB p.c. (2010),log,0.15545997787636878,0.09325310266614942,0.09575581169695485,0.11748945439621883,0.13481451746626819,0.38365818538006446,0.2729494322725876,3.0265805871641286e-31,1233
Pop,Distância (km),Pop. Total (1991),log,-7.876098007453057e-4,4.926099809840652e-4,0.11011356813506745,0.005156732079801178,0.003411526672356477,0.1309052942708276,0.004369122279055872,2.5253200149121055e-177,1228
Pop,Dummy Atendimento,Pop. Total (1991),log,0.6845931085543671,0.2154512564252402,0.0015229874655003199,-0.6771124773575157,0.2939829617578127,0.021433593172806256,0.007480631196851384,4.059499781187152e-31,1228
Pop,Distância (km),Pop. Total (2000),log,-7.734084902898845e-4,5.122692920236869e-4,0.1313618544074439,0.006359579847481202,0.003552940457018238,0.07371075417112688,0.005586171357191317,2.9062782289284375e-176,1229
Pop,Dummy Atendimento,Pop. Total (2000),log,0.8242137966131384,0.2283109494936037,3.1858277303871245e-4,-0.919894203649149,0.3099405830312124,0.0030563621751335986,-0.09568040703601055,3.7216947029695856e-31,1229
Pop,Distância (km),Pop. Total (2010),log,-0.0011173958314009708,5.158002281138553e-4,0.030478606941435053,0.006179345046394495,0.00371916153978205,0.09687203548513211,0.005061949214993524,1.6940964123493895e-221,1233
Pop,Dummy Atendimento,Pop. Total (2010),log,0.9334747951166577,0.218030900714663,2.0028199714138455e-5,-0.9700531325790692,0.3152037823107515,0.0021336372801030955,-0.03657833746241157,3.0265805871641286e-31,1233
Pop,Distância (km),Tx. Urban. (2010),nivel,4.140070757549827e-4,1.0335058641437565e-4,6.552777761369233e-5,0.00030792501787326593,7.452061964218858e-4,0.6795269239228262,7.219320936282486e-4,1.6940964123493895e-221,1233
Pop,Dummy Atendimento,Tx. Urban. (2010),nivel,-0.019536491284044777,0.04209764584986075,0.642676290832572,-0.021108580498293894,0.060859892587519955,0.7287720887025435,-0.04064507178233867,3.0265805871641286e-31,1233
PAM,Distância (km),Val. Prod. (2000),log,6.673643767818723e-4,0.0010562366912047216,0.527653995003827,1.1368860580678042e-4,0.005315395611840062,0.9829403600946015,7.810529825886528e-4,3.722489643087459e-125,928
PAM,Dummy Atendimento,Val. Prod. (2000),log,1.955029688037122,0.6576239008828367,0.003027466088802471,-1.2684319689317647,0.6572288536263238,0.053918709109126925,0.6865977191053574,1.282472753411105e-34,928
PAM,Distância (km),Val. Prod. (2010),log,0.002518871844828575,0.001234853921178132,0.04165503226571187,-0.0085024792452514375,0.006366756588622881,0.18206079245805468,-0.0059836074004228626,1.1336236779963432e-186,928
PAM,Dummy Atendimento,Val. Prod. (2010),log,1.4873321385204505,0.6374565506437996,0.01985152046342515,-0.6195247686558467,0.6766547724886932,0.3601332022487136,0.8678073698646038,1.282472753411105e-34,928
Soc,Distância (km),IDHM (2000),nivel,5.3796815921626945e-5,3.086302356758735e-5,0.08157081692537975,-6.905444311815392e-4,2.1981087424703647e-4,0.0017210209501939573,-6.367476152599123e-4,2.816321049871697e-182,1233
Soc,Dummy Atendimento,IDHM (2000),nivel,0.023087544518822514,0.013129309138358592,0.07891744380421437,0.01193362919287097,0.01807082623942827,0.5091339620469237,0.035021173711693485,3.0265805871641286e-31,1233
Soc,Distância (km),IDHM (2010),nivel,4.515417553999795e-5,2.164326372676678e-5,0.037159256623125914,-3.766621444018319e-4,1.5605808152179196e-4,0.015942138950440995,-3.3150796886183395e-4,1.6940964123493895e-221,1233
Soc,Dummy Atendimento,IDHM (2010),nivel,0.015374514766551273,0.0087660744227300285,0.07970444418576747,0.0010004264777870031,0.012672973440944093,0.937091904301647,0.016374941244338276,3.0265805871641286e-31,1233
Soc,Distância (km),Renda p.c. (2000),log,9.145568901320489e-4,1.7355690320399456e-4,1.61600853104847e-7,-0.001118397714778627,0.0012360971225432208,0.3657596815909767,-2.0384082464657818e-4,2.816321049871697e-182,1233
Soc,Dummy Atendimento,Renda p.c. (2000),log,0.04101239905485149,0.07587872036020932,0.5889512856921504,-0.0015407099216682152,0.10443741985581238,0.9882320688373195,0.039471689133183274,3.0265805871641286e-31,1233
Soc,Distância (km),Renda p.c. (2010),log,7.630883622008196e-4,1.4006378516829253e-4,6.150812611447284e-8,-7.478063009188456e-4,0.0010099255768441105,0.4591651998766164,1.5282061281973996e-5,1.6940964123493895e-221,1233
Soc,Dummy Atendimento,Renda p.c. (2010),log,0.034195604489882625,0.05734869151860145,0.55110189722107,2.676254829112601e-4,0.08290808512914614,0.9974249778800053,0.034463229972793885,3.0265805871641286e-31,1233
Soc,Distância (km),% Pobres (2010),nivel,-0.020053869679821066,0.005445756870309624,2.4107305392314697e-4,0.019462134327710823,0.03926646093415205,0.6202357213972587,-5.917353521102432e-4,1.6940964123493895e-221,1233
Soc,Dummy Atendimento,% Pobres (2010),nivel,-2.1948970783649955,2.222236059416284,0.3234964837311569,1.9363259084155686,3.212651091287472,0.5468075506476526,-0.25857116994942686,3.0265805871641286e-31,1233
