ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1860,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1860,densidade_buffer_sintetica_5km_1860,0.6389056291924327,0.24045899508403665,2.6570252818745463,0.007979987023398586,1792.9981538243378,0.26238250382977435,1316,***
1860,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1860,densidade_buffer_sintetica_10km_1860,0.276932115185576,0.05989355715428044,4.623737983573486,4.144596275067203e-6,3034.530300620885,0.26840798418571765,1316,***
1860,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1860,densidade_buffer_sintetica_20km_1860,0.1284129477585956,0.024391997459512402,5.264552358688323,1.64284966317342e-7,6337.210265910083,0.27234409892324385,1316,***
1860,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1860,densidade_buffer_sintetica_50km_1860,0.06879370023007748,0.012837497914865334,5.358809067491025,9.901730121031569e-8,6450.495814826803,0.2766342379892638,1316,***
1862,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1862,densidade_buffer_sintetica_5km_1862,0.5896513170282722,0.10707315854740661,5.506994703693216,4.3955159761296285e-8,135.34019541016158,0.15367102019745826,1315,***
1862,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1862,densidade_buffer_sintetica_10km_1862,0.31403098297582355,0.04573896720707148,6.865720897328716,1.0226538308549417e-11,380.29628911617147,0.16536166531499452,1315,***
1862,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1862,densidade_buffer_sintetica_20km_1862,0.14031966216818612,0.02898001574651704,4.841945684071977,1.4401491147350258e-6,1188.7847148747512,0.17281798397299586,1315,***
1862,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1862,densidade_buffer_sintetica_50km_1862,0.07419708646197044,0.015125046531465828,4.905577401538064,1.0494771928714359e-6,1223.9243849830666,0.17274570274455348,1315,***
1862,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1862,densidade_buffer_sintetica_5km_1862,0.8611160994670369,0.3190496983897461,2.699003019946789,0.007045016191339643,135.34019541016158,0.1959748788655633,1315,***
1862,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1862,densidade_buffer_sintetica_10km_1862,0.3897639630518796,0.08291691397065629,4.700656891184039,2.869673286551208e-6,380.29628911617147,0.20503423208981708,1315,***
1862,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1862,densidade_buffer_sintetica_20km_1862,0.17060886769112965,0.032491674608519115,5.250848709607508,1.7673639105102277e-7,1188.7847148747512,0.2113257079033738,1315,***
1862,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1862,densidade_buffer_sintetica_50km_1862,0.08828552442501232,0.017994588770140377,4.906226285732652,1.0460760506532184e-6,1223.9243849830666,0.2102488272874543,1315,***
1862,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1862,densidade_buffer_sintetica_5km_1862,0.687174742457606,0.26868347737985504,2.557562337508767,0.010653692690713942,135.34019541016158,0.2623050952312882,1315,**
1862,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1862,densidade_buffer_sintetica_10km_1862,0.2989000521213711,0.06747393379948032,4.429859581177602,1.022294232944034e-5,380.29628911617147,0.26837933490721666,1315,***
1862,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1862,densidade_buffer_sintetica_20km_1862,0.12784884277942013,0.026344619044696746,4.852939515371603,1.3638830148089037e-6,1188.7847148747512,0.2721709839319536,1315,***
1862,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1862,densidade_buffer_sintetica_50km_1862,0.0759378557963695,0.014282544678679614,5.316829563973033,1.2420200702739224e-7,1223.9243849830666,0.27646435051043694,1315,***
1863,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1863,densidade_buffer_sintetica_5km_1863,0.6377778188725879,0.14221407952910858,4.484632048981104,7.9497990452825e-6,77.42344960634341,0.15404657863761884,1314,***
1863,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1863,densidade_buffer_sintetica_10km_1863,0.31243693898060343,0.0436663286209939,7.155099795369331,1.3944420210796324e-12,261.0707756955056,0.16593170280508196,1314,***
1863,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1863,densidade_buffer_sintetica_20km_1863,0.14085738630446026,0.028848044329319707,4.88273605990337,1.176332048002286e-6,785.256621334588,0.17361844993423126,1314,***
1863,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1863,densidade_buffer_sintetica_50km_1863,0.07099404262523479,0.014004770985928918,5.069275513078006,4.5718520673015813e-7,1022.1062938643597,0.173707097648911,1314,***
1863,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1863,densidade_buffer_sintetica_5km_1863,0.9285396959160273,0.38941830164176433,2.3844274704125596,0.017248766816092817,77.42344960634341,0.1959202067777116,1314,**
1863,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1863,densidade_buffer_sintetica_10km_1863,0.38714214389323176,0.08035069857185305,4.818155296397736,1.6196302002074176e-6,261.0707756955056,0.20510196815922965,1314,***
1863,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1863,densidade_buffer_sintetica_20km_1863,0.17093775294121444,0.03249148607169026,5.261001376300607,1.6746197274197068e-7,785.256621334588,0.21155646810683415,1314,***
1863,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1863,densidade_buffer_sintetica_50km_1863,0.08427812393007597,0.016554244690763574,5.091028041714212,4.0863443787595973e-7,1022.1062938643597,0.2105867310913957,1314,***
1863,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1863,densidade_buffer_sintetica_5km_1863,0.7405378091560286,0.32561772556063295,2.274255211017785,0.02311340111627142,77.42344960634341,0.2624717481287744,1314,**
