escopo,especificacao,tratamento,ano_trat,outcome,transf,n_obs,coef_ss,se_ss,t_stat,p_value,f_stat,erro
1_PIB,Toda Amostra [COM Pontas],Dist. real (1972),1972,PIB Total (2000),log,1323,-0.03115689369364727,0.0878997100064895,-0.3544595732039048,0.7229944957243897,0.6742607336955538,NA
1_PIB,Toda Amostra [COM Pontas],Dummy ≤25km (1972),1972,PIB Total (2000),log,1323,1.1406681802302518,0.27320295949896545,4.175167729962205,2.977665779968497e-5,90.62508598354061,NA
1_PIB,Toda Amostra [COM Pontas],Densidade (1972),1972,PIB Total (2000),log,1323,0.01674047835719691,0.005340139305127648,3.1348392618002605,0.0017194829978588455,83.28091030510146,NA
1_PIB,Toda Amostra [COM Pontas],Dist. real (1985),1985,PIB Total (2010),log,1323,-0.006085996959077425,0.010307025249941981,-0.5904707528597238,0.5548750881987226,11.306727702339183,NA
1_PIB,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,PIB Total (2010),log,1323,1.1945406535058851,0.275129786923324,4.341735102054915,1.4136190568780904e-5,94.47148252870491,NA
1_PIB,Toda Amostra [COM Pontas],Densidade (1985),1985,PIB Total (2010),log,1323,0.017438200685420086,0.005443245073838806,3.20364055795157,0.0013570178130952737,82.61569664126088,NA
1_PIB,Toda Amostra [COM Pontas],Dist. real (1972),1972,PIB per capita (2000),log,1315,-0.012933111252506943,0.03660506962411944,-0.3533147562704044,0.7238524841047587,0.6893657447105905,NA
1_PIB,Toda Amostra [COM Pontas],Dummy ≤25km (1972),1972,PIB per capita (2000),log,1315,0.6182941840319838,0.10871974254017817,5.6870460652856005,1.2925559955689891e-8,89.51802049625,NA
1_PIB,Toda Amostra [COM Pontas],Densidade (1972),1972,PIB per capita (2000),log,1315,0.007990369416340076,0.0028628389249121485,2.791064962407997,0.0052534927083836,54.768450759039,NA
1_PIB,Toda Amostra [COM Pontas],Dist. real (1985),1985,PIB per capita (2010),log,1323,-0.0022208369263209205,0.004127619066821632,-0.5380430922447064,0.590547298920211,11.306727702339183,NA
1_PIB,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,PIB per capita (2010),log,1323,0.6309490213797341,0.10970907106023473,5.751110781289156,8.86589934800952e-9,94.47148252870491,NA
1_PIB,Toda Amostra [COM Pontas],Densidade (1985),1985,PIB per capita (2010),log,1323,0.0070073797731060195,0.0020649101789351563,3.393551857407968,6.899249444043409e-4,82.61569664126088,NA
2_Pop,Toda Amostra [COM Pontas],Dist. real (1969),1969,Pop. Total (1991),log,1314,-0.010140536233245637,0.02556910625137998,-0.3965933002722121,0.6916673938700697,1.3311358915275497,NA
2_Pop,Toda Amostra [COM Pontas],Dummy ≤25km (1969),1969,Pop. Total (1991),log,1314,0.42763275814251533,0.2023944024921968,2.1128685026701883,0.03461202442476319,93.79151300548125,NA
2_Pop,Toda Amostra [COM Pontas],Densidade (1969),1969,Pop. Total (1991),log,1314,0.005035972896551397,0.0031247629536884374,1.6116335770708583,0.10704169957117715,62.35483625549476,NA
2_Pop,Toda Amostra [COM Pontas],Dist. real (1972),1972,Pop. Total (2000),log,1315,-0.010060030531337083,0.03628064746490449,-0.2772836549035817,0.7815623091925985,0.6893657447105905,NA
2_Pop,Toda Amostra [COM Pontas],Dummy ≤25km (1972),1972,Pop. Total (2000),log,1315,0.46178268116926047,0.21356669807125564,2.1622410485327097,0.030599601047837544,89.51802049625,NA
2_Pop,Toda Amostra [COM Pontas],Densidade (1972),1972,Pop. Total (2000),log,1315,0.008104888912640456,0.004317327927429995,1.8772928646782474,0.0604779656381953,54.768450759039,NA
2_Pop,Toda Amostra [COM Pontas],Dist. real (1985),1985,Pop. Total (2010),log,1323,-0.0038651600327569233,0.007894856943022555,-0.4895794896160769,0.6244314930361234,11.306727702339183,NA
2_Pop,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,Pop. Total (2010),log,1323,0.5635916321261533,0.2183907238190267,2.580657375325077,0.009861239805685429,94.47148252870491,NA
2_Pop,Toda Amostra [COM Pontas],Densidade (1985),1985,Pop. Total (2010),log,1323,0.0104308209123141,0.0039767559358862585,2.6229472163947345,0.008717277674145985,82.61569664126088,NA
2_Pop,Toda Amostra [COM Pontas],Dist. real (1985),1985,Taxa de Urbanização (2010),nivel,1323,-0.0022337889870493004,0.0016467298521122336,-1.3564999651789003,0.17494014644149614,11.306727702339183,NA
2_Pop,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,Taxa de Urbanização (2010),nivel,1323,0.08663578437930974,0.0429387664809558,2.0176589007915364,0.04362679796266211,94.47148252870491,NA
2_Pop,Toda Amostra [COM Pontas],Densidade (1985),1985,Taxa de Urbanização (2010),nivel,1323,0.0016518830470881789,4.947739118162797e-4,3.338662382226731,8.418281182156484e-4,82.61569664126088,NA
3_PAM,Toda Amostra [COM Pontas],Dist. real (1972),1972,Valor Prod. Agrícola (2000),log,984,0.07282799003884932,0.6131504215873387,0.11877671037118502,0.9054522604762476,0.0602457011758372,NA
3_PAM,Toda Amostra [COM Pontas],Dummy ≤25km (1972),1972,Valor Prod. Agrícola (2000),log,984,1.1080754796073986,0.38871110429243344,2.8506401473259073,0.004363131765797501,60.76853773475469,NA
3_PAM,Toda Amostra [COM Pontas],Densidade (1972),1972,Valor Prod. Agrícola (2000),log,984,-0.0013932357925665504,0.005640817595675718,-0.24699181792983568,0.8049145562904336,41.46987677786263,NA
3_PAM,Toda Amostra [COM Pontas],Dist. real (1985),1985,Valor Prod. Agrícola (2010),log,983,0.00725629688963228,0.01375965260664536,0.5273604717409639,0.5979432878476596,10.448469688983614,NA
3_PAM,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,Valor Prod. Agrícola (2010),log,983,1.1448312530528477,0.45773217469993815,2.501094125190851,0.012381026759403113,63.86270583720158,NA
3_PAM,Toda Amostra [COM Pontas],Densidade (1985),1985,Valor Prod. Agrícola (2010),log,983,-0.004544566028624391,0.006992811050009151,-0.6498911519450312,0.5157625339252199,41.67715926467957,NA
4_Social,Toda Amostra [COM Pontas],Dist. real (1972),1972,IDHM (2000),nivel,1323,-0.0031903401121114844,0.008035553025624944,-0.39702807036897925,0.6913467610329374,0.6742607336955538,NA
4_Social,Toda Amostra [COM Pontas],Dummy ≤25km (1972),1972,IDHM (2000),nivel,1323,0.05682389644272391,0.01290475359218118,4.403330605022382,1.0660152568009451e-5,90.62508598354061,NA
4_Social,Toda Amostra [COM Pontas],Densidade (1972),1972,IDHM (2000),nivel,1323,8.918242640563357e-4,2.533060337880593e-4,3.520738336626136,4.303470533675302e-4,83.28091030510146,NA
4_Social,Toda Amostra [COM Pontas],Dist. real (1985),1985,IDHM (2010),nivel,1323,-5.132330718064163e-4,4.29538054421936e-4,-1.1948488999353395,0.23214607091565664,11.306727702339183,NA
4_Social,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,IDHM (2010),nivel,1323,0.035325896062928984,0.008971418640867755,3.9376042381979524,8.229918430391336e-5,94.47148252870491,NA
4_Social,Toda Amostra [COM Pontas],Densidade (1985),1985,IDHM (2010),nivel,1323,5.858916521009136e-4,1.8313875321911702e-4,3.1991680723081117,0.0013782479381672097,82.61569664126088,NA
4_Social,Toda Amostra [COM Pontas],Dist. real (1972),1972,Renda per capita (2000),log,1323,-0.015259434776128178,0.039190948604315795,-0.38936119995951757,0.6970089698604582,0.6742607336955538,NA
4_Social,Toda Amostra [COM Pontas],Dummy ≤25km (1972),1972,Renda per capita (2000),log,1323,0.3007051901108872,0.07718720814945045,3.895790472543839,9.787897857171934e-5,90.62508598354061,NA
4_Social,Toda Amostra [COM Pontas],Densidade (1972),1972,Renda per capita (2000),log,1323,0.005010302698943118,0.0015128386475363107,3.3118553040025125,9.267946824655926e-4,83.28091030510146,NA
4_Social,Toda Amostra [COM Pontas],Dist. real (1985),1985,Renda per capita (2010),log,1323,-0.003920385454312151,0.003314259991455744,-1.1828841021582541,0.23685508308043568,11.306727702339183,NA
4_Social,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,Renda per capita (2010),log,1323,0.2657116398452538,0.06393147857339747,4.1561941906317665,3.235928095723928e-5,94.47148252870491,NA
4_Social,Toda Amostra [COM Pontas],Densidade (1985),1985,Renda per capita (2010),log,1323,0.0038448785547579053,0.0012296289936747113,3.1268606828044896,0.0017668363126615017,82.61569664126088,NA
4_Social,Toda Amostra [COM Pontas],Dist. real (1985),1985,% Pobres (2010),nivel,1323,0.17040505367681946,0.11126927967587649,1.5314654159099745,0.12565440746583345,11.306727702339183,NA
4_Social,Toda Amostra [COM Pontas],Dummy ≤25km (1985),1985,% Pobres (2010),nivel,1323,-8.002342193134623,2.3642004061389947,-3.384798586598396,7.123050069737236e-4,94.47148252870491,NA
4_Social,Toda Amostra [COM Pontas],Densidade (1985),1985,% Pobres (2010),nivel,1323,-0.10606833560724631,0.0334629271513703,-3.1697267584346047,0.0015258234912474133,82.61569664126088,NA
1_PIB,Toda Amostra [SEM Pontas],Dist. real (1972),1972,PIB Total (2000),log,1233,0.007143878793618635,0.016975691514208902,0.4208299136232008,0.6738792864800647,2.197724075092615,NA
1_PIB,Toda Amostra [SEM Pontas],Dummy ≤25km (1972),1972,PIB Total (2000),log,1233,0.9373837151686644,0.30890255052097937,3.0345612672595954,0.0024088582324666152,59.40977693628177,NA
