code_amc,pib_2021,pib_2023
9040,218953,337201
9041,96660,112544
9042,437739,543320
9043,109900,209605
9044,790790,1048320
9045,415736,540610
9046,91165,115910
9047,3232698,2852077
9048,236643,219432
9049,48012,74512
9050,98936,128570
9051,91574,141417
9052,137922,155336
9053,416245,763539
9054,322302,388823
9055,366553,637808
9056,554299,614880
9057,328904,419339
9058,222401,240563
9059,339443,372071
9060,468956,391878
9061,217519,320943
9062,192690,238278
9063,55084,59186
9064,167665,227942
9065,1031740,1392938
9066,135227,161345
9067,56034,61511
9068,49842,79123
9069,790408,925387
9070,176736,201981
9071,44121,53467
9072,655791,1150010
9073,146965,208833
9074,401569,721872
10001,70037,84854
10002,208481,224239
10003,144341,186446
10004,694736,835493
10005,158357,174798
10006,77947,102934
10007,53699,75418
10008,4832323,6030849
10009,3223081,4109853
10010,62839,79711
10011,463246,608765
10012,437827,521349
10013,2451151,3084989
10014,224788,299895
10015,209836,271523
10016,1221043,1512728
10017,190379,229298
10018,78771,118552
10019,264451,328644
10020,124246,138793
10021,82589,108500
10022,148460,191758
10023,751948,897798
10024,145622,174004
10025,490958,642812
10026,103680,138749
10027,435214,588784
10028,79992,107370
10029,136886,180021
10030,263675,362686
10031,194474,226704
10032,829005,1070961
10033,795359,1017250
10034,376926,589439
10035,573207,540750
10036,115644,143356
10037,77839,107927
10038,15840762,21058523
10039,371241,443194
10040,1431334,1710357
10041,79870,112869
10042,373616,432368
10043,169334,217596
10044,145254,234654
10045,190054,247732
10046,155182,187249
10047,1888306,2229248
10048,745318,888350
10049,117753,146376
10050,897068,1830330
10051,188737,221071
10052,370637,534794
10053,144196,168676
10054,126161,146903
10055,96352,141253
10056,1781802,1931839
10057,276224,309339
10058,77336,97532
10059,417572,562005
10060,479138,521416
10061,363603,429993
10062,92224,127401
10063,1217824,1364075
10064,430083,560670
10065,1508842,1442325
10066,244335,385165
10067,354111,470760
10068,37043063,29796696
10069,679235,805677
10070,295119,383421
10071,2335349,1856741
10072,84823,110069
10073,519094,676124
10074,67739,84961
10075,6824935,5750026
10076,140513,170088
10077,244448,289057
10078,352265,510493
10079,947511,1163215
10080,815145,1082434
10081,3160844,3994103
10082,219696,296361
10083,357855,413319
10084,117844,140042
10085,351409,460175
10086,874879,1135276
10087,848492,1027139
10088,80904,93082
10089,695021,928641
10090,154454,180701
10091,105377,137581
10092,679277,802113
10093,155100,214616
10094,190857,256643
10095,559255,733217
10096,375845,430602
10097,200105,236507
10098,883550,1122063
10099,2761495,2634469
10100,288432,365282
10101,239311,289597
10102,50705,63627
10103,225909,325844
10104,70616,79050
10105,407008,484270
10106,175063,258088
10107,4624793,5334208
10108,338795,444949
10109,45856,57703
10110,205809,262120
10111,157829,218525
10112,1041984,1279175
10113,354901,499932
10114,126035,155287
10115,142114,177243
10116,43268,60840
10117,76577,104130
10118,366936,388902
10119,680875,790786
10120,731443,810980
10121,3754477,4913995
10122,17287746,21846455
10123,295855,416731
10124,70961,88592
10125,101470,134079
10126,4609105,5334933
10127,562545,726531
10128,133421,563487
10129,254116,297615
10130,76384,91564
10131,221824,284847
10132,1652174,2028013
10133,279298,318837
10134,332808,370278
10135,236733,309737
10136,98696,121230
10137,206488,265632
10138,442996,517754
10139,196041,224503
10140,177643,201181
10141,117147,155050
10142,37302,48874
10143,285725,385351
10144,450754,486182
10145,206991,274185
10146,218656,282512
10147,155356,181670
10148,415176,544229
10149,56326,72148
10150,198181,237186
10151,246107,282578
10152,5165434,7234381
10153,625516,728057
10154,105039,141404
10155,567652,714938
10156,773290,931509
10157,100298,138064
10158,77968,81310
10159,102575,128688
10160,897724,695113
10161,285797,385665
10162,4288992,5679557
10163,995761,1267187
10164,4272313,5242771
10165,427090,563115
