code_amc,list_code_muni_2010,list_name_muni_2010,dist_rail_sintetica_km,dist_rail_real_1858,dist_rail_real_1860,dist_rail_real_1862,dist_rail_real_1863,dist_rail_real_1873,dist_rail_real_1875,dist_rail_real_1876,dist_rail_real_1880,dist_rail_real_1881,dist_rail_real_1882,dist_rail_real_1883,dist_rail_real_1884,dist_rail_real_1885,dist_rail_real_1886,dist_rail_real_1887,dist_rail_real_1888,dist_rail_real_1891,dist_rail_real_1892,dist_rail_real_1894,dist_rail_real_1895,dist_rail_real_1896,dist_rail_real_1900,dist_rail_real_1901,dist_rail_real_1902,dist_rail_real_1904,dist_rail_real_1905,dist_rail_real_1906,dist_rail_real_1907,dist_rail_real_1908,dist_rail_real_1910,dist_rail_real_1911,dist_rail_real_1912,dist_rail_real_1913,dist_rail_real_1914,dist_rail_real_1915,dist_rail_real_1916,dist_rail_real_1917,dist_rail_real_1918,dist_rail_real_1919,dist_rail_real_1920,dist_rail_real_1921,dist_rail_real_1922,dist_rail_real_1923,dist_rail_real_1924,dist_rail_real_1925,dist_rail_real_1926,dist_rail_real_1927,dist_rail_real_1929,dist_rail_real_1931,dist_rail_real_1932,dist_rail_real_1933,dist_rail_real_1934,dist_rail_real_1936,dist_rail_real_1937,dist_rail_real_1940,dist_rail_real_1941,dist_rail_real_1944,dist_rail_real_1947,dist_rail_real_1948,dist_rail_real_1949,dist_rail_real_1950,dist_rail_real_1951,dist_rail_real_1953,dist_rail_real_1955,dist_rail_real_1956,dist_rail_real_1957,dist_rail_real_1958,dist_rail_real_1961,dist_rail_real_1962,dist_rail_real_1966,dist_rail_real_1969,dist_rail_real_1972,dist_rail_real_1985,dist_rail_real_1996,dist_rail_real_2003
3001,"2100055,2100550,2101970,2102903,2103158,2103174,2103257,2103752,2104305,2104552,2105302,2105427,2105658,2106201,2106326,2110856,2111532,2112852","2100055,2100550,2101970,2102903,2103158,2103174,2103257,2103752,2104305,2104552,2105302,2105427,2105658,2106201,2106326,2110856,2111532,2112852",68.31821352589292,1411.418560309147,1368.712089184943,1368.712089184943,1320.4828801067708,926.5529688001332,926.5529688001332,926.5529688001332,926.5529688001332,926.5529688001332,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,685.6004942977723,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,420.8344976546425,304.36326965873116,291.6736594656526,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,284.557992635311,68.7262702384045,68.7262702384045,68.7262702384045
3002,2100105,2100105,37.76641983048884,1018.9339593570273,1002.9262780749345,985.4299289169172,985.4299289169172,520.0947241022542,520.0947241022542,520.0947241022542,520.0947241022542,520.0947241022542,299.88993208987574,299.88993208987574,299.88993208987574,299.88993208987574,299.88993208987574,299.88993208987574,299.88993208987574,299.88993208987574,299.88993208987574,288.21514036118526,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,69.9926687851351,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436,57.64093554951436
3003,"2100154,2100907","2100154,2100907",21.080914063127675,972.6957019069944,961.661711238946,954.0260153947787,954.0260153947787,393.26733388312897,393.26733388312897,393.26733388312897,393.26733388312897,393.26733388312897,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,133.99526944102237,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403,31.104732752709403
3004,2100204,2100204,48.562283693220955,1238.114420963645,1223.8643612371245,1210.820763824946,1210.820763824946,677.3622584060225,677.3622584060225,677.3622584060225,677.3622584060225,677.3622584060225,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,415.1421986630857,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,303.7092122051426,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146,26.56261702425146
3005,2100303,2100303,68.30359794892551,1013.7197289000824,997.1437257360672,978.0592110732399,978.0592110732399,532.6900857647254,532.6900857647254,532.6900857647254,532.6900857647254,532.6900857647254,322.57460616822476,322.57460616822476,322.57460616822476,322.57460616822476,322.57460616822476,322.57460616822476,322.57460616822476,322.57460616822476,322.57460616822476,298.15007639062765,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,38.72840093363961,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633,24.813850248089633
3006,2100402,2100402,15.062391469713676,1246.5992483202126,1229.1774980247235,1207.372705336547,1181.7545395655836,764.4089355112607,764.4089355112607,764.4089355112607,764.4089355112607,764.4089355112607,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,531.0582694100331,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,254.6528619140841,185.16477746268927,149.93236294343902,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,134.69174368681755,44.22469445703011,44.22469445703011,44.22469445703011
3007,"2100436,2101202,2102077,2102705,2102754,2103307,2103604,2106003,2106631,2108454,2110302,2111409,2111508","2100436,2101202,2102077,2102705,2102754,2103307,2103604,2106003,2106631,2108454,2110302,2111409,2111508",38.70571999212677,1113.4749688634586,1096.5162900030984,1076.1982182178172,1076.1982182178172,630.6760674779393,630.6760674779393,630.6760674779393,630.6760674779393,630.6760674779393,406.7356315601023,406.7356315601023,406.7356315601023,406.7356315601023,406.7356315601023,406.7356315601023,406.7356315601023,406.7356315601023,406.7356315601023,397.94448811918494,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,121.53476177065441,104.05442866669075,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766,26.978901231309766
3008,"2100477,2102036,2102150,2102325,2106359,2108108,2108504,2110005,2112274","2100477,2102036,2102150,2102325,2106359,2108108,2108504,2110005,2112274",47.39670297894738,1293.4131602982914,1252.6302685477901,1251.8207604007546,1203.2411118888035,825.8284820679432,825.8284820679432,825.8284820679432,825.8284820679432,825.8284820679432,595.6525255190354,595.6525255190354,595.6525255190354,595.6525255190354,595.6525255190354,595.6525255190354,595.6525255190354,595.6525255190354,595.6525255190354,593.2630996002409,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,306.582932600101,247.0357360592678,215.12478854846077,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,200.4634570677371,47.06306527738952,47.06306527738952,47.06306527738952
3009,2100501,2100501,24.071382073345735,1237.9056696671228,923.7757964727028,923.7757964727028,901.3788419622389,901.3788419622389,872.5049094707839,850.5766375429658,824.9988810992261,824.9988810992261,824.9988810992261,750.1048670121198,750.1048670121198,750.1048670121198,750.1048670121198,670.5682042937852,670.5682042937852,670.5682042937852,670.5682042937852,670.5682042937852,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,608.1294702734025,604.8760091669027,604.8760091669027,604.8760091669027,604.8760091669027,604.8760091669027,604.8760091669027,604.8760091669027,604.8760091669027,604.8760091669027,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,580.7979940074896,579.7971559343837,579.7971559343837,514.3884657511877,375.5689841848008,356.68701608666464
3010,2100600,2100600,11.825229215111824,1320.6163798048538,1221.9382600949743,1221.9382600949743,1177.5012192327933,898.140937545514,898.140937545514,898.140937545514,898.140937545514,898.140937545514,683.8798655317852,683.8798655317852,683.8798655317852,683.8798655317852,683.8798655317852,683.8798655317852,683.8798655317852,683.8798655317852,683.8798655317852,662.5152288942944,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,365.5598133738381,362.1485179102387,324.5048178799953,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,298.5621882230198,97.13877809577812,85.58868067164036,85.58868067164036
