code_amc,area_km2,comprimento_sintetico_km,densidade_sintetica,comprimento_real_1858,comprimento_real_1860,comprimento_real_1862,comprimento_real_1863,comprimento_real_1873,comprimento_real_1875,comprimento_real_1876,comprimento_real_1880,comprimento_real_1881,comprimento_real_1882,comprimento_real_1883,comprimento_real_1884,comprimento_real_1885,comprimento_real_1886,comprimento_real_1887,comprimento_real_1888,comprimento_real_1891,comprimento_real_1892,comprimento_real_1894,comprimento_real_1895,comprimento_real_1896,comprimento_real_1900,comprimento_real_1901,comprimento_real_1902,comprimento_real_1904,comprimento_real_1905,comprimento_real_1906,comprimento_real_1907,comprimento_real_1908,comprimento_real_1910,comprimento_real_1911,comprimento_real_1912,comprimento_real_1913,comprimento_real_1914,comprimento_real_1915,comprimento_real_1916,comprimento_real_1917,comprimento_real_1918,comprimento_real_1919,comprimento_real_1920,comprimento_real_1921,comprimento_real_1922,comprimento_real_1923,comprimento_real_1924,comprimento_real_1925,comprimento_real_1926,comprimento_real_1927,comprimento_real_1929,comprimento_real_1931,comprimento_real_1932,comprimento_real_1933,comprimento_real_1934,comprimento_real_1936,comprimento_real_1937,comprimento_real_1940,comprimento_real_1941,comprimento_real_1944,comprimento_real_1947,comprimento_real_1948,comprimento_real_1949,comprimento_real_1950,comprimento_real_1951,comprimento_real_1953,comprimento_real_1955,comprimento_real_1956,comprimento_real_1957,comprimento_real_1958,comprimento_real_1961,comprimento_real_1962,comprimento_real_1966,comprimento_real_1969,comprimento_real_1972,comprimento_real_1985,comprimento_real_1996,comprimento_real_2003,densidade_real_1858,densidade_real_1860,densidade_real_1862,densidade_real_1863,densidade_real_1873,densidade_real_1875,densidade_real_1876,densidade_real_1880,densidade_real_1881,densidade_real_1882,densidade_real_1883,densidade_real_1884,densidade_real_1885,densidade_real_1886,densidade_real_1887,densidade_real_1888,densidade_real_1891,densidade_real_1892,densidade_real_1894,densidade_real_1895,densidade_real_1896,densidade_real_1900,densidade_real_1901,densidade_real_1902,densidade_real_1904,densidade_real_1905,densidade_real_1906,densidade_real_1907,densidade_real_1908,densidade_real_1910,densidade_real_1911,densidade_real_1912,densidade_real_1913,densidade_real_1914,densidade_real_1915,densidade_real_1916,densidade_real_1917,densidade_real_1918,densidade_real_1919,densidade_real_1920,densidade_real_1921,densidade_real_1922,densidade_real_1923,densidade_real_1924,densidade_real_1925,densidade_real_1926,densidade_real_1927,densidade_real_1929,densidade_real_1931,densidade_real_1932,densidade_real_1933,densidade_real_1934,densidade_real_1936,densidade_real_1937,densidade_real_1940,densidade_real_1941,densidade_real_1944,densidade_real_1947,densidade_real_1948,densidade_real_1949,densidade_real_1950,densidade_real_1951,densidade_real_1953,densidade_real_1955,densidade_real_1956,densidade_real_1957,densidade_real_1958,densidade_real_1961,densidade_real_1962,densidade_real_1966,densidade_real_1969,densidade_real_1972,densidade_real_1985,densidade_real_1996,densidade_real_2003
8013,124.60196114946508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,8.344805326827526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359,66.9717013267359
8014,159.2056381367057,10.732893547868619,67.41528549794552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8015,295.29692496604736,6.181619467926948,20.93357209404635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8016,167.3211067025891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,12.593641787593048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841,75.26630701754841
8017,574.7198957347535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8018,242.9489899372823,2.279642765126745,9.383215652451318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,8.634992418062446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602,35.54240921228602
8019,113.06759374144173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8020,173.0365317567206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8021,88.58417797025919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8022,208.28904056409405,1.8731007907575996,8.992795711597774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
