code_amc,ano,dens_placebo_5km,dens_placebo_10km,dens_placebo_20km,dens_placebo_50km
4124,1858,0,0,0,0
4125,1858,0,0,0,0
4126,1858,0,0,0,0
4127,1858,0,0,0,0
4128,1858,0,0,0,0
4129,1858,0,0,0,0
4130,1858,0,0,0,0
4131,1858,0,0,0,0
4132,1858,0,0,0,0
4133,1858,0,0,0,0
4134,1858,0,0,0,0
4135,1858,0,0,0,0
4136,1858,0,0,0,0
4137,1858,0,0,0,0
4138,1858,0,0,0,0
4139,1858,0,0,0,0
4140,1858,0,0,0,0
4141,1858,0,0,0,0
4142,1858,0,0,0,0
4143,1858,0,0,0,0
4144,1858,0,0,0,0
4145,1858,0,0,0,0
4146,1858,0,0,0,0
4147,1858,0,0,0,0
4148,1858,0,0,0,0
4149,1858,0,0,0,0
4150,1858,0,0,0,0
4151,1858,0,0,0,0
4152,1858,0,0,0,0
4153,1858,0,0,0,0
4154,1858,0,0,0,0
4155,1858,0,0,0,0
4156,1858,0,0,0,0
4157,1858,0,0,0,0
4158,1858,0,0,0,0
4159,1858,0,0,0,0
4160,1858,0,0,0,0
4161,1858,0,0,0,0
4162,1858,0,0,0,0
4163,1858,0,0,0,0
4164,1858,0,0,0,0
4165,1858,0,0,0,0
4166,1858,0,0,0,0
4167,1858,0,0,0,0
4168,1858,0,0,0,0
4169,1858,0,0,0,0
4170,1858,0,0,0,0
4171,1858,0,0,0,0
4172,1858,0,0,0,0
4173,1858,0,0,0,0
4174,1858,0,0,0,0
4175,1858,0,0,0,0
4176,1858,0,0,0,0
4177,1858,0,0,0,0
4178,1858,0,0,0,0
4179,1858,0,0,0,0
4180,1858,0,0,0,0
4181,1858,0,0,0,0
4182,1858,0,0,0,0
4183,1858,0,0,0,0
4184,1858,0,0,0,0
4185,1858,0,0,0,0
4186,1858,0,0,0,0
4187,1858,0,0,0,0
4188,1858,0,0,0,0
4189,1858,0,0,0,0
4190,1858,0,0,0,0
4191,1858,0,0,0,0
4192,1858,0,0,0,0
4193,1858,0,0,0,0
4194,1858,0,0,0,0
4195,1858,0,0,0,0
4196,1858,0,0,0,0
4197,1858,0,0,0,0
4198,1858,0,0,0,0
4199,1858,0,0,0,0
4200,1858,0,0,0,0
4201,1858,0,0,0,0
4202,1858,0,0,0,0
4203,1858,0,0,0,0
4204,1858,0,0,0,0
4205,1858,0,0,0,0
4206,1858,0,0,0,0
4207,1858,0,0,0,0
4208,1858,0,0,0,0
4209,1858,0,0,0,0
4210,1858,0,0,0,0
4211,1858,0,0,0,0
4212,1858,0,0,0,0
4213,1858,0,0,0,0
4214,1858,0,0,0,0
4215,1858,0,0,0,0
4216,1858,0,0,0,0
4217,1858,0,0,0,0
4218,1858,0,0,0,0
4219,1858,0,0,0,0
4220,1858,0,0,0,0
4221,1858,0,0,0,0
4222,1858,0,0,0,0
4223,1858,0,0,0,0
4224,1858,0,0,0,0
4225,1858,0,0,0,0
4226,1858,0,0,0,0
4227,1858,0,0,0,0
4228,1858,0,0,0,0
4229,1858,0,0,0,0
4230,1858,0,0,0,0
4231,1858,0,0,0,0
4232,1858,0,0,0,0
4233,1858,0,0,0,0
4234,1858,0,0,0,0
4235,1858,0,0,0,0
4236,1858,0,0,0,0
5001,1858,0,0,0,0
5002,1858,0,0,0,0
5003,1858,0,0,0,0
5004,1858,0,0,0,0
5005,1858,0,0,0,0
5006,1858,0,0,0,0
5007,1858,0,0,0,0
5008,1858,0,0,0,0
5009,1858,0,0,0,0
5010,1858,0,0,0,0
5011,1858,0,0,0,0
5012,1858,0,0,0,0
5013,1858,0,0,0,0
5014,1858,0,0,0,0
5015,1858,0,0,0,0
5016,1858,0,0,0,0
5017,1858,0,0,0,0
5018,1858,0,0,0,0
5019,1858,0,0,0,0
5020,1858,0,0,0,0
5021,1858,0,0,0,0
5022,1858,0,0,0,0
5023,1858,0,0,0,0
5024,1858,0,0,0,0
5025,1858,0,0,0,0
5026,1858,0,0,0,0
5027,1858,0,0,0,0
5028,1858,0,0,0,0
5029,1858,0,0,0,0
5030,1858,0,0,0,0
5031,1858,0,0,0,0
5032,1858,0,0,0,0
5033,1858,0,0,0,0
5034,1858,0,0,0,0
5035,1858,0,0,0,0
5036,1858,0,0,0,0
5037,1858,0,0,0,0
5038,1858,0,0,0,0
5039,1858,0,0,0,0
5040,1858,0,0,0,0
5041,1858,0,0,0,0
5042,1858,0,0,0,0
5043,1858,0,0,0,0
5044,1858,0,0,0,0
5045,1858,0,0,0,0
5046,1858,0,0,0,0
5047,1858,0,0,0,0
5048,1858,0,0,0,0
5049,1858,0,0,0,0
5050,1858,0,0,0,0
5051,1858,0,0,0,0
5052,1858,0,0,0,0
5053,1858,0,0,0,0
5054,1858,0,0,0,0
5055,1858,0,0,0,0
5056,1858,0,0,0,0
5057,1858,0,0,0,0
5058,1858,0,0,0,0
5059,1858,0,0,0,0
5060,1858,0,0,0,0
5061,1858,0,0,0,0
5062,1858,0,0,0,0
5063,1858,0,0,0,0
5064,1858,0,0,0,0
5065,1858,0,0,0,0
5066,1858,0,0,0,0
5067,1858,0,0,0,0
5068,1858,0,0,0,0
5069,1858,0,0,0,0
5070,1858,0,0,0,0
5071,1858,0,0,0,0
5072,1858,0,0,0,0
5073,1858,0,0,0,0
5074,1858,0,0,0,0
5075,1858,0,0,0,0
5076,1858,0,0,0,0
5077,1858,0,0,0,0
5078,1858,0,0,0,0
5079,1858,0,0,0,0
5080,1858,0,0,0,0
5081,1858,0,0,0,0
5082,1858,0,0,0,0
5083,1858,0,0,0,0
5084,1858,0,0,0,0
5085,1858,0,0,0,0
5086,1858,0,0,0,0
5087,1858,0,0,0,0
5088,1858,0,0,0,0
5089,1858,0,0,0,0
5090,1858,0,0,0,0
5091,1858,0,0,0,0
5092,1858,0,0,0,0
5093,1858,0,0,0,0
5094,1858,0,0,0,0
5095,1858,0,0,0,0
5096,1858,0,0,0,0
5097,1858,0,0,0,0
5098,1858,0,0,0,0
5099,1858,0,0,0,0
5100,1858,0,0,0,0
5101,1858,0,0,0,0
5102,1858,0,0,0,0
5103,1858,0,0,0,0
5104,1858,0,0,0,0
5105,1858,0,0,0,0
5106,1858,0,0,0,0
5107,1858,0,0,0,0
5108,1858,0,0,0,0
5109,1858,0,0,0,0
5110,1858,0,0,0,0
5111,1858,0,0,0,0
5112,1858,0,0,0,0
5113,1858,0,0,0,0
5114,1858,0,0,0,0
5115,1858,0,0,0,0
5116,1858,0,0,0,0
5117,1858,0,0,0,0
5118,1858,0,0,0,0
5119,1858,0,0,0,0
5120,1858,0,0,0,0
5121,1858,0,0,0,0
5122,1858,0,0,0,0
5123,1858,0,0,0,0
5124,1858,0,0,0,0
5125,1858,0,0,0,0
5126,1858,0,0,0,0
5127,1858,0,0,0,0
5128,1858,0,0,0,0
5129,1858,0,0,0,0
5130,1858,0,0,0,0
5131,1858,0,0,0,0
5132,1858,0,0,0,0
5133,1858,0,0,0,0
5134,1858,0,0,0,0
5135,1858,0,0,0,0
5136,1858,0,0,0,0
5137,1858,0,0,0,0
5138,1858,0,0,0,0
5139,1858,0,0,0,0
5140,1858,0,0,0,0
5141,1858,0,0,0,0
5142,1858,0,0,0,0
5143,1858,0,0,0,0
5144,1858,0,0,0,0
5145,1858,0,0,0,0
5146,1858,0,0,0,0
5147,1858,0,0,0,0
6001,1858,0,0,0,0
6002,1858,0,0,0,0
6003,1858,0,0,0,0
6004,1858,0,0,0,0
6005,1858,0,0,0,0
6006,1858,0,0,0,0
6007,1858,0,0,0,0
6008,1858,0,0,0,0
6009,1858,0,0,0,0
6010,1858,0,0,0,0
6011,1858,0,0,0,0
6012,1858,0,0,0,0
6013,1858,0,0,0,0
6014,1858,0,0,0,0
6015,1858,0,0,0,0
6016,1858,0,0,0,0
6017,1858,0,0,0,0
6018,1858,0,0,0,0
6019,1858,0,0,0,0
6020,1858,0,0,0,0
6021,1858,0,0,0,0
6022,1858,0,0,0,0
6023,1858,0,0,0,0
6024,1858,0,0,0,0
6025,1858,0,0,0,0
6026,1858,0,0,0,0
6027,1858,0,0,0,0
6028,1858,0,0,0,0
6029,1858,0,0,0,0
6030,1858,0,0,0,0
6031,1858,0,0,0,0
6032,1858,0,0,0,0
6033,1858,0,0,0,0
6034,1858,0,0,0,0
6035,1858,0,0,0,0
6036,1858,0,0,0,0
6037,1858,0,0,0,0
6038,1858,0,0,0,0
6039,1858,0,0,0,0
6040,1858,0,0,0,0
6041,1858,0,0,0,0
