code_amc,area_amc_km2,dist_rio_km,dist_rio_principal_km,comp_total_rios_km,comp_rios_principais_km,pct_comp_principal,comp_maior_rio_km,densidade_hidro_km_km2,n_rios_distintos,n_segmentos_rios,otto_min
3001,30178.028608364573,0.4454857013504738,1.611969696808767,9423.344353096607,3591.693174727632,38.114845856687445,360.4503468012138,0.3122584472096596,122,1376,1
3002,373.2582773469803,4.197104656336476,4.197104656336476,49.48087835927564,49.360374850740044,99.75646449187778,15.288975157329796,0.13256471821863522,6,7,4
3003,2230.910170549793,1.5634660696250893,1.7772540876753256,699.4038907890251,337.1414256530842,48.20411068527823,64.3174592724388,0.3135060747948725,20,75,1
3004,1499.8585012291414,0.12687552806228386,0.12687552806228386,593.7670864348847,246.34638214835516,41.48872306605541,93.48708619542303,0.3958820688406871,14,113,1
3005,1950.2443830545894,2.551506818528931,2.551506818528931,370.73030593608627,304.7320190842136,82.19776322703687,75.42502243913,0.1900942821101355,20,27,3
3006,730.7344170017417,0.7864733428713782,0.7864733428713782,135.701156373242,106.3657137759623,78.38231936904545,30.05227192088891,0.1857051662217226,9,15,5
3007,15081.880354016082,1.2821012869284993,1.2821012869284993,3394.4994091218327,1945.9917863735868,57.32779864813766,157.82318323921086,0.2250713657344409,76,421,2
3008,16259.365407518051,0.19264882461393135,9.578813565888515,4347.108937193875,1768.4642439481743,40.6813877797538,202.1656042116967,0.26736030762823293,83,522,3
3009,11298.292733249406,1.051313786415935,2.1296618144560133,3368.125886275054,1743.6791255409394,51.77001051671926,127.16591715855311,0.29810927772858087,112,569,2
3010,7563.645163260072,0.24782300233439172,5.93309222704507,2738.8071096334443,806.2693891271548,29.43870659204854,72.27468227713784,0.3621014802409064,40,461,3
3011,1019.9021343987735,3.8714565725175607,10.758620696567858,288.93480698251005,67.50089642143956,23.361981592451603,26.660274827492902,0.28329659997509027,4,75,2
3012,610.2056740685798,1.5771720087362382,1.5771720087362382,222.88713104318416,106.2300819795394,47.660931109996405,34.402504988249106,0.36526558259786734,11,46,3
3013,1152.4056252488924,1.1964310361361865,8.794026136689462,396.0547563695737,210.12751673604893,53.055168093972085,156.59267641583605,0.34367652126310577,7,60,1
3014,5759.597520798779,1.34572085780618,7.749884121522891,1190.2638929917084,275.89833942339556,23.179594125965604,85.3087969502494,0.2066574771402837,14,179,3
3015,31669.246633695737,3.354251473234473,5.15667301825668,8391.855412874012,4816.501088717601,57.394948455958485,403.55572329182917,0.26498437142944753,202,677,2
3016,1110.5934661828203,3.741473428228862,9.084843493558513,192.97130774957253,120.27420698923386,62.32750785174709,105.9814782747125,0.17375512608842106,3,12,2
3017,204.5753965947837,0.8296487473782819,0.8296487473782819,97.54050855844761,36.63524940151681,37.55901003895675,19.96781186566176,0.476794913670155,3,23,1
3018,1311.3156653057536,0.26426619763100895,3.999438490706991,584.6684702523959,198.85733152766628,34.01198142971887,92.00826350110597,0.44586401712517587,12,124,1
3019,1596.3201518216667,0.5430136167682293,0.5430136167682293,352.6478976633499,239.7844056046261,67.99541616253524,40.530428783317866,0.22091301501200747,14,43,1
3020,13347.47591591541,0.08557741275535725,0.08557741275535725,3309.8549927726976,2186.993504580648,66.07520599410255,376.6540792310826,0.24797609777486518,115,260,3
3021,2257.1239844134852,1.101915262348537,1.101915262348537,766.1841744706068,337.98624198577164,44.11292392188895,41.52237927107553,0.33945152316021315,17,96,2
3022,5762.838366749634,0.4475124941454718,0.4475124941454718,1929.5051382583206,1116.5312765466908,57.8661986645205,110.88504470514916,0.33481854174345055,69,230,1
3023,1716.307080691245,0.2020292171182207,0.2020292171182207,662.1661508613247,348.64132798928125,52.65163849522959,54.7394296870976,0.38580866927067414,30,121,3
3024,2724.4302000626903,3.0408589025266073,3.0408589025266073,612.0743107106418,328.71033852581706,53.70431870342209,90.49026524058328,0.22466140284913805,10,75,2
3025,7547.256291248404,1.458168615098879,1.458168615098879,1889.784617556951,1082.5283270487394,57.283158990266045,71.62634585458692,0.25039359266867545,72,188,2
3026,776.5277689708278,2.6562076846268186,2.6562076846268186,263.74877265951085,92.61599946096008,35.11523429173399,35.19050073706534,0.3396514370749042,8,59,1
3027,1796.6832303640765,4.096435802914101,4.096435802914101,235.92328086712124,104.55417881796112,44.31702476910239,39.67276913532594,0.13131044854206947,4,27,2
3028,7322.345775746617,0.16039631813699876,0.16039631813699876,2031.2863844608837,795.9374781644779,39.183912433682984,122.25588529337708,0.27740924106438625,45,309,3
3029,3642.9617158603755,1.6661284566565762,2.7737391800523143,1283.828342266029,565.9593459589363,44.08372422749184,56.53488068729049,0.3524133500159008,36,208,2
3030,1480.1127879388087,1.3966602000979491,3.6563272731247256,508.08239339615193,154.22213802112822,30.35376545726535,26.04838610470888,0.34327275430388166,15,102,2
