code_amc,area_km2,densidade_buffer_real_X1858,densidade_buffer_real_X1860,densidade_buffer_real_X1862,densidade_buffer_real_X1863,densidade_buffer_real_X1873,densidade_buffer_real_X1875,densidade_buffer_real_X1876,densidade_buffer_real_X1880,densidade_buffer_real_X1881,densidade_buffer_real_X1882,densidade_buffer_real_X1883,densidade_buffer_real_X1884,densidade_buffer_real_X1885,densidade_buffer_real_X1886,densidade_buffer_real_X1887,densidade_buffer_real_X1888,densidade_buffer_real_X1891,densidade_buffer_real_X1892,densidade_buffer_real_X1894,densidade_buffer_real_X1895,densidade_buffer_real_X1896,densidade_buffer_real_X1900,densidade_buffer_real_X1901,densidade_buffer_real_X1902,densidade_buffer_real_X1904,densidade_buffer_real_X1905,densidade_buffer_real_X1906,densidade_buffer_real_X1907,densidade_buffer_real_X1908,densidade_buffer_real_X1910,densidade_buffer_real_X1911,densidade_buffer_real_X1912,densidade_buffer_real_X1913,densidade_buffer_real_X1914,densidade_buffer_real_X1915,densidade_buffer_real_X1916,densidade_buffer_real_X1917,densidade_buffer_real_X1918,densidade_buffer_real_X1919,densidade_buffer_real_X1920,densidade_buffer_real_X1921,densidade_buffer_real_X1922,densidade_buffer_real_X1923,densidade_buffer_real_X1924,densidade_buffer_real_X1925,densidade_buffer_real_X1926,densidade_buffer_real_X1927,densidade_buffer_real_X1929,densidade_buffer_real_X1931,densidade_buffer_real_X1932,densidade_buffer_real_X1933,densidade_buffer_real_X1934,densidade_buffer_real_X1936,densidade_buffer_real_X1937,densidade_buffer_real_X1940,densidade_buffer_real_X1941,densidade_buffer_real_X1944,densidade_buffer_real_X1947,densidade_buffer_real_X1948,densidade_buffer_real_X1949,densidade_buffer_real_X1950,densidade_buffer_real_X1951,densidade_buffer_real_X1953,densidade_buffer_real_X1955,densidade_buffer_real_X1956,densidade_buffer_real_X1957,densidade_buffer_real_X1958,densidade_buffer_real_X1961,densidade_buffer_real_X1962,densidade_buffer_real_X1966,densidade_buffer_real_X1969,densidade_buffer_real_X1972,densidade_buffer_real_X1985,densidade_buffer_real_X1996,densidade_buffer_real_X2003
3001,30178.028608364704,0.0049723965458969305,0.00673184746553538,0.002801799626615877,0.002801799626615877,5.169505652449992e-5,5.169505652449992e-5,5.169505652449992e-5,5.169505652449992e-5,5.169505652449992e-5,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.006550849496880021,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.014705958847861534,0.010930631914096541,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,1.1709811571200044e-5,0.07772807830326338,0.10416127872702313,0.10416127872702313
3002,373.2582773469803,0.2347178720006708,0.32852131232782955,0.001648705629768304,0.001648705629768304,0.4225997062114768,0.4225997062114768,0.4225997062114768,0.4225997062114768,0.4225997062114768,0.27108661494437225,0.27108661494437225,0.27108661494437225,0.27108661494437225,0.27108661494437225,0.27108661494437225,0.27108661494437225,0.2784949038772636,0.2784949038772636,0.2784949038772636,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,0.7459921291198046,1.1889805900048307,1.1199598996203057,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,0.2731295543782594,9.467413049911667e-4,9.467413049911667e-4,9.467413049911667e-4
3003,2230.910170549793,0.0010440738380463484,0.03761833089508103,0.09106322974537708,0.09106322974537708,0.02287443381666822,0.02287443381666822,0.02287443381666822,0.02287443381666822,0.02287443381666822,0.07658760068508257,0.07658760068508257,0.07658760068508257,0.07658760068508257,0.07658760068508257,0.07658760068508257,0.07658760068508257,0.16773665131780457,0.16773665131780457,0.2656681517264705,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.023815061994542235,0.15409334132936658,0.19893084566234626,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.6185432686655526,0.0456978807598753,0.0456978807598753,0.0456978807598753
3004,1499.8585012291417,0.061719635189526986,0.05841243590531254,0.1506828709916561,0.1506828709916561,0.06565671503179182,0.06565671503179182,0.06565671503179182,0.06565671503179182,0.06565671503179182,0.06403318848800972,0.06403318848800972,0.06403318848800972,0.06403318848800972,0.06403318848800972,0.06403318848800972,0.06403318848800972,0.11391745099043431,0.11391745099043431,0.11391745099043431,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.1318069160283636,0.18564933745514997,0.14177287561621485,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.2787158271846251,0.9200297680482842,0.9200297680482842,0.9200297680482842
3005,1950.2443830545894,0.07694272908464064,0.0011943297813664234,0.07400934723246025,0.07400934723246025,0.04335497131620389,0.04335497131620389,0.04335497131620389,0.04335497131620389,0.04544473290151146,7.999279004531411e-4,7.999279004531411e-4,7.999279004531411e-4,7.999279004531411e-4,7.999279004531411e-4,7.999279004531411e-4,7.999279004531411e-4,0.08059709957062584,0.08059709957062584,0.08059709957062584,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.05330128314910296,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.18759843944472293,0.027242362279071855,0.12470181800661408,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.39149578456450196,0.6553115575516003,0.6553115575516003,0.6553115575516003
3006,730.7344170017417,0.11989361186105264,0.12668175658860514,0.11573662392789744,0.11573662392789744,8.421568888798057e-4,8.421568888798057e-4,8.421568888798057e-4,8.421568888798057e-4,0.025744388208397046,0.1814341656871949,0.1814341656871949,0.1814341656871949,0.1814341656871949,0.1814341656871949,0.1814341656871949,0.1814341656871949,0.15823919248358034,0.15823919248358034,0.15823919248358034,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.811076867173667,0.142254868051319,0.142254868051319,0.142254868051319,0.142254868051319,0.142254868051319,0.142254868051319,0.142254868051319,0.142254868051319,0.142254868051319,0.27053840482439684,0.4704423308760962,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.49651016284344934,0.23525618151293629,0.23525618151293629,0.23525618151293629
3007,15081.88035401608,1.544392933393292e-4,0.0017389388704132315,0.005808983131652813,0.005808983131652813,0.013470063455846027,0.013470063455846027,0.013470063455846027,0.013470063455846027,0.007097428686073406,0.010458831037327006,0.010458831037327006,0.010458831037327006,0.010458831037327006,0.010458831037327006,0.010458831037327006,0.010458831037327006,1.034390180858297e-4,1.034390180858297e-4,0.01763606574356758,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.011328829913496794,0.039297605322795595,0.039297605322795595,0.020426544880198166,0.020426544880198166,0.020426544880198166,0.020426544880198166,0.020426544880198166,0.020426544880198166,0.020426544880198166,0.0242584342408905,0.018462401934883264,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.014807392987075708,0.009811566625500085,0.009811566625500085,0.009811566625500085
3008,16259.365407518051,0.0056933783829576905,1.5319795196306116e-6,0.002486498341904214,0.002486498341904214,0.013899865055123832,0.013899865055123832,0.013899865055123832,0.013899865055123832,0.005710431001224063,0.015771599034835253,0.015771599034835253,0.015771599034835253,0.015771599034835253,0.015771599034835253,0.015771599034835253,0.015771599034835253,0.00815408141490731,0.00815408141490731,9.594808011301884e-5,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.009667292467357017,0.010508408724694399,0.010508408724694399,0.03645171670744928,0.03645171670744928,0.03645171670744928,0.03645171670744928,0.03645171670744928,0.03645171670744928,0.03645171670744928,0.006393270922066574,0.013399448708195287,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.014957473064209734,0.01803698373808704,0.01803698373808704,0.01803698373808704
3009,11298.292733249406,0.0132813982392767,0.01736073934885907,2.0615813403117514e-4,2.0615813403117514e-4,0.012775055235458658,0.012775055235458658,0.012775055235458658,0.012775055235458658,0.0012040773618895034,0.02660710579678274,0.02660710579678274,0.02660710579678274,0.02660710579678274,0.02660710579678274,0.02660710579678274,0.02660710579678274,0.013961298584841136,0.013961298584841136,0.0241161361598155,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.010234362553381981,0.013912194031363016,0.013912194031363016,0.015122643866673597,0.015122643866673597,0.015122643866673597,0.015122643866673597,0.015122643866673597,0.015122643866673597,0.015122643866673597,0.027267013981898035,0.0047024152471767345,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.03042657952860603,0.04553854352915737,0.04553854352915737,0.04553854352915737
3010,7563.645163260072,0.011583090781556137,0.013382366279060373,0.010850778821816096,0.010850778821816096,0.011181478319806521,0.011181478319806521,0.011181478319806521,0.011181478319806521,0.012061048943312315,0.015681273058136082,0.015681273058136082,0.015681273058136082,0.015681273058136082,0.015681273058136082,0.015681273058136082,0.015681273058136082,0.03390378398683587,0.03390378398683587,0.02085487023030142,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.035166249568667415,0.015287711357479444,0.015287711357479444,0.020781519668798855,0.020781519668798855,0.020781519668798855,0.020781519668798855,0.020781519668798855,0.020781519668798855,0.020781519668798855,0.07835927900963188,0.02613709650027104,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.021815784164554188,0.05439200995691974,0.05439200995691974,0.05439200995691974
