code_amc,area_km2,densidade_buffer_sintetica_X1858,densidade_buffer_sintetica_X1860,densidade_buffer_sintetica_X1862,densidade_buffer_sintetica_X1863,densidade_buffer_sintetica_X1876,densidade_buffer_sintetica_X1881,densidade_buffer_sintetica_X1882,densidade_buffer_sintetica_X1883,densidade_buffer_sintetica_X1884,densidade_buffer_sintetica_X1885,densidade_buffer_sintetica_X1886,densidade_buffer_sintetica_X1887,densidade_buffer_sintetica_X1888,densidade_buffer_sintetica_X1894,densidade_buffer_sintetica_X1896,densidade_buffer_sintetica_X1901,densidade_buffer_sintetica_X1902,densidade_buffer_sintetica_X1904,densidade_buffer_sintetica_X1905,densidade_buffer_sintetica_X1906,densidade_buffer_sintetica_X1907,densidade_buffer_sintetica_X1910,densidade_buffer_sintetica_X1912,densidade_buffer_sintetica_X1913,densidade_buffer_sintetica_X1915,densidade_buffer_sintetica_X1916,densidade_buffer_sintetica_X1917,densidade_buffer_sintetica_X1919,densidade_buffer_sintetica_X1920,densidade_buffer_sintetica_X1921,densidade_buffer_sintetica_X1923,densidade_buffer_sintetica_X1925,densidade_buffer_sintetica_X1926,densidade_buffer_sintetica_X1927,densidade_buffer_sintetica_X1931,densidade_buffer_sintetica_X1933,densidade_buffer_sintetica_X1934,densidade_buffer_sintetica_X1937,densidade_buffer_sintetica_X1941,densidade_buffer_sintetica_X1947,densidade_buffer_sintetica_X1948,densidade_buffer_sintetica_X1949,densidade_buffer_sintetica_X1950,densidade_buffer_sintetica_X1951,densidade_buffer_sintetica_X1956,densidade_buffer_sintetica_X1957,densidade_buffer_sintetica_X1958,densidade_buffer_sintetica_X1962,densidade_buffer_sintetica_X1966,densidade_buffer_sintetica_X1969,densidade_buffer_sintetica_X1972,densidade_buffer_sintetica_X1985,densidade_buffer_sintetica_X1996,densidade_buffer_sintetica_X2003
3001,30178.028608364704,0.004958922677179324,0.008652244463572477,0.008652413896718157,0.008652413896718157,0.008652413896718157,0.008652413896718157,0.014280850857207386,0.014280850857207386,0.014280850857207386,0.014280850857207386,0.014280850857207386,0.014280850857207386,0.014280850857207386,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.0142813818123537,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.007515165315809209,0.10800621963687237,0.12149839631726643,0.12149891380960706
3002,373.2582773469803,0.42776311539506656,0.3567447452064319,0.37303441381769537,0.37303441381769537,0.37303441381769537,0.37303441381769537,1.2629853941346105,1.2629853941346105,1.2629853941346105,1.2629853941346105,1.2629853941346105,1.2629853941346105,1.2629853941346105,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.2630230146242951,1.9450206491173505,1.9450206491173505,1.9450206491173505,1.9450206491173505,1.9450206491173505,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.10780496222785084,0.6076030664586017,0.6076030664586017,0.6076030664586017
3003,2230.910170549793,0.0013224607886559913,0.011231730753030545,0.011273448013840498,0.011273448013840498,0.011273448013840498,0.011273448013840498,0.11751959032013604,0.11751959032013604,0.11751959032013604,0.11751959032013604,0.11751959032013604,0.11751959032013604,0.11751959032013604,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.11752360552044464,0.21131903960618575,0.21131903960618575,0.21131903960618575,0.21131903960618575,0.21131903960618575,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.17280165117836113,0.02173072011679567,0.02173072011679567,0.02173072011679567
3004,1499.8585012291417,0.08467243682730928,0.10645766820242528,0.1064575705319998,0.1064575705319998,0.1064575705319998,0.1064575705319998,0.14566728323073114,0.14566728323073114,0.14566728323073114,0.14566728323073114,0.14566728323073114,0.14566728323073114,0.14566728323073114,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.14586162299746247,0.17480622780107596,0.17480622780107596,0.17480622780107596,0.17480622780107596,0.17480622780107596,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.04315131686792951,0.2570275534563295,0.2570275534563295,0.2570275534563295
3005,1950.2443830545894,0.07673423480609878,0.0015130153410361064,0.0015130153410361064,0.0015130153410361064,0.0015130153410361064,0.0015130153410361064,0.06950562509084304,0.06950562509084304,0.06950562509084304,0.06950562509084304,0.06950562509084304,0.06950562509084304,0.06950562509084304,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.06950841771214027,0.1259015362678563,0.1259015362678563,0.1259015362678563,0.1259015362678563,0.1259015362678563,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.0118084987328819,0.616903143533642,0.7258177584570173,0.7258209727261581
3006,730.7344170017417,0.2185008942374197,0.17380123542061796,0.17380114841377378,0.17380114841377378,0.17380114841377378,0.17380114841377378,0.05756789826708989,0.05756789826708989,0.05756789826708989,0.05756789826708989,0.05756789826708989,0.05756789826708989,0.05756789826708989,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.05757307286587465,0.022389295047584225,0.022389295047584225,0.022389295047584225,0.022389295047584225,0.022389295047584225,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.5257010825856209,0.14248009774134732,0.5495069096968238,0.5495341992514962
3007,15081.88035401608,1.9561826206772236e-4,0.0075608779310708295,0.0075608779310708295,0.0075610205086480125,0.0075610205086480125,4.3413107622196123e-4,0.007929465314067134,0.007929465314067134,0.007929465314067134,0.007929465314067134,0.007929465314067134,0.007929465314067134,0.007929465314067134,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.007929705872506665,0.023999792571707427,0.023999792571707427,0.023999792571707427,0.023999792571707427,0.023999792571707427,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.020791668851037597,0.004291299753373412,0.006903324301313019,0.006903324301313019
3008,16259.365407518051,0.0078106784005546855,2.2818262356007565e-4,2.2818262356007565e-4,2.2818262397488116e-4,0.004710284799330399,0.005659078204507737,0.02245816062259646,0.02245816062259646,0.02245816062259646,0.02245816062259646,0.02245816062259646,0.02245816062259646,0.02245816062259646,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.022459058760717146,0.021043716528160762,0.021043716528160762,0.021043716528160762,0.021043716528160762,0.021043716528160762,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.0017295917256157103,0.029190500218002527,0.0039805286259001664,0.0039805286259001664
3009,11298.292733249406,0.013245409191619203,9.070587223768307e-6,9.070587223768307e-6,9.070587223768307e-6,0.014803611655267801,0.01009306532925127,0.006742372732993636,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.0012649071242836036,0.012194760278328672,0.012194760278328672,0.012194760278328672,0.012194760278328672,0.012194760278328672,0.008864650966227053,0.008864650966227053,0.008864650966227053,0.008864650966227053,0.008864650966227053,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,0.061928950112349286,6.011742158132011e-4,0.04200802906053199,0.04200802906053199
3010,7563.645163260072,0.021109679277461112,0.04564677922081976,0.04564677922081976,0.04564786925783498,4.905180746547287e-4,0.014965640535243864,0.024270966932977124,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.003529749804554352,0.026928439950741945,0.026928439950741945,0.026928439950741945,0.026928439950741945,0.026928439950741945,0.03693808840429452,0.03693808840429452,0.03693808840429452,0.03693808840429452,0.03693808840429452,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.09995537481370521,0.003044756572925221,8.980117558835372e-4,8.980117558835372e-4
