code_amc,dist_rail_sintetica_km,dist_rail_real_1858,dist_rail_real_1860,dist_rail_real_1862,dist_rail_real_1863,dist_rail_real_1873,dist_rail_real_1875,dist_rail_real_1876,dist_rail_real_1880,dist_rail_real_1881,dist_rail_real_1882,dist_rail_real_1883,dist_rail_real_1884,dist_rail_real_1885,dist_rail_real_1886,dist_rail_real_1887,dist_rail_real_1888,dist_rail_real_1891,dist_rail_real_1892,dist_rail_real_1894,dist_rail_real_1895,dist_rail_real_1896,dist_rail_real_1900,dist_rail_real_1901,dist_rail_real_1902,dist_rail_real_1904,dist_rail_real_1905,dist_rail_real_1906,dist_rail_real_1907,dist_rail_real_1908,dist_rail_real_1910,dist_rail_real_1911,dist_rail_real_1912,dist_rail_real_1913,dist_rail_real_1914,dist_rail_real_1915,dist_rail_real_1916,dist_rail_real_1917,dist_rail_real_1918,dist_rail_real_1919,dist_rail_real_1920,dist_rail_real_1921,dist_rail_real_1922,dist_rail_real_1923,dist_rail_real_1924,dist_rail_real_1925,dist_rail_real_1926,dist_rail_real_1927,dist_rail_real_1929,dist_rail_real_1931,dist_rail_real_1932,dist_rail_real_1933,dist_rail_real_1934,dist_rail_real_1936,dist_rail_real_1937,dist_rail_real_1940,dist_rail_real_1941,dist_rail_real_1944,dist_rail_real_1947,dist_rail_real_1948,dist_rail_real_1949,dist_rail_real_1950,dist_rail_real_1951,dist_rail_real_1953,dist_rail_real_1955,dist_rail_real_1956,dist_rail_real_1957,dist_rail_real_1958,dist_rail_real_1961,dist_rail_real_1962,dist_rail_real_1966,dist_rail_real_1969,dist_rail_real_1972,dist_rail_real_1985,dist_rail_real_1996,dist_rail_real_2003
6076,17.955208706901253,118.97944126748781,118.97944126748781,118.97944126748781,118.97944126748781,118.97944126748781,118.97944126748781,118.97944126748781,118.97944126748781,79.97337215301016,70.3508816366653,33.167781997834034,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585,10.547103859968585
6077,70.48976078729748,199.82438006255774,187.7746824251404,182.3913427044128,182.3913427044128,182.3913427044128,182.3913427044128,182.3913427044128,182.3913427044128,154.69301533360473,137.18342694908327,137.18342694908327,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,120.06085163301626,101.35947122167654,101.35947122167654,101.35947122167654,101.35947122167654,101.35947122167654,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,70.08165044658446,21.179726778367826,21.179726778367826,21.179726778367826,21.179726778367826,21.179726778367826,21.179726778367826,21.179726778367826,21.179726778367826,21.179726778367826
6078,63.65365696235524,381.2866128701221,361.9413854797695,336.9154942644414,336.9154942644414,336.9154942644414,336.9154942644414,336.9154942644414,336.9154942644414,336.9154942644414,214.63956158513705,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,174.71759831758212,159.3296881115979,159.3296881115979,159.3296881115979,159.3296881115979,159.3296881115979,159.3296881115979,159.3296881115979,102.42140476221135,102.42140476221135,102.42140476221135,102.42140476221135,102.42140476221135,102.42140476221135,84.57356565399006,84.57356565399006,84.57356565399006,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,68.73810644144025,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636,51.7904019946636
6079,74.82282485426713,296.0459836223213,278.6285926509148,261.1998759559952,261.1998759559952,261.1998759559952,261.1998759559952,261.1998759559952,261.1998759559952,260.0415426512526,227.67923986008532,204.86659566215633,204.86659566215633,204.86659566215633,204.86659566215633,204.8640198380559,204.8640198380559,204.8640198380559,204.8640198380559,204.8640198380559,202.52329021259064,202.52329021259064,202.52329021259064,202.52329021259064,202.52329021259064,202.52329021259064,202.52329021259064,144.9205577680056,144.9205577680056,144.9205577680056,144.9205577680056,144.9205577680056,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,127.82990954961083,121.16138751458318,121.16138751458318,121.16138751458318,99.85854585690821,99.85854585690821,99.85854585690821,99.85854585690821,68.88127460770502,68.88127460770502,68.88127460770502,68.88127460770502,68.88127460770502,68.88127460770502,68.88127460770502,47.963063301775534,47.963063301775534,47.963063301775534,41.816662014679366,41.816662014679366,41.816662014679366,41.816662014679366,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036,41.699977234125036
6080,0.594256152813198,119.64281766009417,119.64281766009417,119.64281766009417,119.64281766009417,119.64281766009417,119.64281766009417,119.64281766009417,119.64281766009417,75.4564753769427,67.34794999713516,54.971340422992746,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,32.082721115218874,24.64703621295033,24.64703621295033,24.64703621295033,24.64703621295033,24.64703621295033,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188,2.677036268154188
6081,1.9903344484094938,95.2055651497738,95.2055651497738,95.2055651497738,95.2055651497738,95.2055651497738,95.2055651497738,95.2055651497738,95.2055651497738,56.304546672149726,46.39767972155745,32.02902023598581,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,13.630185248852596,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499,0.04108045522941499
6082,57.215603712167166,364.7372539557315,346.5657967113374,325.6115764365937,325.6115764365937,325.6115764365937,325.6115764365937,325.6115764365937,325.6115764365937,325.6115764365937,233.86359001467383,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,197.86136931325169,159.4863000639542,159.4863000639542,159.4863000639542,159.4863000639542,159.4863000639542,159.4863000639542,159.4863000639542,103.78299221879983,103.78299221879983,103.78299221879983,103.78299221879983,103.78299221879983,103.78299221879983,67.7682807409341,67.7682807409341,67.7682807409341,56.974429032603204,56.974429032603204,56.974429032603204,56.974429032603204,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963,51.95308496913963
6083,41.45651893724462,145.86306941279216,145.86306941279216,145.86306941279216,145.86306941279216,145.86306941279216,145.86306941279216,145.86306941279216,145.86306941279216,81.85598322600119,49.49502070752382,35.59876607395008,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,28.29115756693109,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525,20.731668681450525
6084,11.45032929011609,111.03009445079586,111.03009445079586,111.03009445079586,111.03009445079586,111.03009445079586,111.03009445079586,111.03009445079586,111.03009445079586,65.27111527629984,54.8218934659959,54.8218934659959,45.46751456177527,45.46751456177527,45.46751456177527,45.46751456177527,38.72229408222727,38.72229408222727,38.72229408222727,38.72229408222727,38.72229408222727,38.72229408222727,38.72229408222727,31.64254125056569,31.64254125056569,31.64254125056569,31.64254125056569,31.64254125056569,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174,11.899656247587174
6085,22.992992924754226,167.38360901235612,167.38360901235612,167.38360901235612,167.38360901235612,167.38360901235612,167.38360901235612,167.38360901235612,167.38360901235612,60.093877703435226,29.936325400493338,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558,14.347045644409558
