code_amc,dummy_atendida_sintetica,cobertura_continua_sintetica,dummy_atendida_real_1858,dummy_atendida_real_1860,dummy_atendida_real_1862,dummy_atendida_real_1863,dummy_atendida_real_1873,dummy_atendida_real_1875,dummy_atendida_real_1876,dummy_atendida_real_1880,dummy_atendida_real_1881,dummy_atendida_real_1882,dummy_atendida_real_1883,dummy_atendida_real_1884,dummy_atendida_real_1885,dummy_atendida_real_1886,dummy_atendida_real_1887,dummy_atendida_real_1888,dummy_atendida_real_1891,dummy_atendida_real_1892,dummy_atendida_real_1894,dummy_atendida_real_1895,dummy_atendida_real_1896,dummy_atendida_real_1900,dummy_atendida_real_1901,dummy_atendida_real_1902,dummy_atendida_real_1904,dummy_atendida_real_1905,dummy_atendida_real_1906,dummy_atendida_real_1907,dummy_atendida_real_1908,dummy_atendida_real_1910,dummy_atendida_real_1911,dummy_atendida_real_1912,dummy_atendida_real_1913,dummy_atendida_real_1914,dummy_atendida_real_1915,dummy_atendida_real_1916,dummy_atendida_real_1917,dummy_atendida_real_1918,dummy_atendida_real_1919,dummy_atendida_real_1920,dummy_atendida_real_1921,dummy_atendida_real_1922,dummy_atendida_real_1923,dummy_atendida_real_1924,dummy_atendida_real_1925,dummy_atendida_real_1926,dummy_atendida_real_1927,dummy_atendida_real_1929,dummy_atendida_real_1931,dummy_atendida_real_1932,dummy_atendida_real_1933,dummy_atendida_real_1934,dummy_atendida_real_1936,dummy_atendida_real_1937,dummy_atendida_real_1940,dummy_atendida_real_1941,dummy_atendida_real_1944,dummy_atendida_real_1947,dummy_atendida_real_1948,dummy_atendida_real_1949,dummy_atendida_real_1950,dummy_atendida_real_1951,dummy_atendida_real_1953,dummy_atendida_real_1955,dummy_atendida_real_1956,dummy_atendida_real_1957,dummy_atendida_real_1958,dummy_atendida_real_1961,dummy_atendida_real_1962,dummy_atendida_real_1966,dummy_atendida_real_1969,dummy_atendida_real_1972,dummy_atendida_real_1985,dummy_atendida_real_1996,dummy_atendida_real_2003,cobertura_continua_real_1858,cobertura_continua_real_1860,cobertura_continua_real_1862,cobertura_continua_real_1863,cobertura_continua_real_1873,cobertura_continua_real_1875,cobertura_continua_real_1876,cobertura_continua_real_1880,cobertura_continua_real_1881,cobertura_continua_real_1882,cobertura_continua_real_1883,cobertura_continua_real_1884,cobertura_continua_real_1885,cobertura_continua_real_1886,cobertura_continua_real_1887,cobertura_continua_real_1888,cobertura_continua_real_1891,cobertura_continua_real_1892,cobertura_continua_real_1894,cobertura_continua_real_1895,cobertura_continua_real_1896,cobertura_continua_real_1900,cobertura_continua_real_1901,cobertura_continua_real_1902,cobertura_continua_real_1904,cobertura_continua_real_1905,cobertura_continua_real_1906,cobertura_continua_real_1907,cobertura_continua_real_1908,cobertura_continua_real_1910,cobertura_continua_real_1911,cobertura_continua_real_1912,cobertura_continua_real_1913,cobertura_continua_real_1914,cobertura_continua_real_1915,cobertura_continua_real_1916,cobertura_continua_real_1917,cobertura_continua_real_1918,cobertura_continua_real_1919,cobertura_continua_real_1920,cobertura_continua_real_1921,cobertura_continua_real_1922,cobertura_continua_real_1923,cobertura_continua_real_1924,cobertura_continua_real_1925,cobertura_continua_real_1926,cobertura_continua_real_1927,cobertura_continua_real_1929,cobertura_continua_real_1931,cobertura_continua_real_1932,cobertura_continua_real_1933,cobertura_continua_real_1934,cobertura_continua_real_1936,cobertura_continua_real_1937,cobertura_continua_real_1940,cobertura_continua_real_1941,cobertura_continua_real_1944,cobertura_continua_real_1947,cobertura_continua_real_1948,cobertura_continua_real_1949,cobertura_continua_real_1950,cobertura_continua_real_1951,cobertura_continua_real_1953,cobertura_continua_real_1955,cobertura_continua_real_1956,cobertura_continua_real_1957,cobertura_continua_real_1958,cobertura_continua_real_1961,cobertura_continua_real_1962,cobertura_continua_real_1966,cobertura_continua_real_1969,cobertura_continua_real_1972,cobertura_continua_real_1985,cobertura_continua_real_1996,cobertura_continua_real_2003
3001,0,0.01441254271175015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.080054228267307e-4,7.300804365354308e-4,7.300804365354308e-4,7.567256564982543e-4,0.0010781055461377943,0.0010781055461377943,0.0010781055461377943,0.0010781055461377943,0.0010781055461377943,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0014564510341967642,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0023705979609536434,0.0032747880945785757,0.003416774853691121,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.003501915638120871,0.014341796808876355,0.014341796808876355,0.014341796808876355
3002,1,0.683479519136779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.804556371771425e-4,9.960890772951344e-4,0.0010137567511743916,0.0010137567511743916,0.0019190368924245152,0.0019190368924245152,0.0019190368924245152,0.0019190368924245152,0.0019190368924245152,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.0033234744448056184,0.003457633645151335,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.014085961510005756,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084,0.017052933938198084
3003,1,0.023513860231427444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001027014906239689,0.0010387865106975113,0.0010470918947549617,0.0010470918947549617,0.0025363501209979163,0.0025363501209979163,0.0025363501209979163,0.0025363501209979163,0.0025363501209979163,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.007407666980781772,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346,0.031148055574940346
3004,1,0.04088726130297276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.070279734314702e-4,8.164169288018068e-4,8.252045433217675e-4,8.252045433217675e-4,0.0014741386148895484,0.0014741386148895484,0.0014741386148895484,0.0014741386148895484,0.0014741386148895484,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.002403024743014859,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.0032818174178690716,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996,0.03628102509714996
3005,1,0.06254571605595818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.85493798454044e-4,0.001001859726426236,0.0010213886848618736,0.0010213886848618736,0.0018737466306257093,0.0018737466306257093,0.0018737466306257093,0.0018737466306257093,0.0018737466306257093,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0030904773765840733,0.0033428037594555333,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.025170909890643505,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537,0.03873889367100537
3006,1,0.01975314888820114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8.0153943772122e-4,8.128908239710807e-4,8.275592419323039e-4,8.45483966916155e-4,0.0013064911495082592,0.0013064911495082592,0.0013064911495082592,0.0013064911495082592,0.0013064911495082592,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.0018794933891523554,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.003911554099230326,0.005371585396708127,0.006625484293085267,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.007369645144424141,0.02211181329152245,0.02211181329152245,0.02211181329152245
3007,0,0.009225745639611791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.972834993501916e-4,9.111482071916917e-4,9.283342499901841e-4,9.283342499901841e-4,0.0015830898960485376,0.0015830898960485376,0.0015830898960485376,0.0015830898960485376,0.0015830898960485376,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0024525695636992543,0.0025066144032080207,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.008160949477109831,0.009518875241068885,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656,0.03574121770303656
3008,1,0.02066256456426395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7.725508598580338e-4,7.976833561608269e-4,7.981987779960783e-4,8.303984892456798e-4,0.001209440678070191,0.001209440678070191,0.001209440678070191,0.001209440678070191,0.001209440678070191,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.0016760173756577795,0.001682756342557189,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.0032511556852217608,0.004031677111886214,0.004626956522276824,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.004963679341925394,0.020805997167026996,0.020805997167026996,0.020805997167026996
3009,0,0.00280887147206458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.071639548382134e-4,0.0010813431794108568,0.0010813431794108568,0.001108182011255364,0.001108182011255364,0.0011448132565229125,0.0011742924311372335,0.0012106553929821502,0.0012106553929821502,0.0012106553929821502,0.0013313720146402193,0.0013313720146402193,0.0013313720146402193,0.0013313720146402193,0.0014890520331461948,0.0014890520331461948,0.0014890520331461948,0.0014890520331461948,0.0014890520331461948,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016416871105434426,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0016505027181634563,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.0017188096389124483,0.001721771516582592,0.001721771516582592,0.0019402840118714773,0.002655555932639559,0.0027957402841754485
3010,1,0.02811139433240321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.566492177916691e-4,8.177027676951894e-4,8.177027676951894e-4,8.485353970622126e-4,0.0011121726953394117,0.0011121726953394117,0.0011121726953394117,0.0011121726953394117,0.0011121726953394117,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0014601100869325967,0.0015071244132051588,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027280677355107238,0.0027536942894729787,0.003072151148216407,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.0033382050182365276,0.010189652035651538,0.011548853640491156,0.011548853640491156
